batch,layer,norm,relative_norm
36,model.layers.7.mlp.down_proj.weight,2.1668319984371918,0.02737724032472102
36,model.layers.8.mlp.down_proj.weight,3.3828687404405366,0.04254901738623126
37,model.layers.4.mlp.down_proj.weight,1.3539467904290914,0.017410387302149395
37,model.layers.5.mlp.down_proj.weight,1.5903564685138363,0.02036771151671578
37,model.layers.6.mlp.down_proj.weight,1.9040738193759355,0.024399276142907506
37,model.layers.7.mlp.down_proj.weight,2.1877323767728756,0.02763735227747114
37,model.layers.8.mlp.down_proj.weight,3.410783834423252,0.0428800975624858
38,model.layers.4.mlp.down_proj.weight,1.334510753577546,0.017157982633652053
38,model.layers.5.mlp.down_proj.weight,1.5631957796865454,0.020017132656317677
38,model.layers.6.mlp.down_proj.weight,1.8558045734862978,0.023777562815377785
38,model.layers.7.mlp.down_proj.weight,2.133822893953284,0.02695235534019932
38,model.layers.8.mlp.down_proj.weight,3.331973800227044,0.04186915131522888
39,model.layers.4.mlp.down_proj.weight,1.3394504638840055,0.017219056916196476
39,model.layers.5.mlp.down_proj.weight,1.5722084001335794,0.02012993228726842
39,model.layers.6.mlp.down_proj.weight,1.8743266180404161,0.02401173138866406
39,model.layers.7.mlp.down_proj.weight,2.1541229049293813,0.027205210502663932
39,model.layers.8.mlp.down_proj.weight,3.359564174076169,0.042197159000435844
40,model.layers.4.mlp.down_proj.weight,1.3287964781752157,0.017079675242632434
40,model.layers.5.mlp.down_proj.weight,1.5557140015852886,0.01991622207212447
40,model.layers.6.mlp.down_proj.weight,1.8504884399812112,0.023703490033441278
40,model.layers.7.mlp.down_proj.weight,2.1253706604494993,0.026838575386760575
40,model.layers.8.mlp.down_proj.weight,3.320425356861386,0.04168662573559619
41,model.layers.4.mlp.down_proj.weight,1.3493712514572525,0.01734172413790265
41,model.layers.5.mlp.down_proj.weight,1.575650584487281,0.020168919660760974
41,model.layers.6.mlp.down_proj.weight,1.8782234887379254,0.02405593040276981
41,model.layers.7.mlp.down_proj.weight,2.1536069000307445,0.02719189254503972
41,model.layers.8.mlp.down_proj.weight,3.362040960988461,0.042190234645628245
42,model.layers.4.mlp.down_proj.weight,1.3773368466529714,0.017698635217991865
42,model.layers.5.mlp.down_proj.weight,1.6149044280635125,0.020668649912530295
42,model.layers.6.mlp.down_proj.weight,1.9147463754981198,0.024520476413038853
42,model.layers.7.mlp.down_proj.weight,2.1917766975483044,0.02767005570296846
42,model.layers.8.mlp.down_proj.weight,3.4176780247929726,0.042868657495395944
43,model.layers.4.mlp.down_proj.weight,1.3485259467880146,0.0173257610756473
43,model.layers.5.mlp.down_proj.weight,1.5782195214623884,0.020196275844857874
43,model.layers.6.mlp.down_proj.weight,1.8772971575897042,0.024037835571903688
43,model.layers.7.mlp.down_proj.weight,2.1563421272587675,0.027218838041804583
43,model.layers.8.mlp.down_proj.weight,3.368208012855875,0.042227420502564506
44,model.layers.4.mlp.down_proj.weight,1.353431535127271,0.017386253782372074
44,model.layers.5.mlp.down_proj.weight,1.5885261559699586,0.02032535656352099
