entry,contrast,panel,metric,field,delta,ci_low,ci_high,bootstrap,requests,prompts,success_to_failure,failure_to_success,unit,paired,imputation
Early,EP−N,Current100,NS,new_nll,0.0117139575551264,0.006601828990189824,0.01806110775856068,2000,100,1000,0,2,NLL,True,0
Early,EP−N,Current100,NS,true_nll,-0.0055511449933983385,-0.01127310319924727,-0.0008851100688450994,2000,100,1000,0,2,NLL,True,0
Early,EP−N,Current100,PS,success,0.5,0.0,1.5,2000,100,200,0,1,pp,True,0
Early,EP−N,Current100,PS,new_nll,-0.003035206757776905,-0.02190388298282778,0.013843430100758248,2000,100,200,0,1,NLL,True,0
Early,EP−N,Current100,PS,true_nll,0.07826238274574279,0.024709095895290373,0.1522211339771747,2000,100,200,0,1,NLL,True,0
Early,EP−N,Current100,RS,success,0.0,0.0,0.0,2000,100,100,0,0,pp,True,0
Early,EP−N,Current100,RS,new_nll,-0.00040190721199905965,-0.0006033267564034759,-0.00025252431515764364,2000,100,100,0,0,NLL,True,0
Early,EP−N,Current100,RS,true_nll,0.2885897731781006,0.1902797863483429,0.41588195133209205,2000,100,100,0,0,NLL,True,0
Early,EP−N,Fixed100,NS,success,0.0,0.0,0.0,2000,100,1000,0,0,pp,True,0
Early,EP−N,Fixed100,NS,new_nll,0.004124072728678583,0.0023780021093320097,0.006139327758131549,2000,100,1000,0,0,NLL,True,0
Early,EP−N,Fixed100,NS,true_nll,-0.0025762903882423417,-0.005201324072579156,-5.053027097892598e-05,2000,100,1000,0,0,NLL,True,0
Early,EP−N,Fixed100,PS,success,0.0,0.0,0.0,2000,100,200,0,0,pp,True,0
Early,EP−N,Fixed100,PS,new_nll,-0.0011881820601411163,-0.0029215343591349665,0.00016461624293878977,2000,100,200,0,0,NLL,True,0
Early,EP−N,Fixed100,PS,true_nll,0.00242613285779953,0.001077403336763382,0.0038024362549185747,2000,100,200,0,0,NLL,True,0
Early,EP−N,Fixed100,RS,success,0.0,0.0,0.0,2000,100,100,0,0,pp,True,0
Early,EP−N,Fixed100,RS,new_nll,6.486479207524099e-05,-0.0003989699498379196,0.0006095118806333631,2000,100,100,0,0,NLL,True,0
Early,EP−N,Fixed100,RS,true_nll,0.00597315788269043,0.0029480122327804567,0.009816307783126827,2000,100,100,0,0,NLL,True,0
Early,EP−N,Past100,NS,success,0.1,0.0,0.30000000000000004,2000,100,1000,0,1,pp,True,0
Early,EP−N,Past100,NS,new_nll,0.003082856769673526,0.0012724210670217871,0.004852092527621426,2000,100,1000,0,1,NLL,True,0
Early,EP−N,Past100,NS,true_nll,-0.0030764256070251583,-0.00525451181234821,-0.0009635376419828414,2000,100,1000,0,1,NLL,True,0
Early,EP−N,Past100,PS,success,0.0,0.0,0.0,2000,100,200,0,0,pp,True,0
Early,EP−N,Past100,PS,new_nll,-0.00036521637593978085,-0.0010928970136701538,0.0003764006660712764,2000,100,200,0,0,NLL,True,0
Early,EP−N,Past100,PS,true_nll,0.004508032202720642,0.0028222754299640656,0.006217309057712554,2000,100,200,0,0,NLL,True,0
Early,EP−N,Past100,RS,success,0.0,0.0,0.0,2000,100,100,0,0,pp,True,0
Early,EP−N,Past100,RS,new_nll,-1.1682984622893855e-05,-2.4652123986015794e-05,-3.339085531479214e-06,2000,100,100,0,0,NLL,True,0
Early,EP−N,Past100,RS,true_nll,0.0032534408569335938,0.0015100779533386232,0.005056944847106933,2000,100,100,0,0,NLL,True,0
Middle,EP−H,Current100,NS,success,0.0,0.0,0.0,2000,100,1000,0,0,pp,True,0
Middle,EP−H,Current100,NS,new_nll,7.357291877269744e-06,2.0357672125101084e-06,1.6042112559080115e-05,2000,100,1000,0,0,NLL,True,0
Middle,EP−H,Current100,NS,true_nll,-3.066333010792732e-06,-7.037200778722763e-06,5.598175339400655e-08,2000,100,1000,0,0,NLL,True,0
Middle,EP−H,Current100,PS,success,0.0,0.0,0.0,2000,100,200,0,0,pp,True,0
Middle,EP−H,Current100,PS,new_nll,2.7155505667906253e-05,1.5059952864248772e-05,4.2176406379439855e-05,2000,100,200,0,0,NLL,True,0
Middle,EP−H,Current100,PS,true_nll,-7.99083709716797e-05,-0.0001034175157546997,-5.718058347702027e-05,2000,100,200,0,0,NLL,True,0
Middle,EP−H,Current100,RS,success,0.0,0.0,0.0,2000,100,100,0,0,pp,True,0
Middle,EP−H,Current100,RS,new_nll,6.427697371691466e-07,3.8209835474845025e-07,1.0017444874392814e-06,2000,100,100,0,0,NLL,True,0
Middle,EP−H,Current100,RS,true_nll,-0.0001552724838256836,-0.00018971443176269532,-0.000123557448387146,2000,100,100,0,0,NLL,True,0
Middle,EP−H,Fixed100,NS,success,0.0,0.0,0.0,2000,100,1000,0,0,pp,True,0
Middle,EP−H,Fixed100,NS,new_nll,1.0989829897880555e-06,-5.874409805983307e-07,2.8041654732078316e-06,2000,100,1000,0,0,NLL,True,0
Middle,EP−H,Fixed100,NS,true_nll,-5.367607809603214e-07,-2.3231690167449412e-06,1.2005513417534519e-06,2000,100,1000,0,0,NLL,True,0
Middle,EP−H,Fixed100,PS,success,0.0,0.0,0.0,2000,100,200,0,0,pp,True,0
Middle,EP−H,Fixed100,PS,new_nll,1.4562462456524372e-06,-5.191016534809023e-07,3.6299648927524677e-06,2000,100,200,0,0,NLL,True,0
Middle,EP−H,Fixed100,PS,true_nll,-1.2028217315673828e-06,-4.587501287460327e-06,2.2845864295959443e-06,2000,100,200,0,0,NLL,True,0
Middle,EP−H,Fixed100,RS,success,0.0,0.0,0.0,2000,100,100,0,0,pp,True,0
Middle,EP−H,Fixed100,RS,new_nll,-1.2886349577456714e-06,-3.361385461175814e-06,-8.030212484300322e-09,2000,100,100,0,0,NLL,True,0
Middle,EP−H,Fixed100,RS,true_nll,5.750656127929688e-06,1.4591217041015635e-07,1.1448979377746582e-05,2000,100,100,0,0,NLL,True,0
Middle,EP−H,Past100,NS,success,0.0,0.0,0.0,2000,100,1000,0,0,pp,True,0
Middle,EP−H,Past100,NS,new_nll,1.1715115979313853e-06,-8.903094800189135e-07,3.3739270642399788e-06,2000,100,1000,0,0,NLL,True,0
Middle,EP−H,Past100,NS,true_nll,-6.704591214656835e-07,-2.606363222002983e-06,1.263918355107306e-06,2000,100,1000,0,0,NLL,True,0
Middle,EP−H,Past100,PS,success,0.0,0.0,0.0,2000,100,200,0,0,pp,True,0
Middle,EP−H,Past100,PS,new_nll,5.456042708829045e-07,-1.0488247062312439e-06,2.2904580255271857e-06,2000,100,200,0,0,NLL,True,0
Middle,EP−H,Past100,PS,true_nll,-1.9297003746032715e-06,-4.933148622512817e-06,1.2118220329284649e-06,2000,100,200,0,0,NLL,True,0
Middle,EP−H,Past100,RS,success,0.0,0.0,0.0,2000,100,100,0,0,pp,True,0
Middle,EP−H,Past100,RS,new_nll,-2.0280247554183006e-07,-6.409527850337327e-07,5.387316923588483e-08,2000,100,100,0,0,NLL,True,0
