policy,batch,population,metric,group,field,unit,n,mean,median,q25,q75,iqr,p90,p95,p99,min,max
N4,51,historical,RS,SUPERSEDED,new_nll,PROMPT,4,4.294723145663738,1.464427411556244,0.8439439758658409,4.915206581354141,4.0712626054883,10.312444174289706,12.111523371934886,13.550786730051037,0.3394351899623871,13.910602569580078
N4,51,historical,RS,SUPERSEDED,new_nll,REQUEST_CLUSTER_MEAN,4,4.294723145663738,1.464427411556244,0.8439439758658409,4.915206581354141,4.0712626054883,10.312444174289706,12.111523371934886,13.550786730051037,0.3394351899623871,13.910602569580078
N4,51,historical,RS,SUPERSEDED,true_nll,PROMPT,4,9.70760726928711,8.906458377838135,7.355291128158569,11.258774518966675,3.9034833908081055,14.573939800262451,15.678994894027706,16.563038969039916,4.233462333679199,16.78404998779297
N4,51,historical,RS,SUPERSEDED,true_nll,REQUEST_CLUSTER_MEAN,4,9.70760726928711,8.906458377838135,7.355291128158569,11.258774518966675,3.9034833908081055,14.573939800262451,15.678994894027706,16.563038969039916,4.233462333679199,16.78404998779297
N4,51,historical,RS,SUPERSEDED,desired_margin,PROMPT,4,5.412884123623371,5.360811769962311,3.134373426437378,7.639322467148304,4.504949040710926,7.889608308672905,7.973036922514439,8.039779813587666,2.8734474182128906,8.056465536355972
N4,51,historical,RS,SUPERSEDED,desired_margin,REQUEST_CLUSTER_MEAN,4,5.412884123623371,5.360811769962311,3.134373426437378,7.639322467148304,4.504949040710926,7.889608308672905,7.973036922514439,8.039779813587666,2.8734474182128906,8.056465536355972
N4,51,historical,RS,UNKNOWN_RELATION,new_nll,PROMPT,0,,,,,,,,,,
N4,51,historical,RS,UNKNOWN_RELATION,new_nll,REQUEST_CLUSTER_MEAN,0,,,,,,,,,,
N4,51,historical,RS,UNKNOWN_RELATION,true_nll,PROMPT,0,,,,,,,,,,
N4,51,historical,RS,UNKNOWN_RELATION,true_nll,REQUEST_CLUSTER_MEAN,0,,,,,,,,,,
N4,51,historical,RS,UNKNOWN_RELATION,desired_margin,PROMPT,0,,,,,,,,,,
N4,51,historical,RS,UNKNOWN_RELATION,desired_margin,REQUEST_CLUSTER_MEAN,0,,,,,,,,,,
N4,51,historical,PS,ALL,new_nll,PROMPT,256,1.519728416739781,0.23767512291669846,0.04251539707183838,1.7464739084243774,1.703958511352539,4.342031478881836,6.783138036727905,12.37994070053099,0.0003978414461016655,15.797654151916504
N4,51,historical,PS,ALL,new_nll,REQUEST_CLUSTER_MEAN,128,1.519728416739781,0.682945853099227,0.11198945646174252,2.0792573215439916,1.967267865082249,3.784305513277649,5.648643475770948,9.800114083290104,0.0033594407723285258,15.580547332763672
N4,51,historical,PS,ALL,true_nll,PROMPT,256,9.714681752026081,9.159221172332764,6.951607823371887,11.910686492919922,4.959078669548035,14.103091716766357,15.93384575843811,20.26284170150757,2.703822612762451,21.45576286315918
N4,51,historical,PS,ALL,true_nll,REQUEST_CLUSTER_MEAN,128,9.714681752026081,9.129552125930786,7.359051764011383,12.110785007476807,4.751733243465424,13.787729549407958,14.352648377418516,19.913295335769657,3.8530614376068115,20.286372184753418
N4,51,historical,PS,ALL,desired_margin,PROMPT,256,8.1949533352863,7.857655793428421,5.234742820262909,10.937048684805632,5.702305864542723,13.707009818404913,15.650191274937242,20.180517788475846,-4.6480302810668945,21.449192934203893
N4,51,historical,PS,ALL,desired_margin,REQUEST_CLUSTER_MEAN,128,8.1949533352863,7.859006163896993,5.894324456981849,10.875702554360032,4.981378097378183,12.844831475871615,14.024152440996838,19.70161511364859,-0.8121852874755859,20.281241053598933
N4,51,historical,PS,ACTIVE_TARGET,new_nll,PROMPT,248,1.3026853397727058,0.20908904075622559,0.03717729542404413,1.6164042949676514,1.5792269995436072,4.123961067199708,5.649360680580134,10.970824899673463,0.0003978414461016655,13.210186958312988
N4,51,historical,PS,ACTIVE_TARGET,new_nll,REQUEST_CLUSTER_MEAN,124,1.3026853397727058,0.648237619549036,0.09594113449566066,2.051819673157297,1.9558785386616364,3.2265557289123534,4.533731682598589,8.659398589134213,0.0033594407723285258,10.135078430175781
N4,51,historical,PS,ACTIVE_TARGET,true_nll,PROMPT,248,9.717803793568764,9.213181018829346,6.999987483024597,11.910686492919922,4.910699009895325,14.061766624450684,15.880679130554196,20.275368404388427,2.703822612762451,21.45576286315918
N4,51,historical,PS,ACTIVE_TARGET,true_nll,REQUEST_CLUSTER_MEAN,124,9.717803793568764,9.142729997634888,7.398442983627319,12.110785007476807,4.712342023849487,13.718087530136108,14.210684251785278,19.966239862442013,3.8530614376068115,20.286372184753418
N4,51,historical,PS,ACTIVE_TARGET,desired_margin,PROMPT,248,8.41511845379606,8.120619535446167,5.441614955663681,11.125541558489203,5.683926602825522,13.748155095195399,15.711574089433995,20.18217501353705,-4.6480302810668945,21.449192934203893
N4,51,historical,PS,ACTIVE_TARGET,desired_margin,REQUEST_CLUSTER_MEAN,124,8.41511845379606,7.904008314013481,6.011462079361081,10.889580117538571,4.87811803817749,12.957109416252933,14.094995999196541,19.74637797323521,-0.8121852874755859,20.281241053598933
N4,51,historical,PS,SUPERSEDED,new_nll,PROMPT,8,8.248063802719116,8.034840106964111,3.363589107990265,12.014973640441895,8.65138453245163,15.49370460510254,15.645679378509522,15.767259197235107,1.6541121006011963,15.797654151916504
N4,51,historical,PS,SUPERSEDED,new_nll,REQUEST_CLUSTER_MEAN,4,8.248063802719116,6.602559983730316,5.903168976306915,8.947454810142517,3.044285833835602,12.927310323715211,14.253928828239438,15.315223631858823,4.206587910652161,15.580547332763672
N4,51,historical,PS,SUPERSEDED,true_nll,PROMPT,8,9.61789846420288,8.285263538360596,6.258612155914307,10.376468181610107,4.117856025695801,16.93654203414917,18.15835738182068,19.135809659957886,4.454590797424316,19.380172729492188
N4,51,historical,PS,SUPERSEDED,true_nll,REQUEST_CLUSTER_MEAN,4,9.61789846420288,7.258382558822632,6.842145919799805,10.034135103225708,3.1919891834259033,14.594487380981448,16.11460480690002,17.330698747634884,6.320106506347656,17.634722232818604
N4,51,historical,PS,SUPERSEDED,desired_margin,PROMPT,8,1.3698346614837646,1.2031960487365723,-0.4539668560028076,2.4111079573631287,2.8650748133659363,4.57318947315216,5.728972184658049,6.653598353862762,-2.71319580078125,6.88475489616394
