policy,batch,population,metric,group,prompt_denominator,request_denominator,numerator,rate,ties,request_all_success_numerator,order_sha256,bit_order_sha256,new_strict_numerator,new_strict_rate,new_request_all_strict_numerator,new_request_all_strict_rate,new_token_correct,new_token_denominator,new_token_accuracy,true_strict_numerator,true_strict_rate,true_request_all_strict_numerator,true_request_all_strict_rate,true_token_correct,true_token_denominator,true_token_accuracy,two_P_request_strict_n,two_P_request_strict_d
FROZEN4,60,suffix,RS,ALL,1000,1000,999,0.999,0,999,3d8441c97974f7cd040c389398d91e2eb5ac18fab77a8c2eb4529838716fd31c,fdaa639ea1a7fad87f65c45598b4de0d7ec428fcdefdad8a4d2f4e6f5abcefac,997,0.997,997,0.997,1013,1016,0.9970472440944882,0,0.0,0,0.0,15,1017,0.014749262536873156,,
FROZEN4,60,suffix,RS,ACTIVE_TARGET,994,994,994,1.0,0,994,167c89fb129b9e7a1bc92c7032192ddceea9baa697f6400112111500ddda3e92,5a2377e23e36bfeac6b8bbc7cbc3eee746de46bcea540e66cb84ec9a90d04581,993,0.9989939637826962,993,0.9989939637826962,1009,1010,0.999009900990099,0,0.0,0,0.0,15,1011,0.01483679525222552,,
FROZEN4,60,suffix,RS,SUPERSEDED,6,6,5,0.8333333333333334,0,5,da4c13757b947da5ff7515fea41b79dd7912a4dccc6141faede57a69bf6586f8,c820a5fe97b1174bdbf6cf15d09b667690f2e4b5aea98142857400d49a4bc453,4,0.6666666666666666,4,0.6666666666666666,4,6,0.6666666666666666,0,0.0,0,0.0,0,6,0.0,,
FROZEN4,60,suffix,RS,UNKNOWN_RELATION,0,0,0,,0,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,,0,,0,0,,0,,0,,0,0,,,
FROZEN4,60,suffix,PS,ALL,2000,1000,1969,0.9845,0,974,561c2a3b61e3777b41070ea00087eb776c101e59310b21581b2961f321f411e2,b03b084a478d7e5582fdb287ed35ffd558085d7ab5eee388fcee647816755e89,1487,0.7435,599,0.599,1518,2032,0.7470472440944882,3,0.0015,0,0.0,32,2034,0.015732546705998034,599,1000
FROZEN4,60,suffix,PS,ACTIVE_TARGET,1988,994,1962,0.9869215291750503,0,972,8382f962a0306a2cac5e9f50b608788262e6f4134a96a7557c882773391f5b38,9a33c48b1484b71bca304fa6b0ff146410066b8ca8a0edf5419d27cd78fc2a4e,1486,0.7474849094567404,599,0.60261569416499,1517,2020,0.750990099009901,2,0.001006036217303823,0,0.0,31,2022,0.01533135509396637,599,994
FROZEN4,60,suffix,PS,SUPERSEDED,12,6,7,0.5833333333333334,0,2,f188991fee9feb1bb44ad46967dc83abf794128d8ee48e6185148a55694db3b7,455b0bb56847f61d04c680ef7d4bae556a778496799ed56167e06c0d40f4fa28,1,0.08333333333333333,0,0.0,1,12,0.08333333333333333,1,0.08333333333333333,0,0.0,1,12,0.08333333333333333,0,6
FROZEN4,60,suffix,PS,UNKNOWN_RELATION,0,0,0,,0,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,,0,,0,0,,0,,0,,0,0,,0,0
FROZEN4,60,suffix,NS,ALL,10000,1000,7056,0.7056,0,265,e9e551f08e1f033dce508fa0c2483ece0f1be8b290828ac7bf481a6202ae67ff,bca9d814eac7bf9cf4c2bdd09abec3b8296d6d0af4e5bc492a3c03c3f8bf7f17,461,0.0461,1,0.001,617,10160,0.060728346456692915,1031,0.1031,0,0.0,1192,10170,0.11720747295968535,,
FROZEN4,60,suffix,NS,ACTIVE_TARGET,9940,994,7008,0.7050301810865192,0,263,0589d623d61fdd9a5c7f635272adf0f65fb97bb1c645881f160dede63cbd4cd3,4bd4b51797c0e419092d48ea9274c0fce021a4994f5d71481845df7e19012373,460,0.04627766599597585,1,0.001006036217303823,616,10100,0.06099009900990099,1026,0.10321931589537223,0,0.0,1187,10110,0.11740850642927794,,
