policy,cohort_batch,metric,prompt_denominator,request_denominator,numerator,rate,ties,request_all_success_numerator,order_sha256,bit_order_sha256,new_strict_numerator,new_strict_rate,new_request_all_strict_numerator,new_request_all_strict_rate,new_token_correct,new_token_denominator,new_token_accuracy,true_strict_numerator,true_strict_rate,true_request_all_strict_numerator,true_request_all_strict_rate,true_token_correct,true_token_denominator,true_token_accuracy
N4,54,RS,100,100,100,1.0,0,100,63dab5bd43b876c52366c45fba83139caadc18cb67f8a5561bb5d2186cda56ef,961c42f3a1ba74011412b357bd80a7dc35b0f1fd7c4b16d90bc505b615a5e6c2,99,0.99,99,0.99,100,101,0.9900990099009901,0,0.0,0,0.0,1,101,0.009900990099009901
N4,55,RS,100,100,100,1.0,0,100,cb5d11414d0e7099be33952159a14f5c17d54a39802c5f7c4acbd60a3bb2cbd6,e836680b194cf99fd70ecfacb3cbe6269a4e34298506833e713bee992449dadc,99,0.99,99,0.99,100,101,0.9900990099009901,0,0.0,0,0.0,0,100,0.0
N4,56,RS,100,100,100,1.0,0,100,edc8150be6b620d66705a8f6242dd6cad3c49614014f74057b1e6bf7c38dfabe,ab84a6943b4514cccfac181656a4aac89d48de18efeeced161c191b0a094f4e1,99,0.99,99,0.99,104,105,0.9904761904761905,0,0.0,0,0.0,3,104,0.028846153846153848
N4,57,RS,100,100,100,1.0,0,100,7aee12d22eb2fef2e76faa40edcd5a76fa446e3fe63f32d22936839f6e586725,0c701b5e7b1789e559230d5346087f14474c0172988db4962dec0aa96305239c,100,1.0,100,1.0,100,100,1.0,0,0.0,0,0.0,1,101,0.009900990099009901
N4,58,RS,100,100,100,1.0,0,100,6b7d5341651e255659ecb52125cb91ef266370136f40464d32d45a5455c8bbb5,0a0632217c8637d82f19087db7ce5351aa0e004a04fd1f7b3e440beb923b48f0,99,0.99,99,0.99,100,101,0.9900990099009901,0,0.0,0,0.0,4,104,0.038461538461538464
N4,59,RS,100,100,100,1.0,0,100,b1762585e08c2fed4c5164e290388defa08e04afbc7898c700b8fc1ab4c69a48,426b047740fec0f24eb08d88f6563dab02828b448370e5d0b3b4923fc0d8d14e,99,0.99,99,0.99,102,103,0.9902912621359223,0,0.0,0,0.0,1,101,0.009900990099009901
N4,60,RS,100,100,100,1.0,0,100,4bbefbfca48174e9b05c32077efdc9b2d4cf4fc8d0d3427fddde13f4a9de57e4,42ff857bdcba0f1327e6a16facd8bbb79664d4d3d5cfe725c9c6be1a207e4938,100,1.0,100,1.0,100,100,1.0,0,0.0,0,0.0,0,101,0.0
N4,1,PS,200,100,194,0.97,0,95,9cc8c31cf6cfe5b4c0348b54aef884f45255fa134c0df591a333b60c179e1e82,2aade0362978f35d0e182ea7412c4929195b2a88f350c4e51e5b95df1c245a4e,131,0.655,51,0.51,133,202,0.6584158415841584,1,0.005,0,0.0,7,206,0.03398058252427184
N4,2,PS,200,100,189,0.945,0,92,bc1ace9656fb523480c80300a83df6521e9274f30f833fd13222fc49aaeb32da,2d80f364c8385d5935d14283ee3b77d5f2e21f715d626054e342a05c1a80f890,127,0.635,50,0.5,131,204,0.6421568627450981,3,0.015,0,0.0,5,202,0.024752475247524754
N4,3,PS,200,100,193,0.965,0,94,877f5e7a73c9724a96e7ec0d26a41da91a9e96ed4c3cbde676a615f44395c82f,7da0ce31677a46fae731142f9b5a72441c55ade5aaa46cbf64ac29450097715d,129,0.645,46,0.46,133,204,0.6519607843137255,2,0.01,0,0.0,8,206,0.038834951456310676
