before,after,population,group,metric,d,delta,delta_pp,lost,gained,strict_delta,desired_NLL_mean,desired_NLL_p95,desired_NLL_p99,competing_NLL_mean
I2,I4,suffix,SUPERSEDED,PS,12,-1,-8.333333333333334,1,0,0,1.0744110842545826,3.2204665660858147,3.7812049770355234,-0.1221213626364867
I2,I4,suffix,UNKNOWN_RELATION,PS,0,0,,0,0,0,,,,
I2,I4,suffix,ALL,NS,10000,-30,-0.3,156,126,7,0.039880955999705474,0.8558589220046992,1.5125069618225098,-0.005263110136436444
I2,I4,suffix,ACTIVE_TARGET,NS,9940,-30,-0.30181086519114686,155,125,7,0.040147081235977884,0.8565464258193968,1.5086818170547542,-0.006101035531544811
I2,I4,suffix,SUPERSEDED,NS,60,0,0.0,1,1,0,-0.004207124809424082,0.7726608276367185,1.5359267234802243,0.13355319698651633
I2,I4,suffix,UNKNOWN_RELATION,NS,0,0,,0,0,0,,,,
I2,I4,entry_old,ALL,RS,5000,-5,-0.1,6,1,-16,0.02355895264849132,0.043655676022171984,0.6628893184661903,-0.13594337687194347
I2,I4,entry_old,ACTIVE_TARGET,RS,4910,-4,-0.0814663951120163,5,1,-14,0.012813653970392075,0.0269108958542347,0.35968681337544367,-0.14295401955876963
I2,I4,entry_old,SUPERSEDED,RS,90,-1,-1.1111111111111112,1,0,-2,0.6097746916425725,4.3038954496383655,5.581493158340454,0.24652612970934973
I2,I4,entry_old,UNKNOWN_RELATION,RS,0,0,,0,0,0,,,,
I2,I4,entry_old,ALL,PS,10000,-6,-0.06,32,26,-31,0.02748393749966417,0.43851992189884137,1.1245893907547022,-0.05095780112994835
I2,I4,entry_old,ACTIVE_TARGET,PS,9820,-4,-0.04073319755600815,28,24,-34,0.023505825039878865,0.4059435606002806,1.0402532720565754,-0.052736218341734344
I2,I4,entry_old,SUPERSEDED,PS,180,-2,-1.1111111111111112,4,2,3,0.24451207280572917,1.8932161569595334,2.3267120218276998,0.046064737868598764
I2,I4,entry_old,UNKNOWN_RELATION,PS,0,0,,0,0,0,,,,
I2,I4,entry_old,ALL,NS,50000,-92,-0.184,773,681,36,0.03389015451954678,0.8126833915710449,1.4348607444763184,0.011348051767276993
I2,I4,entry_old,ACTIVE_TARGET,NS,49100,-95,-0.1934826883910387,755,660,31,0.03201386076180775,0.8025535106658935,1.4054538631439208,0.009227530493398783
I2,I4,entry_old,SUPERSEDED,NS,900,3,0.3333333333333333,18,21,5,0.13625240285842058,1.3565407991409293,2.910628414154053,0.1270342679310771
I2,I4,entry_old,UNKNOWN_RELATION,NS,0,0,,0,0,0,,,,
I2,I4,fullseen,ALL,RS,6000,-6,-0.1,7,1,-15,0.019580569245221342,0.02806194648146635,0.5409270470589415,-0.07039233273019393
I2,I4,fullseen,ACTIVE_TARGET,RS,5904,-4,-0.06775067750677506,5,1,-13,0.0101676497047493,0.019205843098461458,0.2620292373979485,-0.07552940262415948
I2,I4,fullseen,SUPERSEDED,RS,96,-2,-2.0833333333333335,2,0,-2,0.5984751209842519,4.164213299751282,5.578408575057983,0.2455374657486876
I2,I4,fullseen,UNKNOWN_RELATION,RS,0,0,,0,0,0,,,,
I2,I4,fullseen,ALL,PS,12000,-1,-0.008333333333333333,39,38,2,0.01652573300020898,0.4792787820100784,1.371128840446474,-0.027178436866262926
I2,I4,fullseen,ACTIVE_TARGET,PS,11808,2,0.016937669376693765,34,36,-1,0.011975244739703716,0.4502127234824001,1.2198285913467426,-0.028198461963064452
I2,I4,fullseen,SUPERSEDED,PS,192,-3,-1.5625,5,2,3,0.2963807610212825,1.9954323530197142,2.7525097560882608,0.035553106587030925
I2,I4,fullseen,UNKNOWN_RELATION,PS,0,0,,0,0,0,,,,
I2,I4,fullseen,ALL,NS,60000,-122,-0.20333333333333334,929,807,43,0.03488862143290656,0.8181158304214455,1.4512753963470506,0.008579524783324754
I2,I4,fullseen,ACTIVE_TARGET,NS,59040,-125,-0.2117208672086721,910,785,38,0.03338317328743869,0.8123265027999877,1.4227673387527466,0.006646806470906586
I2,I4,fullseen,SUPERSEDED,NS,960,3,0.3125,19,22,5,0.1274736823791803,1.3382801055908196,2.910624942779541,0.12744170099704205
I2,I4,fullseen,UNKNOWN_RELATION,NS,0,0,,0,0,0,,,,
