arm,K,endpoint,prompt,target,count,mean,median,p90,max,min
c1,1,pre_writer_W,rewrite,true,1000,4.591916079607326,4.241697788238525,9.64651870727539,16.17287254333496,0.0011940023396164179
c1,2,accepted_z,rephrase,new,2000,5.5563114880919455,5.160431623458862,10.193685531616211,18.875404357910156,0.04504117742180824
c1,2,accepted_z,rephrase,true,2000,5.575623365406878,5.24449896812439,10.031232833862305,20.9715633392334,0.005882451310753822
c1,2,accepted_z,rewrite,new,1000,4.561082030013203,4.118114709854126,8.382224082946777,15.635003089904785,0.1188337504863739
c1,2,accepted_z,rewrite,true,1000,5.112067847929895,4.78341007232666,9.078329086303711,14.159066200256348,0.07518958300352097
c1,2,post_writer_W,rephrase,new,2000,6.081247076801955,5.714910984039307,10.749074935913086,20.88849449157715,0.08727691322565079
c1,2,post_writer_W,rephrase,true,2000,5.3760699313706715,4.991296052932739,9.866668701171875,21.05841636657715,0.00945920031517744
c1,2,post_writer_W,rewrite,new,1000,4.408736419767141,3.993102788925171,8.009810447692871,15.51571273803711,0.10113586485385895
c1,2,post_writer_W,rewrite,true,1000,5.14080628798157,4.770459413528442,9.045573234558105,14.105364799499512,0.09842051565647125
c1,2,pre_writer_W,rephrase,new,2000,8.407440055370332,8.313111305236816,12.532187461853027,19.910484313964844,0.5116691589355469
c1,2,pre_writer_W,rephrase,true,2000,4.9289675499694425,4.44572377204895,9.573266983032227,20.82281494140625,0.012216858565807343
c1,2,pre_writer_W,rewrite,new,1000,7.8602980633974076,7.704504013061523,12.131521224975586,18.93208122253418,0.34218260645866394
c1,2,pre_writer_W,rewrite,true,1000,4.582520462518791,4.177403688430786,8.798629760742188,14.666667938232422,0.0030822886619716883
c1,3,accepted_z,rephrase,new,2000,2.9976989259604596,2.20169734954834,6.957869529724121,18.119468688964844,0.0022638426162302494
c1,3,accepted_z,rephrase,true,2000,7.3796923804041,7.199785470962524,11.724907875061035,19.284832000732422,0.015956800431013107
c1,3,accepted_z,rewrite,new,1000,1.6561967705707066,1.1344066858291626,3.8981990814208984,11.779048919677734,0.0012761552352458239
c1,3,accepted_z,rewrite,true,1000,7.271242509961128,6.991028070449829,11.66987419128418,18.25023651123047,0.7035284638404846
c1,3,post_writer_W,rephrase,new,2000,3.5407816375520778,2.766173839569092,7.812487602233887,18.275907516479492,0.001828071428462863
