batch,RS_rate,PS_rate,NS_rate,q_after_mean,q_worsened,distance_from_own_immediate_activation_mean,batch_net_actual_frobenius,W0_net_actual_frobenius,batch_squared_share,cell,arm
6,0.99666666666666681,0.90416666666666656,0.80666666666666664,0.2151860517348545,77.333333333333329,0.2461997829502727,9.5841930133566695,21.070353464222201,0.63939643206608543,LA,QCL
7,0.99571428571428555,0.91142857142857137,0.79528571428571415,0.21518570248660512,72.571428571428569,0.27215713863602531,9.5222280100158727,23.107295113025025,0.63798294759277507,LA,QCL
8,0.99750000000000005,0.916875,0.77912499999999985,0.21604186585742013,81,0.29986007182298086,10.061041518945526,25.185859498014747,0.64208905813688122,LA,QCL
9,0.99666666666666681,0.92277777777777781,0.77766666666666662,0.21717273227492839,80.111111111111114,0.32794217965338013,10.05986039837301,27.102054270697096,0.63617473731494378,LA,QCL
10,0.997,0.92049999999999998,0.77890000000000004,0.21880569536264635,84.599999999999994,0.35369052865529971,10.249877941173668,28.956358116407493,0.64242200416844786,LA,QCL
1,1,0.94999999999999996,0.85899999999999987,0.15548430024748061,0,0,11.910498603393185,11.910498603393185,0.115641868776309,LA,NQFIX
2,1,0.94999999999999996,0.84950000000000003,0.14465090035505299,47.5,0.1571685587868101,12.707240922497402,17.428247222637836,0.1162844903296309,LA,NQFIX
3,1,0.94833333333333325,0.82933333333333326,0.14764291846576802,66.333333333333329,0.32586981015117078,13.951095965026775,22.343287772822165,0.1105138434916304,LA,NQFIX
4,1,0.95625000000000004,0.80674999999999986,0.14875901984719495,74.25,0.4309657182574127,14.710474416645129,26.767237412137948,0.1065356098749376,LA,NQFIX
5,0.996,0.95599999999999996,0.78800000000000003,0.15843097022308883,79.400000000000006,0.58853509362167622,15.832931033487847,31.117469238234456,0.1065648159422123,LA,NQFIX
6,0.995,0.96166666666666656,0.73866666666666658,0.17865782567838295,83.333333333333329,0.78765085294783577,17.164087878050786,35.557340030739915,0.1051629153645563,LA,NQFIX
7,0.99571428571428555,0.96214285714285719,0.73457142857142854,2.6304798063010604,85.714285714285708,0.99203269076363887,18.272521214640228,40.004941766144881,0.1036490842866091,LA,NQFIX
8,0.995,0.96187500000000004,0.71225000000000005,23.690329020847486,87.25,1.2020151203625657,20.177714949727989,44.830449137646887,0.1045077702437322,LA,NQFIX
9,0.99222222222222223,0.95888888888888879,0.70533333333333326,30.747738977466774,88.777777777777771,1.5019658160009031,20.734638978208952,49.430626501912741,0.10135649600993479,LA,NQFIX
10,0.99099999999999999,0.95799999999999996,0.69969999999999988,33.917615568367296,86.200000000000003,1.7378037601711132,22.602215504020364,54.386403543352792,0.10132437972388079,LA,NQFIX
1,1,0.83999999999999986,0.875,0.19875359040951371,0,0,7.5232316390696399,7.5232316390696399,0.57738605298544654,LA,ORBFH
2,0.995,0.87,0.86650000000000005,0.19348235607703673,44,0.0823107871090374,8.0092706794126691,10.987859408294414,0.53479444926904973,LA,ORBFH
3,0.99333333333333318,0.88166666666666671,0.85166666666666657,0.19477585053002286,63.333333333333336,0.15366538497358193,8.62388386099102,13.963714464535158,0.52688213102309356,LA,ORBFH
4,0.995,0.89875000000000005,0.83825000000000005,0.19166577818344627,68.25,0.18606079135399736,8.9421106656514571,16.574452953737627,0.48786577849562279,LA,ORBFH
5,0.996,0.90000000000000002,0.82779999999999987,0.18942866250842008,70.599999999999994,0.22034301225174771,9.3261820420891279,19.011379352229596,0.48336261957576637,LA,ORBFH
6,0.995,0.90000000000000002,0.80733333333333335,0.18832901685598499,78.166666666666671,0.26089264151060826,9.8885849784774056,21.419125799322895,0.4531627702310228,LA,ORBFH
7,0.99571428571428555,0.90714285714285725,0.79157142857142848,0.1869262035676334,74.857142857142861,0.28915060308164853,9.8113218776178073,23.547989572165747,0.4645167064907495,LA,ORBFH
8,0.99624999999999997,0.91374999999999995,0.77825,0.1864274735216451,83.875,0.32131991866166892,10.46434812778266,25.756559290215677,0.44339369570408388,LA,ORBFH
