cell,arm,batch,RS_cumulative_minus_online_pp,PS_cumulative_minus_online_pp,PS_strict_cumulative_minus_online_pp,NS_cumulative_minus_online_pp
LA,NQFIX,8,-0.50000000000000044,-1.3124999999999942,-2.1249999999999991,-5.5999999999999943
LA,NQFIX,9,-0.77777777777777724,-1.8888888888888844,-3.3333333333333326,-5.5777777777777704
LA,NQFIX,10,-0.9000000000000008,-2.1000000000000019,-3.8999999999999924,-5.8799999999999963
LA,ORBFH,1,0,0,0,0
LA,ORBFH,2,-0.50000000000000044,0.50000000000000044,0,-0.60000000000000053
LA,ORBFH,3,-0.66666666666667096,0.50000000000000044,0,-1.4333333333333309
LA,ORBFH,4,-0.50000000000000044,0.50000000000000044,0,-1.749999999999996
LA,ORBFH,5,-0.40000000000000036,0.20000000000000018,0,-2.3800000000000043
LA,ORBFH,6,-0.50000000000000044,-0.33333333333332993,-1.0000000000000009,-2.849999999999997
LA,ORBFH,7,-0.42857142857143371,-0.35714285714285587,-1.28571428571429,-3.8999999999999924
LA,ORBFH,8,-0.37500000000000311,-0.43750000000000178,-1.1249999999999982,-4.1250000000000009
LA,ORBFH,9,-0.33333333333332993,-0.88888888888888351,-1.6666666666666607,-4.3333333333333339
LA,ORBFH,10,-0.40000000000000036,-0.80000000000000071,-1.6000000000000014,-4.3499999999999979
LA,JAC,1,0,0,0,0
LA,JAC,2,-0.50000000000000044,0.50000000000000044,0,-0.8499999999999952
LA,JAC,3,-0.66666666666667096,0.50000000000000044,0,-1.9000000000000017
LA,JAC,4,-0.50000000000000044,1.1249999999999982,1.0000000000000009,-1.9249999999999989
LA,JAC,5,-0.40000000000000036,0.9000000000000008,0.80000000000000071,-1.5399999999999969
LA,JAC,6,-0.33333333333332993,0.75000000000000622,0.50000000000000044,-3.1833333333333269
LA,JAC,7,-0.14285714285714457,0.2142857142857113,-0.28571428571428914,-3.7857142857142811
LA,JAC,8,0,0.187499999999996,0,-4.4750000000000068
LA,JAC,9,-0.11111111111110628,0.33333333333332993,0.11111111111111738,-4.7777777777777803
LA,JAC,10,0,-0.050000000000005596,-0.40000000000000036,-4.4900000000000055
QM,O,1,0,0,0,0
QM,O,2,0,-0.25000000000000577,0,-0.80000000000000071
QM,O,3,-0.33333333333332993,-0.33333333333334103,-0.66666666666665986,-1.8333333333333313
QM,O,4,-0.50000000000000044,0.37500000000000311,0.50000000000000044,-2.1499999999999964
QM,O,5,-0.80000000000000071,0.10000000000000009,0.60000000000000053,-2.6399999999999979
QM,O,6,-0.66666666666667096,-0.25000000000000577,-0.16666666666667052,-3.7000000000000033
QM,O,7,-0.57142857142856718,-0.64285714285714501,-0.57142857142856718,-4.1000000000000032
QM,O,8,-0.62499999999999778,-0.31249999999999334,-0.12499999999999734,-4.5250000000000012
