comparison,cohort,future_batches,metric,denominator,before_num,after_num,delta_pp,retained,lost,gained,both_failed,conditional_loss_den,conditional_recovery_den,strict_lost,strict_gained,strict_before,strict_after,desired_NLL_harm_mean,desired_NLL_harm_median,desired_NLL_harm_p90,desired_NLL_harm_p95,desired_NLL_harm_p99,desired_NLL_harm_min,desired_NLL_harm_max,competing_NLL_change_mean,competing_NLL_change_median,competing_NLL_change_p90,competing_NLL_change_p95,competing_NLL_change_p99,competing_NLL_change_min,competing_NLL_change_max
ATWRITE_TO_W100,21,79,RS,100,100,98,-2.0,98,2,0,0,100,0,13,0,100,87,0.5454528461072187,0.053220273344777524,1.7509173169732108,3.6672237914055574,5.226024081679073,-0.03340722760185599,7.528541038744152,-1.5452183628082274,-1.7585618495941162,1.9737161636352547,2.722514629364011,5.327659850120567,-7.915197134017944,9.749977111816406
ATWRITE_TO_W100,22,78,RS,100,100,98,-2.0,98,2,0,0,100,0,15,0,100,85,0.6690848340973026,0.03468254301697016,2.157061167806388,3.1368321482092076,9.41374813333154,-0.12394184805452824,9.923598960042,-1.3439374268054962,-1.1924009323120117,1.3169101715087894,1.8428486108779891,4.234932346344006,-8.335746765136719,6.422161102294922
ATWRITE_TO_W100,23,77,RS,100,100,99,-1.0,99,1,0,0,100,0,6,1,98,93,0.2808716944680782,0.013954342808574438,0.5663503536488866,2.025015172362327,3.3562769053783326,-1.1199777126312256,4.449012994766235,-1.1323749279975892,-0.7269585132598877,2.2788391113281268,3.822319841384888,4.929237632751476,-8.401914596557617,6.964258193969727
ATWRITE_TO_W100,24,76,RS,100,99,99,0.0,99,0,0,1,99,1,11,1,97,87,0.473814273441385,0.020669532823376358,1.5165296198159928,4.202152038551867,4.993292858898648,-2.941861391067505,6.4414042532444,-0.6966683697700501,-0.42372941970825195,2.0985465526580818,2.988588905334472,3.7621982240676934,-8.328804969787598,4.845573902130127
ATWRITE_TO_W100,25,75,RS,100,100,97,-3.0,97,3,0,0,100,0,12,0,100,88,0.4780291748367017,0.03476525377482176,1.417775273486041,2.6440195189672493,5.133358738049884,-0.1592417974025011,8.802373111248016,-1.110690748691559,-0.662909746170044,2.172053480148318,2.863929402828216,5.383828473091128,-11.213314533233643,5.939484119415283
ATWRITE_TO_W100,26,74,RS,100,100,100,0.0,100,0,0,0,100,0,12,1,99,88,0.5122896966984263,0.05200686689931899,1.467710185609759,2.3155254520010184,6.449805792570152,-1.275891125202179,13.76187065243721,-1.0753083276748656,-0.6998672485351562,2.80428428649903,3.958614492416381,5.044787969589235,-11.374585151672363,5.394929885864258
ATWRITE_TO_W100,27,73,RS,100,100,95,-5.0,95,5,0,0,100,0,11,1,98,88,0.5640284563299065,0.03796352818608284,1.4181446366943464,3.246554409514647,9.540003711581237,-2.9182017892599106,10.838475584983826,-1.2450791907310486,-1.0202369689941406,1.5382019996643077,3.081562280654907,5.377073242664342,-16.341074466705322,6.407736539840698
ATWRITE_TO_W100,28,72,RS,100,100,98,-2.0,98,2,0,0,100,0,12,0,99,87,0.47657089260581414,0.016936462256126106,1.5465684473514567,2.831083506392311,5.868930647969255,-0.24281763657927513,7.565830111503601,-0.7424785327911377,-0.2565000057220459,2.2343956947326666,2.9378032445907576,3.810905151367188,-6.480629920959473,3.93880558013916
ATWRITE_TO_W100,29,71,RS,100,98,99,1.0,98,0,1,1,98,2,10,0,98,88,0.35767321199382424,0.022748065181076527,0.6992114124819656,2.6780020272359253,5.963216951866642,-1.4269826412200928,7.343752734363079,-0.8450276248157025,-0.628779411315918,2.0329872846603405,3.1139476060867306,4.531359152793886,-7.1476240158081055,4.810347557067871
ATWRITE_TO_W100,30,70,RS,100,100,98,-2.0,98,2,0,0,100,0,12,0,100,88,0.3852264954094426,0.037207650602795184,1.4117037251591724,2.35741362310946,3.901133590638639,-0.9632858848199248,4.163302272558212,-0.7553641963005066,-0.3804197311401367,2.182124185562134,2.8690036296844474,5.21966799259186,-8.901607036590576,5.555505752563477
