arrival_batch,metric_tag,numerator,denominator,strict_numerator,token_correct,token_denominator,safety_margin_mean,safety_margin_q05,anchor
49,RS,100,100,99,99,100,13.994663334665166,8.93954684648197,ACTUAL_ARRIVAL_CURRENT_JSON
50,NS,747,1000,132,141,1010,2.817546339506749,-4.369924330711365,ACTUAL_ARRIVAL_CURRENT_JSON
50,PS,193,200,140,148,208,7.981666807734182,0.4497777938842774,ACTUAL_ARRIVAL_CURRENT_JSON
50,RP_JOINT,94,100,54,252,312,6.431106915227137,-0.0913327693939208,ACTUAL_ARRIVAL_CURRENT_JSON
50,RS,100,100,100,104,104,13.782262073794591,8.376985559810418,ACTUAL_ARRIVAL_CURRENT_JSON
51,NS,711,1000,101,131,1030,2.518592006100341,-6.535529541969299,ACTUAL_ARRIVAL_CURRENT_JSON
51,PS,197,200,149,150,202,9.379506608886878,2.077221775054932,ACTUAL_ARRIVAL_CURRENT_JSON
51,RP_JOINT,97,100,61,250,303,7.914730759993545,0.7217644691467285,ACTUAL_ARRIVAL_CURRENT_JSON
51,RS,100,100,99,100,101,14.227418206280635,8.190152258786839,ACTUAL_ARRIVAL_CURRENT_JSON
52,NS,734,1000,140,160,1020,2.544997299997602,-5.424933433532715,ACTUAL_ARRIVAL_CURRENT_JSON
52,PS,195,200,138,142,204,8.165975400068127,1.976570349931717,ACTUAL_ARRIVAL_CURRENT_JSON
52,RP_JOINT,96,100,51,244,306,6.871421562535688,1.069612979888916,ACTUAL_ARRIVAL_CURRENT_JSON
52,RS,100,100,100,102,102,13.39667230087318,8.425433718314162,ACTUAL_ARRIVAL_CURRENT_JSON
53,NS,688,1000,102,102,1000,2.136663639967272,-5.815289325639605,ACTUAL_ARRIVAL_CURRENT_JSON
53,PS,189,200,128,132,204,8.419711836605565,-0.360741758346557,ACTUAL_ARRIVAL_CURRENT_JSON
53,RP_JOINT,93,100,46,233,306,6.927367105779704,-1.00189414024353,ACTUAL_ARRIVAL_CURRENT_JSON
