model,arm,outer_step_index,lambda,oracle_residual_norm,waypoint_residual_norm,waypoint_injection_nll,alpha,W_nll_pre,W_nll_post,predicted_progress,actual_progress,negative_progress,target_objective_mean,target_objective_median,target_objective_p90,target_objective_max,final_vs_best_gap_mean,post_residual_norm,outer_update_energy,fallback_count,retry_count,native_storage_assignment_count,logical_outer_commit_count,current_key_q_refresh_count,oracle_target_sha256,waypoint_sha256,post_terminal_sha256
Llama3-8B-Instruct,C3-FH,4,0.25,40.7788734192689,10.194718354046014,1.715044676461257,1.7810773207014425,3.4961219971626996,1.8835339476121589,1.7810773207014425,1.6125880495505407,False,0.3096058344654898,0.11510591357572668,0.39181577829866665,5.96868845922114,0.19565148637728288,,,0,0,,,0,d6a690fc7e09abeb137b9e450692e0e7403469f27d59ea5acd4e1c478db3c6eb,4c2667fe88fd40b40b30760ddd9abb2e22eda18c8f76a3c34d711452f5a168d2,fc0e218a62784583dbac0692dd8d53a0091570599442c857fb064af2dbffb837
Llama3-8B-Instruct,C3-FH,5,0.3333333333333333,40.31350111764212,13.437833705932945,0.6311510260240175,1.2523829215881412,1.8835339476121589,0.8106658929237165,1.2523829215881412,1.0728680546884424,False,0.15992083568390453,0.11931883684386431,0.25325823210668436,1.660409123099198,0.04557113730258659,,,0,0,,,0,d1bdfc363cecb8c6f27452bc0acf7ec30079559a6fc1751bd425589ff7884079,fe5a6e19470eea60084ade0eaa0b305330034fa9b82e1de89bd0f1ec84370bb2,0978801431f68377cfdbfa8ea8ac9b3c6eb0a752df65e2613c8e610062ce52ae
Llama3-8B-Instruct,C3-FH,6,0.5,40.13307228161874,20.06653613990708,0.2720539600183838,0.5386119329053327,0.8106658929237165,0.3701970311260084,0.5386119329053327,0.4404688617977081,False,0.28996172930019964,0.11281024250363694,0.4140349018024898,8.588573597379083,0.18581671083157325,,,0,0,,,0,9ccb7b981f36ea1cc9f2aba76e826fa8bdcb46ac7967c910b281990f4526fead,aab30f6133581aa6a116b52f533ff8f8113bf09e1287a73a669147f2da9bc12c,eda3fe677c1c1d703b2e10fbc224516c432b80a7f510f8affdc415117cb9a955
Llama3-8B-Instruct,C3-FH,7,1.0,41.851966380747875,41.851966380747875,0.20247083362773993,0.16772619749826845,0.3701970311260084,0.2560982795292512,0.16772619749826845,0.1140987515967572,False,0.30174469130366616,0.1144836981999853,0.30367230652356497,8.423739354936188,0.18983972056430318,,,0,0,,,0,0b0be1b03bcbad517e344f260f455176678936341582c3558fde7e02054a79d2,0b0be1b03bcbad517e344f260f455176678936341582c3558fde7e02054a79d2,2b3438cc8432e5873d75353d820e526fffb59a3ce7b90e4764eafa03753b0bc5
Qwen2.5-7B-Instruct,C0-FH,0,0.125,841.7357220908568,105.21696526372915,5.660446764230728,4.750101002454758,10.410547766685486,9.090391476154327,4.750101002454758,1.320156290531159,False,0.5761609640089712,0.11049617818645818,0.9819208834546543,9.234878554317554,3.1146751526731075e-06,9647.19097337028,180610.43276606832,0,0,5,1,4,dd67cab8240cb18ab413c67b2a82fcb27e483878e6f409e8f8d7a32c7366f0cc,ca86728ff17083495f97ab6462ac0a1b5fcd1e2bb088e6d83284e1b523d0b64a,487dbec6708a14aa87aaa8e6258b91f937b8265c05df040d265a1f5a925337ae
Qwen2.5-7B-Instruct,C0-FH,1,0.14285714285714285,9615.510747745824,1373.6443928802805,8.99669559955597,0.09369587659835688,9.090391476154327,13.55854784965515,0.09369587659835688,-4.468156373500824,True,0.06150146777319008,0.04668561028194277,0.11471213733907895,0.5138626920037778,0.0010999870244102652,28657.379543955638,1318249.8093926446,0,0,5,1,4,590f7923dfa6722c07651f03fbfa1439a1da8036e5e7fab6323d03395397a0d2,5ba23d165ad24214bd488b50f2e42075071730ec3207d81a9eb6dde38c4c6d8b,a7acc7dd016c306a3a0f2fb0e3e9a202867e8011f8864ccad3bc98e528053333
Qwen2.5-7B-Instruct,C0-FH,2,0.16666666666666666,32431.175573569777,5405.195933226674,13.538787655830383,0.01976019382476757,13.55854784965515,16.26287117958069,0.01976019382476757,-2.704323329925538,True,3.666034117256317,1.9595848024498668,9.442963370028233,15.836668030791952,0.0,1202787.5306455202,2095072526.2339296,0,0,5,1,4,63bd1cdf02413ac1d5ccdde70362de5fe3da4b93e805c7c92e2cb19b5f87239c,576fbc11dde1e6472bf94815db0bfc6a944bea6fed323e940546d7c8a880bc4f,c25b10b0686a49cf2532db63bf6705e6ad2aabd84035033dd6b8d342e1d3a0c1
Qwen2.5-7B-Instruct,C0-FH,3,0.2,1179291.1148565828,235858.22272680307,16.26287184715271,0.0,16.26287117958069,16.26287117958069,0.0,0.0,False,16.36353457980562,16.52032336108641,18.710174482841285,21.403591258427834,0.004844753277821496,,0.0,0,0,,,0,271a99ba9319517f89d3eb7da0c41d635bbe2dafcfbfa1fb93660528b358fe6e,74d393c8e39d349e6589ad0cd51b05cbe28b3905793d7562167e9d9639409328,c25b10b0686a49cf2532db63bf6705e6ad2aabd84035033dd6b8d342e1d3a0c1
Qwen2.5-7B-Instruct,C0-FH,4,0.25,1179292.0025429649,294823.0004788544,16.262871923446657,0.0,16.26287117958069,16.26287117958069,0.0,0.0,False,16.327720898703056,16.44042374688142,18.591415006829287,21.268171663322775,0.0009235494857173698,,0.0,0,0,,,0,755f75a242c7bc8fa4b27eb2bcc0e82effb6ae6b1e993bce979aff537e307422,694bcdb8b57065c5a2f5585aa2aef394db169088380766452c3c377886142c61,c25b10b0686a49cf2532db63bf6705e6ad2aabd84035033dd6b8d342e1d3a0c1
Qwen2.5-7B-Instruct,C0-FH,5,0.3333333333333333,1179293.4710941494,393097.8238826796,16.26287159919739,0.0,16.26287117958069,16.26287117958069,0.0,0.0,False,16.30425339578145,16.38101630910747,18.585669588618355,21.267456225505853,0.00041969470802476037,,0.0,0,0,,,0,2ac3ac3d141409504b3deba608524d96b60546459f860ce434438ba58dbd4767,50d44d3f944f9afd702812ba988486717cd0d0699bef7261ae1fce04f42cd08f,c25b10b0686a49cf2532db63bf6705e6ad2aabd84035033dd6b8d342e1d3a0c1
