model,arm,outer_step_index,layer,field_source,pi,beta,suffix_mass,key_norm,q_norm,residual_norm_before,residual_norm_after,residual_reduction,update_norm,update_energy,update_energy_share,numeric_storage_cast_count,bf16_path_call_count,key_sha256,q_sha256
Llama3-8B-Instruct,C1-FH,0,4,ENTRY_FIELD_REUSE,0.18323302268981934,0.18323302542020417,0.9999999850988388,28.4580977190703,3.298148222074917,5.673822144152656,5.409690663640065,0.2641314805125914,0.3356806118332079,0.11268147316071679,1.4807022814316291e-06,0,0,7eed86ec93b4f938eca6b83cf1e6af70dc329b5165c53d53a921ece58ed85715,7a3aec87860e51559e01f681bdda930762388078520b930b6854721b6a46e653
Llama3-8B-Instruct,C1-FH,0,5,CURRENT_PREFIX_KEY_Q,0.21578222513198853,0.26419068726231043,0.8167669624090195,34.38786607876519,2.890098602660562,5.409690663640065,14.547627097378593,-9.137936433738528,3.2381666293458533,10.485723119409085,0.0001377887039444759,0,0,d65a2e14871f3145a21de522ea1d785d424e94ad4d9fc24441920fd7704c095c,9d7e154a0d418f7e46a8637667036e46cb1980f8e35a0b91d3151d32c42f8d1f
Llama3-8B-Instruct,C1-FH,0,6,CURRENT_PREFIX_KEY_Q,0.22090256214141846,0.3675676742512528,0.600984737277031,37.57091460035348,2.7495542412182536,14.547627097378593,40.621192929729624,-26.07356583235103,11.426257451693976,130.5593593523921,0.0017156284510019548,0,0,ecd53a23d76aa3c6449be4a9a3f4787bab4e388c7b95b133e8fb1b46470abeee,f8be390afea8b30b22279a362ea8122f2ae7f0665b7ffc40e9258f56c10c2339
Llama3-8B-Instruct,C1-FH,0,7,CURRENT_PREFIX_KEY_Q,0.20100831985473633,0.528854897715256,0.3800821751356125,37.253810924518106,2.7585632178802846,40.621192929729624,138.48631061088332,-97.86511768115369,44.89684226112332,2015.726445020189,0.026487856984496624,0,0,e160254961e62ab130a7bd580b6d4d884c3a0f0958f8419aa2e0230e89e990f2,5b9b323ec6c86c12e08026669dc5e89c458fe8bfbac35a40fddf47d5f347f7eb
Llama3-8B-Instruct,C1-FH,0,8,CURRENT_PREFIX_KEY_Q,0.17907385528087616,1.0,0.17907385528087616,39.10363881735685,2.5778868514228988,138.48631061088332,937.0795039792773,-798.5931933683939,271.9248715060351,73943.13574357372,0.9716572451582756,0,0,20c2734a05809a188ee2bcaf0b257dfdff6f5dce0cd1a3fbb2b77f20650814ef,2ef3b70cc4d93a4da74a1dd218b615114493ce7aa4c321daca2da0d3327f982a
Llama3-8B-Instruct,C1-FH,1,4,ENTRY_FIELD_REUSE,0.1975097805261612,0.1975097805261612,1.0,28.4580977190703,3.298148222074917,133.8073592005683,272.5135107239859,-138.70615152341762,8.616523238423019,74.2444727182839,2.6530382277100784e-06,0,0,7eed86ec93b4f938eca6b83cf1e6af70dc329b5165c53d53a921ece58ed85715,7a3aec87860e51559e01f681bdda930762388078520b930b6854721b6a46e653
Llama3-8B-Instruct,C1-FH,1,5,CURRENT_PREFIX_KEY_Q,0.19883720576763153,0.2477752388035349,0.8024902194738388,32.48894134710835,2.9923442128294684,272.5135107239859,783.1391423119345,-510.6256315879486,157.0754864757731,24672.70845160077,0.0008816499909914826,0,0,e4b8b5c9c799b835e52df27617aea34643485d90e6e2a51bdb1cb7e9f19960a6,edced9ef506873327c032597d2c9baa457923751096333e640c2c090b5b38250
Llama3-8B-Instruct,C1-FH,1,6,CURRENT_PREFIX_KEY_Q,0.1832243651151657,0.3035259676585321,0.6036530137062073,33.07913815810461,3.173671913541817,783.1391423119345,1159.2021855592704,-376.06304324733594,500.8711659441478,250871.92487425002,0.008964610867075201,0,0,5db647e72bbe7fe8cb0fc0aba233aa670bc92c9fc541a829352e8b14d1146795,258707fbf7ee25f6f145978eda2c6cbfdb604ff71d5ba03f9af24074819e6578
Llama3-8B-Instruct,C1-FH,1,7,CURRENT_PREFIX_KEY_Q,0.19015327095985413,0.4522842855668944,0.42042864859104156,40.415332157772944,3.0263901611921282,1159.2021855592704,2630.933139111486,-1471.7309535522156,1248.3994250661144,1558501.1245054048,0.055691190331852554,0,0,f61513bb3e69eb4e3bb37264bf1809b5828bd2a663c5c96172f66e2dd54d011d,19f6d92417e703b1b726a33f1c11a456e9dc768a3d8f09d53deaf2a5a3168c23
Llama3-8B-Instruct,C1-FH,1,8,CURRENT_PREFIX_KEY_Q,0.23027537763118744,1.0,0.23027537763118744,59.79862346384219,2.904854289309439,2630.933139111486,17328.20062692544,-14697.267487813955,5113.76355251564,26150577.671037383,0.9344598957718531,0,0,bb6f7a43b2c4ccdfcf008967a0345bd753e3bb478b4716c3874d63f94a4980cc,c082c3fcdaa3fa6fc87641d95e99510ff2ee2125c85fb41904bf3b3105be75aa
