entry,batch_raw,arm,bank,reference,denominator,reference_success,success,lost,gained,delta_pp
Middle,7,BF1,Base,ENTRY,1280,905,896,14,5,-0.703125
Middle,7,BF1,Base,N,1280,904,896,12,4,-0.625
Middle,7,BF1,Base,OS,1280,896,896,0,0,0.0
Middle,7,BF1,BaseAudit,ENTRY,1280,932,927,12,7,-0.390625
Middle,7,BF1,BaseAudit,N,1280,930,927,9,6,-0.234375
Middle,7,BF1,BaseAudit,OS,1280,927,927,0,0,0.0
Middle,7,ENTRY,Base,ENTRY,1280,905,905,0,0,0.0
Middle,7,ENTRY,Base,N,1280,904,905,3,4,0.078125
Middle,7,ENTRY,Base,OS,1280,896,905,5,14,0.703125
Middle,7,ENTRY,BaseAudit,ENTRY,1280,932,932,0,0,0.0
Middle,7,ENTRY,BaseAudit,N,1280,930,932,3,5,0.15625
Middle,7,ENTRY,BaseAudit,OS,1280,927,932,7,12,0.390625
Middle,7,N,Base,ENTRY,1280,905,904,4,3,-0.078125
Middle,7,N,Base,N,1280,904,904,0,0,0.0
Middle,7,N,Base,OS,1280,896,904,4,12,0.625
Middle,7,N,BaseAudit,ENTRY,1280,932,930,5,3,-0.15625
Middle,7,N,BaseAudit,N,1280,930,930,0,0,0.0
Middle,7,N,BaseAudit,OS,1280,927,930,6,9,0.234375
Middle,7,W0,Base,ENTRY,1280,905,1150,23,268,19.140625
Middle,7,W0,Base,N,1280,904,1150,23,269,19.21875
Middle,7,W0,Base,OS,1280,896,1150,24,278,19.84375
Middle,7,W0,BaseAudit,ENTRY,1280,932,1164,36,268,18.125
Middle,7,W0,BaseAudit,N,1280,930,1164,36,270,18.28125
Middle,7,W0,BaseAudit,OS,1280,927,1164,33,270,18.515625
