state,panel,metric,population,field,extreme,identity,case_sha256,value,finite,identity_verified
ENTRY,historical,PS,ALL,desired_margin,min,6361bb324612c8857806030f9ad56e5c6cf3a991cc6d36a00b480182d6cb8bfa,ec990f4f5504b3f027d534e7c038c6afb8567a6b6787e17d60f46edcbe66977a,-4.496556758880615,True,True
ENTRY,historical,PS,ALL,desired_margin,max,29bea9bc700e99ddb618530a91acb3e936be5376db58ff1d9ff690087310465c,a4238da765fb37b39f824237d4eddcbbac4b0eedaece539996a4a58144677a2c,21.30778310401365,True,True
ENTRY,historical,NS,ALL,new_nll,min,05151f6db3ad32eb7e0d6293eab3acefddefbcc7919a188e1aced55de4338784,423460bac56d9233064480e4bb6f1eb6622e89dfa9f73d68f38553f39e8433ca,0.00047267231275327504,True,True
ENTRY,historical,NS,ALL,new_nll,max,3392bb2cbf638573a1777c719847114057a6e9ee8cde1d547d2f262969752890,c49eb5e7bb09a8e471441ed78fa006cbb96c24b221b12523d8ac63ecef1d81b0,21.170085906982422,True,True
ENTRY,historical,NS,ALL,true_nll,min,c0a7e1accddf37d6edbcc3a5f3270f6d45b4567e271d2da371add00c3c66fa5f,4c2d983d3514d1fcf50ff50111404b71bdc5bd398d84dc436ad5577d66f84ead,0.006611023098230362,True,True
ENTRY,historical,NS,ALL,true_nll,max,2cc3f7c73824e0641e73759d09a1dba6963820850ecb30bdde8221012491f02a,6ac49669e238276d51719480fddfee2e18cf265f43678ed995071d363ee943f5,19.001386642456055,True,True
ENTRY,historical,NS,ALL,desired_margin,min,e55890ab60e34e39f306209161f595e49f06dab4884c7a9080318aa146482c6b,a11501e6e45d69a5dabb06a84de9022d24dcd9a4400fad8f518dc292188d98e4,-13.705384070053697,True,True
ENTRY,historical,NS,ALL,desired_margin,max,388c75ef8e7b71b9cc746404f748f1143a8e735c106c28ed3ccd7b643fe1ffbe,a4238da765fb37b39f824237d4eddcbbac4b0eedaece539996a4a58144677a2c,17.430798888206482,True,True
N4,current,RS,ALL,new_nll,min,d61e57e76c2ba53d609e00aa26cfb5dfbff8c43f67130faa8310abe3016389a1,71ecfa2482791c0c60ae95e4be4c734dad84ff0720acac9614bcf19ff0fb2f56,2.932505594799295e-05,True,True
N4,current,RS,ALL,new_nll,max,76342b1e0a5116a38b68ca6c901088f71ea8b2989453b151d9f85f9d60eabb06,442045b94797ee5fe968e858c44c6d01b2403cd4742dfd034c128ca20af310c4,2.0812087059020996,True,True
