state,panel,metric,population,field,aggregation_unit,n,mean,median,q25,q75,iqr,p90,p95,p99,min,max
ENTRY,current,PS,ALL,new_nll,REQUEST_CLUSTER_MEAN,100,8.648566964268685,8.865166664123535,6.180946052074432,10.936911225318909,4.755965173244476,12.343655729293824,13.39086730480194,16.631982622146612,0.7697216272354126,17.992844581604004
ENTRY,current,PS,ALL,true_nll,PROMPT,200,6.087803373113275,6.092065811157227,3.164005756378174,8.419433355331421,5.255427598953247,10.721856021881104,11.691597127914422,14.578580884933466,0.07348473370075226,16.301836013793945
ENTRY,current,PS,ALL,true_nll,REQUEST_CLUSTER_MEAN,100,6.087803373113275,5.9166330099105835,3.5973864644765854,7.918055057525635,4.320668593049049,10.332081794738771,10.917671060562133,13.797137808799746,0.5854191780090332,14.368725776672363
ENTRY,current,PS,ALL,desired_margin,PROMPT,200,-2.5607635911554096,-2.587461471557617,-5.380847930908203,0.16858816146850586,5.549436092376709,2.4737676143646232,4.5688508510589525,7.517211751937866,-16.264317750930786,9.036357879638672
ENTRY,current,PS,ALL,desired_margin,REQUEST_CLUSTER_MEAN,100,-2.5607635911554096,-2.7473001927137375,-5.535052299499512,0.42146289348602295,5.956515192985535,2.3150729119777687,4.138341665267944,6.818842322826393,-15.536249279975891,8.276770830154419
ENTRY,current,NS,ALL,new_nll,PROMPT,1000,8.623838392591104,8.654337882995605,5.718198299407959,11.58647632598877,5.8682780265808105,13.931093502044678,15.39059567451477,17.464895820617674,0.017962170764803886,21.66168975830078
ENTRY,current,NS,ALL,new_nll,REQUEST_CLUSTER_MEAN,100,8.623838392591104,9.148752057552338,6.321486952155829,10.870077335834504,4.5485903836786745,12.630069618225098,13.643906936645507,15.43278530597687,1.7836209535598755,15.865217781066894
ENTRY,current,NS,ALL,true_nll,PROMPT,1000,5.89743422966823,5.3866798877716064,3.1838794350624084,8.26066541671753,5.076785981655121,10.766437244415282,12.368444299697874,15.603526973724364,0.012413030490279198,21.42369842529297
ENTRY,current,NS,ALL,true_nll,REQUEST_CLUSTER_MEAN,100,5.89743422966823,5.760010778903961,3.8175220012664792,7.372795620560646,3.555273619294167,9.077582631111145,10.057264430522917,11.956114916801468,1.978912831656635,14.835758590698243
ENTRY,current,NS,ALL,desired_margin,PROMPT,1000,2.726404162922874,2.838191509246826,-0.4338730573654175,6.083918035030365,6.5177910923957825,8.891166305541992,10.55742484331131,14.121353047788142,-13.705384539440274,16.63895446062088
ENTRY,current,NS,ALL,desired_margin,REQUEST_CLUSTER_MEAN,100,2.726404162922874,3.2315427735447884,0.3804741233587265,5.21077589392662,4.8303017705678934,7.761646939292554,8.685055971741676,10.309623126775028,-7.316032993793487,10.671863496303558
ENTRY,historical,RS,ALL,new_nll,PROMPT,128,0.2375088222689783,0.0022749039344489574,0.0010096971673192456,0.007574852905236185,0.006565155737916939,0.0930466830730436,0.6447996348142616,6.333099399805093,0.00010692501382436603,13.89968490600586
ENTRY,historical,RS,ALL,new_nll,REQUEST_CLUSTER_MEAN,128,0.2375088222689783,0.0022749039344489574,0.0010096971673192456,0.007574852905236185,0.006565155737916939,0.0930466830730436,0.6447996348142616,6.333099399805093,0.00010692501382436603,13.89968490600586
ENTRY,historical,RS,ALL,true_nll,PROMPT,128,12.833935402333736,12.261953353881836,10.009867668151855,15.967551946640015,5.957684278488159,17.57101020812988,18.476153182983396,22.18305715560913,4.308664321899414,23.476993560791016
ENTRY,historical,RS,ALL,true_nll,REQUEST_CLUSTER_MEAN,128,12.833935402333736,12.261953353881836,10.009867668151855,15.967551946640015,5.957684278488159,17.57101020812988,18.476153182983396,22.18305715560913,4.308664321899414,23.476993560791016
ENTRY,historical,RS,ALL,desired_margin,PROMPT,128,12.596426580064758,12.152066681184806,9.844126450887416,15.583870840608142,5.739744389720727,17.570584710946424,18.47570203456998,22.18235517983267,2.8833361864089966,23.473798853578046
ENTRY,historical,RS,ALL,desired_margin,REQUEST_CLUSTER_MEAN,128,12.596426580064758,12.152066681184806,9.844126450887416,15.583870840608142,5.739744389720727,17.570584710946424,18.47570203456998,22.18235517983267,2.8833361864089966,23.473798853578046
ENTRY,historical,RS,ACTIVE_TARGET,new_nll,PROMPT,124,0.10299089314397744,0.002256765612401068,0.0008923303394112736,0.006395815755240619,0.005503485415829346,0.023592248372733618,0.28807163238525324,1.1732259678840613,0.00010692501382436603,7.963271141052246
