L2_work,W0_net_squared,actual_step_norm_sum,actual_step_squared_sum,alias,arm,batch,batch_net_magnitude_share,batch_net_norm,batch_net_squared,batch_net_squared_share,endpoint_native_raw,frobenius_work,history_work,layer,materialized_nonzero,normalized_native_work,parameter_elements,provenance,raw_native_work,signed_predicted_progress,velocity_status
NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,llama3-8b-inst,O_NATIVE,7,0.29616466209632347,8.567496533633683,73.40199685382517,0.4070682521551751,75.08632689947794,NOT_RECORDED,NOT_RECORDED,8,58720247,NOT_RECORDED,58720256,SH2_PUBLICATION_SH1_RECOMPUTED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED_OFFICIAL_ONE_PASS
NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,llama3-8b-inst,O_NATIVE,8,0.149695376690911,4.566447563157368,20.85244334706586,0.10462494954903773,21.188261125703125,NOT_RECORDED,NOT_RECORDED,4,58720210,NOT_RECORDED,58720256,SH2_PUBLICATION_SH1_RECOMPUTED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED_OFFICIAL_ONE_PASS
NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,llama3-8b-inst,O_NATIVE,8,0.15453406148414742,4.71405132268151,22.2222798728753,0.1114979607841172,22.556444871971397,NOT_RECORDED,NOT_RECORDED,5,58720231,NOT_RECORDED,58720256,SH2_PUBLICATION_SH1_RECOMPUTED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED_OFFICIAL_ONE_PASS
NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,llama3-8b-inst,O_NATIVE,8,0.17756361912235524,5.416566454960619,29.339192161004647,0.14720632247091361,29.846131986572587,NOT_RECORDED,NOT_RECORDED,6,58720233,NOT_RECORDED,58720256,SH2_PUBLICATION_SH1_RECOMPUTED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED_OFFICIAL_ONE_PASS
NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,llama3-8b-inst,O_NATIVE,8,0.22674807558959056,6.91693504579408,47.843990427734354,0.24005220881852665,48.90054242040803,NOT_RECORDED,NOT_RECORDED,7,58720230,NOT_RECORDED,58720256,SH2_PUBLICATION_SH1_RECOMPUTED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED_OFFICIAL_ONE_PASS
NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,llama3-8b-inst,O_NATIVE,8,0.29145886711299585,8.8909334604023,79.0486977973012,0.39661855837740484,80.8999141547853,NOT_RECORDED,NOT_RECORDED,8,58720246,NOT_RECORDED,58720256,SH2_PUBLICATION_SH1_RECOMPUTED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED_OFFICIAL_ONE_PASS
NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,llama3-8b-inst,O_NATIVE,9,0.14997182019577376,4.663022388468306,21.743777795356667,0.10490526303114464,22.385073860307095,NOT_RECORDED,NOT_RECORDED,4,58720229,NOT_RECORDED,58720256,SH2_PUBLICATION_SH1_RECOMPUTED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED_OFFICIAL_ONE_PASS
NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,llama3-8b-inst,O_NATIVE,9,0.1539009342267659,4.785188983962342,22.89803361223455,0.11047409799691867,23.502623294934256,NOT_RECORDED,NOT_RECORDED,5,58720226,NOT_RECORDED,58720256,SH2_PUBLICATION_SH1_RECOMPUTED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED_OFFICIAL_ONE_PASS
NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,llama3-8b-inst,O_NATIVE,9,0.17751670873359487,5.519466164186002,30.46450673759414,0.1469793852061837,31.17672905907219,NOT_RECORDED,NOT_RECORDED,6,58720233,NOT_RECORDED,58720256,SH2_PUBLICATION_SH1_RECOMPUTED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED_OFFICIAL_ONE_PASS
NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,llama3-8b-inst,O_NATIVE,9,0.2259063161804748,7.024027638464571,49.33696426591418,0.2380316457510512,50.5655061958363,NOT_RECORDED,NOT_RECORDED,7,58720238,NOT_RECORDED,58720256,SH2_PUBLICATION_SH1_RECOMPUTED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED_OFFICIAL_ONE_PASS
