alias,method,case,status,w0_restored,exception_class,exception_message_sha256,w0_e,w0_g,w0_l,post_e,post_g,post_l,post_e_new_nll,post_e_old_nll,post_e_margin,post_g_new_nll,post_g_old_nll,post_g_margin,post_l_new_nll,post_l_old_nll,post_l_margin,q,coverage,predicted_progress,actual_progress,realization_ratio,structural_p,functional_p,capacity,p_h_risk,energy_ratio,pi_entropy,pi_neff,pi_top1,v_above_one,v_max,edit_core_wall_seconds,evaluator_wall_seconds,model_forwards,backwards,processed_tokens,terminal_file_sha256
llama3-8b-inst,BG-PROGRESS-SIMPLEX-SOFT,1,FAIL,True,ODEBFContractError,642215aca30bb428b003bc1c029fbaf1d745eb37ac9d875c99defccbd7abc218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
llama3-8b-inst,BG-PROGRESS-SIMPLEX-SOFT,2,COMPLETE,True,,,0,1,87,10,16,86,0.041741943359375,11.8375,11.795758056640626,2.7802978515625,7.47109375,4.6907958984375,10.922421875000001,5.159018936157226,5.763402938842773,0.35700735077261925,0.4093610116957042,0.35700735077261925,0.1306586002930999,0.3659829412754904,0.00020172879500360587,0.06515588656822394,0.045854663060221616,0.9353197973676014,0.816992616816487,1.3743008832514325,3.9523126288665202,0.3905459952246847,3,1.2292295807685405,157.1453484436497,2.3860900700092316,26,16,27254,8ff0306be9da2d1ef918ce5f39cc693e7259209cc78e3f367e4747afa92f4b06
llama3-8b-inst,BG-PROGRESS-SIMPLEX-SOFT,3,COMPLETE,True,,,2,2,88,10,19,87,0.0598602294921875,11.678125,11.618264770507812,2.723704528808594,7.97421875,5.250514221191406,9.249566192626954,4.560131225585938,4.689434967041016,0.43274959176778793,0.8562109426164732,0.432749591767788,0.1824635644443333,0.42163775059508557,0.00021540841992232976,0.003712173522428648,0.07106222690628451,0.9994992187956169,0.9893174715731937,1.5980580323772062,4.943423129282197,0.24580841394191164,3,1.0205496438618007,147.08461318723857,2.2441603699699044,26,16,27590,c5dc4a073abb53fd2878efd4bc964643fe7d5b9d4397a59a55ec8bd96d9adab0
llama3-8b-inst,BG-PROGRESS-SIMPLEX-SOFT,4,COMPLETE,True,,,0,0,97,10,16,92,0.3291534423828125,8.8875,8.558346557617188,3.51077880859375,5.8556640625,2.34488525390625,10.34283203125,4.3327796936035154,6.010052337646484,0.9284619092941284,0.26488999342000674,0.9284619092941283,0.3645449880510569,0.39263321887681196,0.0001887181551716801,0.026140742409547096,0.04636102313926271,0.8477523185173933,0.7523425757920937,1.1423450768928096,3.1341094818056954,0.5744171474695124,1,1.6251072896784748,154.19760225340724,2.420892095193267,26,16,27046,d5f5f18eda9188313c9001d2bd9e82b3bc99bc7b693f6b025b610605288c6d6d
llama3-8b-inst,BG-PROGRESS-SIMPLEX-SOFT,5,FAIL,True,ODEBFContractError,8547def503d82837c2243f23dfab8f951d75546700748c79f2c7c82a27fdfedd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
llama3-8b-inst,BG-PROGRESS-SIMPLEX-SOFT,6,COMPLETE,True,,,2,6,87,10,16,83,0.4816322326660156,11.2875,10.805867767333984,2.1620552062988283,8.28984375,6.127788543701172,9.939453125,4.053591766357422,5.885861358642578,0.4544898569583893,0.5652655770398294,0.4544898569583892,0.4613018041243777,1.014988117029853,0.00023415680027680534,0.004178902217408605,0.06907482235453007,0.9976045458248812,0.9694965917396683,1.58045426270328,4.857161737585651,0.26470203848585444,4,1.0446333870397129,148.8186597675085,2.160271033644676,26,16,26552,1d24b258d406214a0bf6da78850ce503792af5f498bc40dbd9025ee72e45d0c2
llama3-8b-inst,BG-PROGRESS-SIMPLEX-SOFT,7,COMPLETE,True,,,0,1,95,10,20,94,0.3588127136230469,9.731252193450928,9.37243947982788,1.427617645263672,8.032491302490234,6.6048736572265625,10.480302734375,4.551133499145508,5.929169235229492,0.73110131919384,0.6522240883966737,0.73110131919384,0.3699132813606411,0.505967191753977,0.00022974512039869053,0.004193346678757646,0.06841367653704407,0.9998428005428542,0.999999955115848,1.6037013301904528,4.971399202628712,0.23206994219619298,3,1.0157798255079906,122.98276321683079,2.4137805942445993,26,16,28606,ef7b6e27d254aae58b1aed488af9bedf18001cbc3ec09868a5fc69c2ca83fa25
llama3-8b-inst,BG-PROGRESS-SIMPLEX-SOFT,8,COMPLETE,True,,,2,5,83,10,19,80,0.07032470703125,9.765625,9.69530029296875,2.5782958984375,8.95546875,6.3771728515625,9.9203125,4.869021644592285,5.051290855407715,0.060467338655143976,0.1529429354455475,0.060467338655143976,0.04073880817741156,0.6737324493323333,9.999414780950498e-05,0.0027344115855028575,0.020460516973976644,0.30441097278773227,0.3881684782255726,0.1430705669979382,1.1538112197872281,0.9721781791206258,1,1.3250539703647455,125.20657475013286,2.463628301396966,26,16,26474,83cf44c29c98c4120ac752ef7c6a9ac1df61a6286f081f1391c1d338ae96f6de
llama3-8b-inst,BG-PROGRESS-SIMPLEX-SOFT,9,COMPLETE,True,,,1,1,95,10,20,92,0.04174652099609375,10.71875,10.677003479003906,1.1499755859375,6.530078125,5.3801025390625,9.413359375,4.114216918945313,5.299142456054687,0.23017641343176365,0.40090043871854886,0.23017641343176368,0.10598920583724974,0.46046944713651133,0.00022396091120998547,0.016530598533780774,0.0486449499983033,0.9406810854182576,0.8920664832859374,1.4917706670975266,4.4449590978834115,0.3598354278030162,2,1.298892658487043,120.5495975939557,2.4007811713963747,26,16,26552,d139f4bb45450ec578f1031c0d17f1c0984a524e2046e39e28da9870e1b134a6
llama3-8b-inst,BG-PROGRESS-SIMPLEX-SOFT,10,COMPLETE,True,,,3,6,81,9,17,80,1.3583984375,11.765625,10.4072265625,2.78765869140625,9.39375,6.60609130859375,10.748496093750001,5.951695709228515,4.796800384521484,0.6033892035484314,0.5027015573864886,0.6033892035484314,0.34403260340914144,0.5701669857289008,0.0002273359758880132,0.01196049179554155,0.06875308150736054,0.998721974598882,0.9999999500979324,1.5955249650109056,4.930916951657889,0.2559428010279694,2,1.052263753673657,129.73282982688397,2.690746703185141,26,16,27696,6d437f3ed8614245edf2ae996f4ec8299721ae7d4f33a7fe0ce0cb9ec94c57ab
qwen2.5-7b-inst,BG-PROGRESS-SIMPLEX-SOFT,1,COMPLETE,True,,,0,3,93,10,17,92,0.09198112487792968,13.659375,13.56739387512207,4.402029418945313,10.1984375,5.796408081054688,12.5215625,5.474375,7.0471875,0.7672293484210968,0.402538825216534,0.7672293484210969,0.2144811300560832,0.27955282276048293,0.005544634956587124,0.0010401054851196026,0.2535498749483861,0.5907744187393913,0.4876430461048261,1.319352276262928,3.7409974594762363,0.33417571885253994,3,1.5682316147938957,153.9859148412943,2.244707648642361,26,16,24160,602b7330809958bf44b25bbe9a337e2f08a03f1fb1691c8f72f260d66fdac121
qwen2.5-7b-inst,BG-PROGRESS-SIMPLEX-SOFT,2,COMPLETE,True,,,1,4,77,10,15,77,0.07538909912109375,12.696875,12.621485900878906,2.97783203125,6.952734375,3.97490234375,9.788203124999999,5.3790625,4.409140625,0.8018302768468857,0.26271427395757607,0.8018302768468857,0.24436643847730014,0.30476080229589364,0.010675395957037688,0.01929265206955882,0.4595615009984836,0.8292810895772101,0.7417212261067442,0.9169084107417655,2.501544674176213,0.7038741206740767,1,2.099158894532984,133.36789374612272,2.282067940570414,26,16,25226,b98206f315dfc7861ac46f15bd25f3aadfe9cf4802cd6f1111710356faa25163
qwen2.5-7b-inst,BG-PROGRESS-SIMPLEX-SOFT,3,COMPLETE,True,,,1,4,78,10,18,78,0.8110954284667968,12.28125,11.470154571533204,4.524350976943969,9.0296875,4.50533652305603,8.884583129882813,5.4716796875,3.412903442382812,0.6521706730127335,0.4041149258376654,0.6521706730127335,0.3626862362958492,0.5561216584913988,0.003160100252696682,0.0013807149181496304,0.1652311359790823,0.8719657471903155,0.850207141151421,1.5046341536506722,4.502506103515235,0.2921507459155373,3,1.185613302400323,140.67761986982077,2.144398180767894,26,16,25562,669716eaff2acd96f656b2fb284bd25ceb81aa2dcb94330b99eb75ed545ae798
qwen2.5-7b-inst,BG-PROGRESS-SIMPLEX-SOFT,4,COMPLETE,True,,,1,1,98,8,15,98,2.1094879150390624,9.40625,7.296762084960937,3.84434814453125,6.605078125,2.76072998046875,10.705625000000001,4.68595947265625,6.01966552734375,0.08477580780163407,0.040251638342036156,0.08477580780163987,0.1071006777696315,1.263340103098419,0.004426123664311265,0.012324108283515777,0.20139166575501039,0.5096570583415418,0.9999986407380667,0.6373061618621041,1.8913789417667441,0.6655197943164475,1,1.596141195750256,143.43117145914584,2.3760654982179403,26,16,25018,4012bbb4f48dd0fdaadbef7fcc3ad19528ec2338b3e06fe6baf395100275adc7
qwen2.5-7b-inst,BG-PROGRESS-SIMPLEX-SOFT,5,COMPLETE,True,,,2,5,82,10,18,81,0.282318115234375,9.003125,8.720806884765626,2.9853271484375,6.9796875,3.9943603515625,8.472890625,5.1382031249999995,3.3346875,2.5764322876930237,0.4165328552716754,2.5764322876930237,0.5335524152964354,0.20708963237453415,0.003585529681846251,0.0015574033224759899,0.1674197551932705,0.8191427121525511,0.7061636829482735,1.3166397244114807,3.730863560468248,0.3605920399834109,2,1.811938115865602,147.64358728565276,2.360303874127567,26,16,23432,ca14830f560b21597bffbfe42bf01d3c295415a368f3686f741f5f65202f1978
qwen2.5-7b-inst,BG-PROGRESS-SIMPLEX-SOFT,6,COMPLETE,True,,,2,5,85,9,15,85,0.4072273254394531,11.497265625,11.090038299560547,4.062090110778809,7.761328125,3.6992380142211916,10.26515625,4.379451904296875,5.885704345703124,1.3076326102018356,0.11718729765958087,1.3076326102018356,0.17403595387004317,0.13309239346902435,0.005886302253817788,0.0012562577161441772,0.26295998274045673,0.7566951032457371,0.650145827889253,1.3802621038955427,3.9759436012424376,0.36474139789945503,3,1.269559368849571,134.06575933936983,2.054837387986481,26,16,24212,40c8eec63455138501fb2e50e52cea4c4f66691298a7a966b8de419a794f1e97
