phase,unit,K,c0_accepted_z_sha256,c1_accepted_z_sha256,c3_accepted_z_sha256,accepted_z_all_arms_equal,c0_selected_target_sha256,c1_selected_target_sha256,c3_selected_target_sha256,selected_target_all_arms_equal
3,4,7,3321e09190e45c10d05721e9836ce20f4c95d14f75bdb7903aa16e3b492c55ef,3c37f5d3aa522832fc3c1fc725c337e8bf792b14c7700bacb9cdd8edd51031bc,fc60dcfb1abb256cbc4d61edd935e76b3b6f2c7b31a646eeddbe74507d8663d9,False,3321e09190e45c10d05721e9836ce20f4c95d14f75bdb7903aa16e3b492c55ef,3c37f5d3aa522832fc3c1fc725c337e8bf792b14c7700bacb9cdd8edd51031bc,fc60dcfb1abb256cbc4d61edd935e76b3b6f2c7b31a646eeddbe74507d8663d9,False
3,4,8,ed5e7c7b174ecebd93116acb4fbfc52e8c0dd5b48c487b3972d8e0afed97d11e,759736e4f1bc77f877c1b8ee5c45560c4b8b5b9d4f966dab2947636592da7823,8a35b026e776d9133121462f46a39039f404317e3a3f3650f850876a095917d5,False,ed5e7c7b174ecebd93116acb4fbfc52e8c0dd5b48c487b3972d8e0afed97d11e,759736e4f1bc77f877c1b8ee5c45560c4b8b5b9d4f966dab2947636592da7823,8a35b026e776d9133121462f46a39039f404317e3a3f3650f850876a095917d5,False
3,5,1,abf84d4b4dfd5863359c550d52a5e07a49b00d1b802562df4945c045e32fb3e1,059a5bf6164591cf2befb5efb8d06330fd7ba9d723829a830df627298cbfd582,6650a1d977f2b22ed8d256b5ee3875aa6a8068905ad46955a64c8eba446f9987,False,abf84d4b4dfd5863359c550d52a5e07a49b00d1b802562df4945c045e32fb3e1,059a5bf6164591cf2befb5efb8d06330fd7ba9d723829a830df627298cbfd582,6650a1d977f2b22ed8d256b5ee3875aa6a8068905ad46955a64c8eba446f9987,False
3,5,2,07f2c3bfa0e48f3ca1aa36ef03d57f318bc21f42dc83417c68eea7b0c469dae1,c16cd0a286fb95b4f87d16eff7eb1f195c6f4efb30e7fdab98e2e9c21c4ec99d,1a26a3cf80202b9fd6d8209451dc464ca403416cc1e245fc58e263dd0243665e,False,07f2c3bfa0e48f3ca1aa36ef03d57f318bc21f42dc83417c68eea7b0c469dae1,c16cd0a286fb95b4f87d16eff7eb1f195c6f4efb30e7fdab98e2e9c21c4ec99d,1a26a3cf80202b9fd6d8209451dc464ca403416cc1e245fc58e263dd0243665e,False
3,5,3,ace99900495af2166f368eea30a3a0336a869170e88a1817e973b4e05a24536f,112bbc3c10ccaccef5c381013cc563682bf3e2db64f99fbe1a581e39d14d3eb3,ceb57297ff72ffa406d64f0b05db7c589aa25b98c9a1f2f1cf37871ccc985fb4,False,ace99900495af2166f368eea30a3a0336a869170e88a1817e973b4e05a24536f,112bbc3c10ccaccef5c381013cc563682bf3e2db64f99fbe1a581e39d14d3eb3,ceb57297ff72ffa406d64f0b05db7c589aa25b98c9a1f2f1cf37871ccc985fb4,False
3,5,4,60aaa18a5dc0342a6aa329cb2472c78eccf687c2b65ece0b8579f1dd61922ade,239c53e73b8650b362c7bfa319ce63d890962d47d394b02e821f4852bcda787b,5cf2560b0d779460cb126b86b08294084926b2086bb0da37a195324314c17405,False,60aaa18a5dc0342a6aa329cb2472c78eccf687c2b65ece0b8579f1dd61922ade,239c53e73b8650b362c7bfa319ce63d890962d47d394b02e821f4852bcda787b,5cf2560b0d779460cb126b86b08294084926b2086bb0da37a195324314c17405,False
3,5,5,5205c952b6ab43cb9404a27cdc92a7d0f5987a59201e1475443060fe3e65f672,e81ef90b7b98f474e4fbef2f3b6afd20f464e5a9013d605e5f7596869566784f,65d188f837ff782c5e35ed49c8e68fa80c41e022f65f63c6f515552a5faf2d97,False,5205c952b6ab43cb9404a27cdc92a7d0f5987a59201e1475443060fe3e65f672,e81ef90b7b98f474e4fbef2f3b6afd20f464e5a9013d605e5f7596869566784f,65d188f837ff782c5e35ed49c8e68fa80c41e022f65f63c6f515552a5faf2d97,False
3,5,6,6ef98b80b5a1839104cdf4549abc2a01efffe26a05c30a404af85a209345cb87,b8ba82587b0a6261de36d4c6369f9c9bbc0797ac00d5f2e39f29b9184a84e28f,cc6cec3fbf1ac776c8f61d0819d4ca870591d9c7308058c7224a364f3fca5330,False,6ef98b80b5a1839104cdf4549abc2a01efffe26a05c30a404af85a209345cb87,b8ba82587b0a6261de36d4c6369f9c9bbc0797ac00d5f2e39f29b9184a84e28f,cc6cec3fbf1ac776c8f61d0819d4ca870591d9c7308058c7224a364f3fca5330,False
3,5,7,7e044e979fda4232525140a1e62c56831394cbc72fb2405e0e6891e8bb23afde,22fdf53eb74c720cfab5096977351ca180398bd450dc99269358ba1984f1d6d9,a6ca3aa60514757367ff2870315de0c675d9612914f7b9f260d41f3ec42d1f45,False,7e044e979fda4232525140a1e62c56831394cbc72fb2405e0e6891e8bb23afde,22fdf53eb74c720cfab5096977351ca180398bd450dc99269358ba1984f1d6d9,a6ca3aa60514757367ff2870315de0c675d9612914f7b9f260d41f3ec42d1f45,False
3,5,8,038072bd499a5123dc6346176d6a7f07a4cf3025ddc0c5f92f3ca0ead5812df9,fcb08bdbdff3ef11bb56131618da454eb904ebc3129727f540c016a1a70e507e,f0ebc2a8dfbf687d05efc9bdc8f6517c9e40aa16fdc7300332af0f024f74b177,False,038072bd499a5123dc6346176d6a7f07a4cf3025ddc0c5f92f3ca0ead5812df9,fcb08bdbdff3ef11bb56131618da454eb904ebc3129727f540c016a1a70e507e,f0ebc2a8dfbf687d05efc9bdc8f6517c9e40aa16fdc7300332af0f024f74b177,False
3,6,1,3de889b8a7e2b77a4ff627b5ba9c5c87ecd36261fccbab98e3b9286e77216903,d767b04b2975c36a3237500078de718b37f4673f4e40ad6ab9f62a1b641c08d2,96aee5de2ca370ef69923e524d4d28733fe79af15ea2b48b2ac92e7607a5f5bb,False,3de889b8a7e2b77a4ff627b5ba9c5c87ecd36261fccbab98e3b9286e77216903,d767b04b2975c36a3237500078de718b37f4673f4e40ad6ab9f62a1b641c08d2,96aee5de2ca370ef69923e524d4d28733fe79af15ea2b48b2ac92e7607a5f5bb,False
3,6,2,b89e79008e8faec4435826dc14db45e4292ece1f27fa8eb06efa369108d9c262,327090a441b38116342de8a317f8d01057bacc103f479ded042b47566dbfe94c,73d210b7d33966cf527ceb79e0e66473f4c79a436943577818b9890f20cdfeb5,False,b89e79008e8faec4435826dc14db45e4292ece1f27fa8eb06efa369108d9c262,327090a441b38116342de8a317f8d01057bacc103f479ded042b47566dbfe94c,73d210b7d33966cf527ceb79e0e66473f4c79a436943577818b9890f20cdfeb5,False
3,6,3,70237142d2c02b1efaac039c84533927080fa7ab5f1ffa20f8ec18c1c5742ba2,f573ace7a2f7ab9f7d5a4c50ac017f56c8900e7bacdbe861a016aaf4950bd20e,4f4742b66760eee301f63bff0d90432fc8b785d0e3ebf0238c012a987c518cb2,False,70237142d2c02b1efaac039c84533927080fa7ab5f1ffa20f8ec18c1c5742ba2,f573ace7a2f7ab9f7d5a4c50ac017f56c8900e7bacdbe861a016aaf4950bd20e,4f4742b66760eee301f63bff0d90432fc8b785d0e3ebf0238c012a987c518cb2,False
3,6,4,3a2d75043146a2405155430d1eebedbba3734a67604185527216f48ec6b69661,f98ca0a49cde446c4f382f48291e4f3f45eaa51dfc8695b01e4d8ac98ed62b7d,044752032e348dc176b61af6adf52c856e7b772bb82e7277b41cde496a68c36f,False,3a2d75043146a2405155430d1eebedbba3734a67604185527216f48ec6b69661,f98ca0a49cde446c4f382f48291e4f3f45eaa51dfc8695b01e4d8ac98ed62b7d,044752032e348dc176b61af6adf52c856e7b772bb82e7277b41cde496a68c36f,False
3,6,5,9b1e19a539a83031fb54f408c681a426b7ea5fb469f84f1b38a3a30504668502,4b230f95c83ec353c1d6616f7d545635743766b0c9383013ff4038c319e5eb72,d39449603593b8ebc1aaec01399f14f987bdbcaf7cbe5d961a10c0bb826717a8,False,9b1e19a539a83031fb54f408c681a426b7ea5fb469f84f1b38a3a30504668502,4b230f95c83ec353c1d6616f7d545635743766b0c9383013ff4038c319e5eb72,d39449603593b8ebc1aaec01399f14f987bdbcaf7cbe5d961a10c0bb826717a8,False
