phase,arm,unit,K,endpoint,locality_denominator,locality_numerator,rephrase_accuracy_denominator,rephrase_accuracy_numerator,rephrase_strict_accuracy_denominator,rephrase_strict_accuracy_numerator,rephrase_strict_success_denominator,rephrase_strict_success_numerator,rephrase_success_denominator,rephrase_success_numerator,rephrase_target_new_nll_mean,rephrase_target_true_nll_mean,rewrite_accuracy_denominator,rewrite_accuracy_numerator,rewrite_success_denominator,rewrite_success_numerator,rewrite_target_new_nll_mean,rewrite_target_true_nll_mean,endpoint_identity_sha256
3,c0,2,6,post_writer_W,1000,907,200,102,100,31,100,81,200,180,2.4297614932293072,7.601140246093273,100,99,100,100,0.17003926008939743,9.407764477729797,092ab6dc8363135a36b6c6e79d23ccfa687c8ee4e6afaf561b49486eae466bf5
3,c0,2,6,pre_writer_W,1000,908,200,100,100,30,100,78,200,175,2.4806741189351307,7.511649951785802,100,97,100,99,0.24682276219595223,9.156290490627288,4984158ad9188fce017da9ccca5638dd84fb239e58350e0c6f34a5a0b495d412
3,c0,2,7,accepted_z,1000,907,200,133,100,50,100,95,200,195,1.6174400103674271,8.868703289330005,100,99,100,100,0.14987242052564398,9.606546936035157,b3f0252e4c994ace055b506112832ffab2ee501b1952a07d1e719231107ab8cd
3,c0,2,7,post_writer_W,1000,907,200,105,100,33,100,81,200,179,2.3919769803248347,7.662694143652916,100,99,100,100,0.14941127261379733,9.607042701244355,338972707ed5c59ff0b8de37ba35080d64193928a512d17a57da46b5f651f99c
3,c0,2,7,pre_writer_W,1000,907,200,102,100,31,100,81,200,180,2.4297614932293072,7.601140246093273,100,99,100,100,0.17003926008939743,9.407764477729797,092ab6dc8363135a36b6c6e79d23ccfa687c8ee4e6afaf561b49486eae466bf5
3,c0,2,8,accepted_z,1000,907,200,133,100,50,100,95,200,195,1.5920935782813468,8.939240465164184,100,99,100,100,0.13748352318769322,9.761430964469909,8d14bee3c6c927f558dc1ce65697a663127b54494ef86a851e400d3dbc2739c3
3,c0,2,8,post_writer_W,1000,907,200,105,100,34,100,82,200,180,2.3673076878022403,7.711527983099222,100,99,100,100,0.13719390243757515,9.762172832489014,891e4a1ad20e97644acc3be9ebf6e0a9dca07a34e04cc710deb460cf2ca7c67b
3,c0,2,8,pre_writer_W,1000,907,200,105,100,33,100,81,200,179,2.3919769803248347,7.662694143652916,100,99,100,100,0.14941127261379733,9.607042701244355,338972707ed5c59ff0b8de37ba35080d64193928a512d17a57da46b5f651f99c
3,c0,3,1,accepted_z,1000,905,200,10,100,2,100,24,200,64,6.563373803794384,4.22686327746138,100,6,100,30,6.368931909874082,4.175718699097633,893bce3bc2ca52e9207fb51a1dc3760d31e3216546b9667d83a8c2c5c8ea6ea8
3,c0,3,1,post_writer_W,1000,898,200,6,100,0,100,14,200,49,6.909053741395473,4.216768014281988,100,6,100,31,6.04716565810144,4.171201061829924,c4743caa7a3f15cc4abdc714c53c32f0540765a8e0239b2d13adc7c5946a4a4f
3,c0,3,1,pre_writer_W,1000,905,200,1,100,0,100,3,200,11,9.278286764621734,3.722971340958029,100,1,100,6,10.507071237564087,3.981408945005387,7f96aba27fcf3ad4bc88b2f70ee313746e6b38ae1c927bef6a186d86d5ed0ce7
3,c0,3,2,accepted_z,1000,898,200,62,100,18,100,67,200,149,3.3916633083391936,5.592749578157672,100,35,100,85,2.5145940974354746,5.641582947969437,d9409b3da3aa61e2ccd5faf311cdde38b538c0138f88d72656e83446f036bec8
3,c0,3,2,post_writer_W,1000,894,200,44,100,10,100,49,200,121,4.237671750914306,5.031011478714645,100,36,100,89,2.401761269532144,5.681564570069313,5e38f652d3aa71bf883e972d519f8008568a104a470c4018a90b046139016cb3
3,c0,3,2,pre_writer_W,1000,898,200,6,100,0,100,14,200,49,6.909053741395473,4.216768014281988,100,6,100,31,6.04716565810144,4.171201061829924,c4743caa7a3f15cc4abdc714c53c32f0540765a8e0239b2d13adc7c5946a4a4f
3,c0,3,3,accepted_z,1000,894,200,115,100,39,100,86,200,183,1.9522508868249133,6.899960649076384,100,79,100,99,0.7657915356755257,7.25033064365387,ad9d38b45bc26642f0786e92ad489c83763bc18177c9dd5f8c510aacb842726a
3,c0,3,3,post_writer_W,1000,890,200,75,100,23,100,65,200,159,2.975895532867871,5.798026911616326,100,79,100,99,0.7569435480050742,7.228203077316284,aae117b2541b81f6eb6955c8565b8857e535d9f7e49218d0d6dd12049c16c33f
3,c0,3,3,pre_writer_W,1000,894,200,44,100,10,100,49,200,121,4.237671750914306,5.031011478714645,100,36,100,89,2.401761269532144,5.681564570069313,5e38f652d3aa71bf883e972d519f8008568a104a470c4018a90b046139016cb3
3,c0,3,4,accepted_z,1000,890,200,137,100,53,100,91,200,190,1.5029295168328098,7.672198740392924,100,95,100,100,0.29221823762403804,8.526285388469695,f051f0adaaffa2a2900e8422fbb8486ec3775528e91d0a17c6621557ab13ed52
3,c0,3,4,post_writer_W,1000,884,200,94,100,30,100,71,200,167,2.507342416602187,6.186171281784773,100,94,100,100,0.2923565570032224,8.541551861763,d7a09b27b055cc2a802a1a3032ef14ab71acba0e76523e1429e5846c27d9e455
3,c0,3,4,pre_writer_W,1000,890,200,75,100,23,100,65,200,159,2.975895532867871,5.798026911616326,100,79,100,99,0.7569435480050742,7.228203077316284,aae117b2541b81f6eb6955c8565b8857e535d9f7e49218d0d6dd12049c16c33f
