group,lambda_value,node_denominator,baseline_lambda,analysis_type,gain_ratio_min,gain_ratio_median,gain_ratio_max,qN_ratio_min,qN_ratio_median,qN_ratio_max,response_norm_ratio_min,response_norm_ratio_median,response_norm_ratio_max,l8_native_velocity_share_min,l8_native_velocity_share_median,l8_native_velocity_share_max,l8_native_velocity_share_delta_pp_min,l8_native_velocity_share_delta_pp_median,l8_native_velocity_share_delta_pp_max,native_angle_degrees_min,native_angle_degrees_median,native_angle_degrees_max,native_turn_fraction_min,native_turn_fraction_median,native_turn_fraction_max,physical_native_relative_change_min,physical_native_relative_change_median,physical_native_relative_change_max,support_change_min,support_change_median,support_change_max,support_changed_count
Llama_B10_4_diagnostic_stratum,0.03162277660168379,4,0.1,FROZEN_RECORDED_STATE_NO_ENDPOINT_PREDICTION,1.000000018333714,1.0000000185316327,1.000000018531685,1.0000000370631772,1.0000000370633624,1.0000000376691562,1.000000018333714,1.0000000185316327,1.0000000185316849,0.0,0.0,0.0018772531367200684,-3.87555250261698e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8531588636279594e-08,1.8531681040032098e-08,1.9359273005032447e-08,0,0.0,0,0
Llama_B10_4_diagnostic_stratum,0.05623413251903491,4,0.1,FROZEN_RECORDED_STATE_NO_ENDPOINT_PREDICTION,1.0000000117347687,1.0000000118614494,1.000000011861483,1.0000000237228424,1.000000023722961,1.0000000241107085,1.0000000117347687,1.0000000118614496,1.000000011861483,0.0,0.0,0.0018772532762147648,-2.4806055386877857e-08,0.0,0.0,0.0,0.0,8.537736462515939e-07,0.0,0.0,2.220446049250313e-16,1.1861421265581481e-08,1.1861480350941986e-08,1.239119308852982e-08,0,0.0,0,0
Llama_B10_4_diagnostic_stratum,0.1,4,0.1,FROZEN_RECORDED_STATE_NO_ENDPOINT_PREDICTION,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0018772535242753186,0.0,0.0,0.0,0.0,0.0,8.537736462515939e-07,0.0,0.0,2.220446049250313e-16,0.0,1.3084914929602857e-16,1.6449150086585495e-16,0,0.0,0,0
Llama_B10_4_diagnostic_stratum,0.1778279410038923,4,0.1,FROZEN_RECORDED_STATE_NO_ENDPOINT_PREDICTION,0.9999999789069702,0.9999999789070293,0.9999999791323034,0.9999999571244262,0.9999999578139493,0.9999999578141601,0.9999999789069701,0.9999999789070293,0.9999999791323032,0.0,0.0,0.0018772539653963026,0.0,0.0,4.4112098392459775e-08,0.0,0.0,0.0,0.0,0.0,0.0,2.1092920010494e-08,2.1093025526385102e-08,2.2035002494613047e-08,0,0.0,0,0
Llama_B10_4_diagnostic_stratum,0.31622776601683794,4,0.1,FROZEN_RECORDED_STATE_NO_ENDPOINT_PREDICTION,0.9999999413976715,0.9999999413978358,0.9999999420237101,0.9999998808796832,0.9999998827953704,0.9999998827959553,0.9999999413976715,0.9999999413978358,0.99999994202371,0.0,0.0,0.0018772547498326964,0.0,0.0,1.225557377804165e-07,0.0,0.0,0.0,0.0,0.0,0.0,5.860202387241047e-08,5.8602316452104874e-08,6.121939112144994e-08,0,0.0,0,0
Llama_B10_4_diagnostic_stratum,0.5623413251903491,4,0.1,FROZEN_RECORDED_STATE_NO_ENDPOINT_PREDICTION,0.9999998746956649,0.9999998746960166,0.9999998760342695,0.9999997452952494,0.9999997493913975,0.9999997493926485,0.9999998746956648,0.9999998746960167,0.9999998760342697,0.0,0.0,0.0018772561447798718,0.0,0.0,2.620504553152783e-07,0.0,0.0,1.7075472925031877e-06,0.0,0.0,8.881784197001252e-16,1.2530368343312253e-07,1.25304309086497e-07,1.30900173964296e-07,0,0.0,0,0
Llama_B10_4_diagnostic_stratum,1.0,4,0.1,FROZEN_RECORDED_STATE_NO_ENDPOINT_PREDICTION,0.9999997560808819,0.9999997560815667,0.9999997586866284,0.9999995041883143,0.9999995121619245,0.9999995121643598,0.9999997560808819,0.9999997560815668,0.9999997586866293,0.0,0.0,0.0018772586253860033,0.0,0.0,5.101110684682317e-07,0.0,0.0,3.306651113363206e-06,0.0,0.0,3.3306690738754696e-15,2.439178497023341e-07,2.439190674175558e-07,2.548120481900877e-07,0,0.0,0,0
Qwen_all40,0.001,40,0.1,FROZEN_RECORDED_STATE_NO_ENDPOINT_PREDICTION,1.005481569240273,1.014704098958406,1.2420382855054102,1.020006919400391,1.0452118145014004,1.638262825117775,1.0054691528796293,1.014662617244815,1.2378156920245722,0.9856275646100251,0.9999986453450005,0.999999923857064,0.0017532134625408702,0.007531565696361486,1.3562456602249529,0.23626490591009766,0.4635663154932682,3.730601666089166,1.700398482828991e-05,6.547666645212447e-05,0.0042334913882856595,0.011162138813078405,0.024034122477779925,0.2894725971110282,0,0.0,1,18
Qwen_all40,0.0017782794100389228,40,0.1,FROZEN_RECORDED_STATE_NO_ENDPOINT_PREDICTION,1.005438050312944,1.0145861758271915,1.239603186062063,1.019846694775682,1.044879018699995,1.630880893017872,1.0054256372290058,1.0145447081275878,1.2353901545414816,0.985544881590607,0.9999984266632465,0.9999998942436413,0.001750713655579439,0.007515555424225662,1.3479773582831478,0.23618730347986053,0.45987509569401097,3.696363674006373,1.6992816632477314e-05,6.44380590439364e-05,0.004156248679380581,0.011073172242705603,0.023839491441355103,0.2864877901956255,0,0.0,1,18
Qwen_all40,0.0031622776601683794,40,0.1,FROZEN_RECORDED_STATE_NO_ENDPOINT_PREDICTION,1.005360678384966,1.0143765686792068,1.23529991636517,1.0195618879009585,1.0442876965164936,1.617884954927459,1.0053482749150553,1.0143351386027786,1.231105528435221,0.985396481187823,0.9999979235943319,0.9999998570562909,0.0017469514143608755,0.007485343614416218,1.3331373180047401,0.23537526828054178,0.45331294017152324,3.6357040403669147,1.6876172199919992e-05,6.261215207353787e-05,0.00402113636831114,0.010915013151025565,0.023493605551339503,0.2812164695846584,0,0.0,1,16
Qwen_all40,0.005623413251903491,40,0.1,FROZEN_RECORDED_STATE_NO_ENDPOINT_PREDICTION,1.005223142840492,1.0140041227948184,1.2277317275020152,1.0190557922373313,1.043237681021917,1.5951813761072435,1.0052107684284581,1.0139627997160996,1.2235755224094194,0.9851283434116144,0.9999967777802505,0.9999997899457694,0.001744373152035017,0.007427058727388358,1.3063235403838802,0.22935869404046721,0.4416494864552406,3.528540261951869,1.602443882808835e-05,5.94315931984335e-05,0.0037878761899289293,0.010633914814732326,0.022879226316500436,0.2719562875490336,0,0.0,1,16
Qwen_all40,0.01,40,0.1,FROZEN_RECORDED_STATE_NO_ENDPOINT_PREDICTION,1.0049787347830574,1.013342738542689,1.2145331098543968,1.0181569826687502,1.0411894990155117,1.5560508613998478,1.0049664497880466,1.0133017320993227,1.2104598661225852,0.984638560729561,0.9999948118087025,0.9999996014305178,0.0017343406635950132,0.007344369624417979,1.257345272178545,0.21866401617384656,0.4209272166391931,3.340173712875313,1.4564891966162286e-05,5.398524133404248e-05,0.0033946952873945557,0.010134525764782137,0.02178890432832753,0.2558392264929989,0,0.0,1,12
