endpoint,panel,metric,denominator,baseline_success_denominator,lost,gained,unchanged_success,unchanged_failure,loss_rate_among_baseline_success,paired_identity_root
Middle-B060,cohort_B018,PS,200,195,1,0,194,5,0.005128205128205128,7097e4952a1cdcbce714736370f77acdd4ca62353d872074f7255f0574cbf3f0
Middle-B060,cohort_B018,NS,1000,723,9,7,714,270,0.012448132780082987,e4539ef84a69445ecc3445cebf08b11baa06865c77fe18b7770c2be72332fbdb
Middle-B060,cohort_B019,RS,100,99,0,0,99,1,0.0,c991d9dcdb0dd87347fd12f3efeabb3ea4353d9e69931e38de972b59ee478c75
Middle-B060,cohort_B019,PS,200,191,0,0,191,9,0.0,674496b4f0e1a7fb29eb78c5b80341c9db21122bc52ade86793aec7d2c431581
Middle-B060,cohort_B019,NS,1000,724,5,4,719,272,0.006906077348066298,ca65df04c266de2713e707c660a6e17b6333b4c424ea66a3476374fc5c653294
Middle-B060,cohort_B020,RS,100,100,0,0,100,0,0.0,63d20874297631c94c9dee8d48fcdb613ad0f997c7cc2a15b20af58e4fee4d84
Middle-B060,cohort_B020,PS,200,199,0,0,199,1,0.0,f12817246d30f70c0ccd477f2a8c3b916a5981f486b969748a77f87c8861ea17
Middle-B060,cohort_B020,NS,1000,728,7,5,721,267,0.009615384615384616,8eff0c5c987ccbf0b446d4778fec4400738c904928ae52f18d45edddb80d1c75
Middle-B060,cohort_B021,RS,100,100,0,0,100,0,0.0,713ca2a951bc8d6a87824c372ad4c561c361883185e36b39800999ef7091bfc7
Middle-B060,cohort_B021,PS,200,192,0,0,192,8,0.0,b9a0d205b88ea70e4e0cefde38337111ca7e705bead54a867d03407f4df21f55
Middle-B060,cohort_B021,NS,1000,720,9,3,711,277,0.0125,fe93c1a89b557fff38b8e748c0fdd6cd7fa462625f8aa7b7d3def37972f89a2f
Middle-B060,cohort_B022,RS,100,100,0,0,100,0,0.0,a9f6e04687f4199896f99bb5029a4f899a0632f7024a3adc469025a1acf7f634
Middle-B060,cohort_B022,PS,200,194,1,0,193,6,0.005154639175257732,56925fa1692ff6f7211c7e63d9e19b2b077493d45e78156815e5ed2c4fc42231
Middle-B060,cohort_B022,NS,1000,705,10,6,695,289,0.014184397163120567,a7097b081ab1c2f13c82f6376197f4c23c3034d48c728fad0ec9d3e8ed603bdb
Middle-B060,cohort_B023,RS,100,100,0,0,100,0,0.0,13500b7901116a8b9a3d6ec06f931aeb1403cd18f22b795cf69900bedaa52de3
Middle-B060,cohort_B023,PS,200,195,1,1,194,4,0.005128205128205128,22743480250fa49ef87639ab1f7e50f2d681c52f0b5cf0deeb446b186fa60507
Middle-B060,cohort_B023,NS,1000,684,7,6,677,310,0.01023391812865497,91fcdd0063d73944af3d2d8578b14043bf15de4f17df312e6f5f7cc04067317f
Middle-B060,cohort_B024,RS,100,100,0,0,100,0,0.0,4ce7b7a1be0f74b14a918cff80b9b3b48d3441c83ab5fcd805e62d4ef4c9c437
Middle-B060,cohort_B024,PS,200,187,0,1,187,12,0.0,3f38a67c60a30782512f4c02c63f0a645cbed76c762f95d765c0625ee5db6bc6
Middle-B060,cohort_B024,NS,1000,699,5,7,694,294,0.00715307582260372,d3f8380f7d96d86239e0b37378c6863ed296e4e9d6a28e9e8434a2cbf3f4ead3
Middle-B060,cohort_B025,RS,100,99,0,0,99,1,0.0,616073bef482160e47c9e0ef779b4135eece514fcaa50f52ba003f6146ad669f
