model,candidate,reference,RS_delta_pp,PS_delta_pp,NS_delta_pp,rewrite_new_nll_mean_delta,rewrite_new_nll_median_delta,rewrite_new_nll_p90_delta,rewrite_new_nll_max_delta,rewrite_true_nll_mean_delta,rewrite_true_nll_median_delta,rewrite_true_nll_p90_delta,rewrite_true_nll_max_delta,rephrase_new_nll_mean_delta,rephrase_new_nll_median_delta,rephrase_new_nll_p90_delta,rephrase_new_nll_max_delta,rephrase_true_nll_mean_delta,rephrase_true_nll_median_delta,rephrase_true_nll_p90_delta,rephrase_true_nll_max_delta,locality_new_nll_mean_delta,locality_new_nll_median_delta,locality_new_nll_p90_delta,locality_new_nll_max_delta,locality_true_nll_mean_delta,locality_true_nll_median_delta,locality_true_nll_p90_delta,locality_true_nll_max_delta,distribution_tail_delta_is_not_paired_delta_quantile
qwen2.5-7b-inst,JV-LAM-001,O_NATIVE,0.0,0.0,1.100000000000001,-0.06752166240214137,-0.0022546094842255116,-0.015200671553611746,-4.485688403248787,0.13921693801879975,-0.06357908248901367,1.2517704010009751,1.2649173736572266,0.19366955444449552,-0.002720057964324951,0.8855787754058859,0.2359466552734375,-0.27815079838037526,-0.44500160217285156,0.4984336853027358,1.087228775024414,-0.04573006635997423,-0.0586400032043457,-0.30200462341308487,-0.9590587615966797,-0.16447092704381738,-0.1098780632019043,-0.20503158569336044,0.8338832855224609,True
qwen2.5-7b-inst,JV-LAM-001,JV-BASE,0.0,0.0,0.0,-3.847627900540815e-05,-0.00012100907042622566,-0.0004253521561622814,0.005874767899513245,-0.007475767135620259,0.0077838897705078125,-0.00586261749267436,-0.19160079956054688,0.00305116065836053,0.009557574987411499,0.09263796806335556,-0.02409076690673828,0.0027604398131373387,-0.003643035888671875,0.035132694244385476,-0.024415969848632812,-0.0007387280166142318,-0.006358623504638672,-0.028888130187988637,0.0017757415771484375,0.002944650391117243,0.001994609832763672,0.0008891105651862574,-0.052959442138671875,True
qwen2.5-7b-inst,JV-LAM-00316,O_NATIVE,0.0,0.0,1.100000000000001,-0.06751294853456784,-0.002229835372418165,-0.015083704888820638,-4.487196907401085,0.14096659660339483,-0.06583404541015625,1.2534994125366197,1.3133831024169922,0.19294577731285223,-0.005085498094558716,0.8619518280029315,0.2423410415649414,-0.2789335903525352,-0.4475984573364258,0.48942584991455185,1.093719482421875,-0.0454950028667227,-0.06214189529418945,-0.2968948364257802,-0.9591693878173828,-0.16522438234928938,-0.11061644554138184,-0.2051769256591811,0.8471965789794922,True
qwen2.5-7b-inst,JV-LAM-00316,JV-BASE,0.0,0.0,0.0,-2.976241143187383e-05,-9.623495861887932e-05,-0.0003083854913711742,0.004366263747215271,-0.0057261085510251775,0.005528926849365234,-0.004133605957029829,-0.14313507080078125,0.0023273835267172416,0.007192134857177734,0.0690110206604011,-0.017696380615234375,0.0019776478409774256,-0.006239891052246094,0.026124858856201527,-0.017925262451171875,-0.0005036645233627013,-0.009860515594482422,-0.02377834320068395,0.0016651153564453125,0.002191195085645248,0.0012562274932861328,0.0007437705993655896,-0.039646148681640625,True
qwen2.5-7b-inst,JV-LAM-0316,O_NATIVE,0.0,-0.5000000000000004,0.9000000000000008,-0.06737760047166375,-0.0021153106354177,-0.014104573056101757,-4.502390488982201,0.16640851974487347,-0.07592582702636719,1.2659980773925774,1.8385448455810547,0.183915725708939,-0.0324978232383728,0.6306397914886483,0.3012685775756836,-0.28468305945396466,-0.4463214874267578,0.49461040496826314,1.152130126953125,-0.04434307685587591,-0.07115554809570312,-0.2508291244506822,-0.9667739868164062,-0.17304702381044645,-0.10013389587402344,-0.22702684402465856,0.9831790924072266,True
qwen2.5-7b-inst,JV-LAM-0316,JV-BASE,0.0,-0.5000000000000004,-0.20000000000000018,0.0001055856514722113,1.8289778381586075e-05,0.0006707463413477069,-0.010827317833900452,0.019715814590453462,-0.004562854766845703,0.008365058898927913,0.38202667236328125,-0.0067026680771959946,-0.020220190286636353,-0.162301015853882,0.04123115539550781,-0.0037718212604520573,-0.004962921142578125,0.03130941390991282,0.040485382080078125,0.000648261487484092,-0.018874168395996094,0.022287368774414062,-0.005939483642578125,-0.005631446375511828,0.011738777160644531,-0.02110614776611186,0.09633636474609375,True
qwen2.5-7b-inst,JV-LAM-1,O_NATIVE,0.0,-0.5000000000000004,0.9000000000000008,-0.06702546357963002,-0.002223435789346695,-0.010995841026306144,-4.5219884514808655,0.23110453605652026,-0.007291316986083984,1.2695516586303697,2.651763916015625,0.17172926407423805,-0.03494429588317871,0.6154878616333015,0.3396425247192383,-0.2941728702187536,-0.4214143753051758,0.3540880203247099,1.201202392578125,-0.03864039844367717,-0.06511402130126953,-0.18695201873779155,-0.9507389068603516,-0.18217464035563147,-0.14217829704284668,-0.3171150207519542,1.1492595672607422,True
qwen2.5-7b-inst,JV-LAM-1,JV-BASE,0.0,-0.5000000000000004,-0.20000000000000018,0.00045772254350595273,-8.983537554740906e-05,0.0037794783711433202,-0.030425280332565308,0.08441183090210025,0.0640716552734375,0.011918640136720171,1.1952457427978516,-0.018889129711896935,-0.02266666293144226,-0.17745294570922887,0.0796051025390625,-0.013261632025241,0.019944190979003906,-0.10921297073364045,0.08955764770507812,0.006350939899682828,-0.0128326416015625,0.08616447448730469,0.010095596313476562,-0.014759062920696842,-0.03030562400817871,-0.11119432449340749,0.2624168395996094,True
qwen2.5-7b-inst,JV-RES-N2,O_NATIVE,0.0,-0.5000000000000004,0.5000000000000004,-0.06594491000490961,-0.001215370837599039,-0.014237083494663239,-4.460897237062454,-0.02690365791320737,-0.007531166076660156,0.4453433990478537,-0.021528244018554688,0.1710419396864018,0.0038254857063293457,0.6248407363891602,0.24225521087646484,-0.17644383013248444,-0.24336624145507812,0.48890743255615376,0.9922199249267578,-0.10001950883958521,-0.15156793594360352,-0.36294698715209783,-1.0546073913574219,-0.16630545411072628,-0.08935713768005371,-0.22704925537109588,0.8062381744384766,True
qwen2.5-7b-inst,JV-RES-N2,JV-BASE,0.0,-0.5000000000000004,-0.6000000000000005,0.0015382761182263505,0.0009182295762002468,0.0005382359027862257,0.030665934085845947,-0.17359636306762738,0.06383180618286133,-0.8122896194457958,-1.4780464172363281,-0.019576454099733187,0.016103118658065796,-0.1681000709533702,-0.017782211303710938,0.10446740806102817,0.19799232482910156,0.025606441497803445,-0.11942481994628906,-0.055028170496225215,-0.09928655624389648,-0.0898304939270016,-0.09377288818359375,0.0011101233242083453,0.022515535354614258,-0.021128559112549183,-0.08060455322265625,True
qwen2.5-7b-inst,JV-RES-N8,O_NATIVE,0.0,-0.5000000000000004,1.3000000000000012,-0.06763455598877044,-0.0025673764757812023,-0.013757377117872213,-4.506218910217285,0.22044365882873684,-0.08560371398925781,1.237715530395505,2.2540035247802734,0.21289692500897228,-0.036995500326156616,0.518326234817506,0.283935546875,-0.36118284165859293,-0.576934814453125,0.3691876411438013,1.1022224426269531,-0.012258302004076072,-0.036673545837402344,-0.24161624908447088,-0.9053001403808594,-0.16693336552008997,-0.11496949195861816,-0.1966700553894043,0.9301967620849609,True
qwen2.5-7b-inst,JV-RES-N8,JV-BASE,0.0,-0.5000000000000004,0.20000000000000018,-0.00015136986563447918,-0.00043377606198191643,0.001017942279577251,-0.014655739068984985,0.07375095367431683,-0.014240741729736328,-0.01991748809814453,0.7974853515625,0.022278531222837294,-0.024717867374420166,-0.2746145725250244,0.02389812469482422,-0.08027160346508033,-0.1355762481689453,-0.094113349914549,-0.00942230224609375,0.03273303633928393,0.015607833862304688,0.031500244140625355,0.05553436279296875,0.00048221191484465464,-0.0030968189239501953,0.009250640869142401,0.043354034423828125,True
qwen2.5-7b-inst,JV-HOR-T1,O_NATIVE,0.0,-2.500000000000002,2.0000000000000018,-0.06212885606422787,-0.0026962468400597572,0.007439225912094116,-4.518676087260246,0.15271439552307164,-0.2534770965576172,1.5244863510131843,4.415449142456055,0.39842499603488246,0.15422499179840088,0.9397038459777853,0.340576171875,-0.794290155470371,-1.0782279968261719,0.04136390686035263,0.5268096923828125,0.12155753952171722,0.006997585296630859,-0.08841028213500834,-0.7061843872070312,-0.15564328120648874,-0.08681964874267578,-0.19474496841430877,0.9636974334716797,True
qwen2.5-7b-inst,JV-HOR-T1,JV-BASE,0.0,-2.500000000000002,0.9000000000000008,0.005354330058908091,-0.0005626464262604713,0.02221454530954358,-0.027112916111946106,0.006021690368651633,-0.1821141242980957,0.2668533325195348,2.9589309692382812,0.20780660224874747,0.16650262475013733,0.14676303863525497,0.08053874969482422,-0.5133789172768584,-0.6368694305419922,-0.4219370841979977,-0.5848350524902344,0.16654887786507722,0.05927896499633789,0.1847062110900879,0.2546501159667969,0.011772296228445889,0.025053024291992188,0.011175727844237926,0.07685470581054688,True
qwen2.5-7b-inst,JV-HOR-T4,O_NATIVE,0.0,-0.5000000000000004,0.6000000000000005,-0.06600536335638026,-0.0012338953092694283,-0.014394338056445112,-4.464675337076187,-0.022226052284239017,-0.022623538970947266,0.49923038482666016,-0.024606704711914062,0.16833818994637095,-0.0038860440254211426,0.666798400878907,0.2410106658935547,-0.1777658388018608,-0.2650423049926758,0.5893815994262717,0.9826679229736328,-0.09893016180489234,-0.15850830078125,-0.33774719238281214,-1.058877944946289,-0.1678750397665425,-0.10224437713623047,-0.22596464157104634,0.801239013671875,True
qwen2.5-7b-inst,JV-HOR-T4,JV-BASE,0.0,-0.5000000000000004,-0.5000000000000004,0.0014778227667557077,0.0008997051045298576,0.0003809813410043522,0.026887834072113037,-0.16891875743865903,0.04873943328857422,-0.7584026336669893,-1.4811248779296875,-0.022280203839764035,0.008391588926315308,-0.1261424064636234,-0.019026756286621094,0.10314539939165179,0.1763162612915039,0.12608060836792134,-0.12897682189941406,-0.05393882346153234,-0.10622692108154297,-0.06463069915771591,-0.09804344177246094,-0.00045946233160787386,0.0096282958984375,-0.020043945312499645,-0.08560371398925781,True
