model,path_id,node,comparator,layer,objective_improvement,joint_objective_improvement,native_cosine,Rturn,physical_coefficient_difference,outcome_evaluation,controller_influence_count
llama3-8b-inst,S-PATH-N8,5,SINGLE_LAYER_SHADOW,6,0.008587067510606724,0.029961666882627948,0.0026264819862788363,0.9999931015923758,"[0.0, 0.00047870254762737553, -0.44442552359285664, 0.03034674734603128, 1.0159818555720928]",NOT_EXECUTED_SHADOW_ONLY,0
llama3-8b-inst,S-PATH-N8,5,SINGLE_LAYER_SHADOW,7,0.01495829162260526,0.029961666882627948,0.028873195889009624,0.9991663385591549,"[0.0, 0.00047870254762737553, 0.002854055799498767, -0.6469382422943994, 1.0159818555720928]",NOT_EXECUTED_SHADOW_ONLY,0
llama3-8b-inst,S-PATH-N8,5,SINGLE_LAYER_SHADOW,8,0.029942855154693075,0.029961666882627948,0.9995795225655438,0.0008407780676394154,"[0.0, 0.00047870254762737553, 0.002854055799498767, 0.03034674734603128, -0.024823078480905952]",NOT_EXECUTED_SHADOW_ONLY,0
llama3-8b-inst,S-PATH-N8,6,SINGLE_LAYER_SHADOW,4,0.0011562326406640486,0.01716325311429673,0.0,1.0,"[-0.1424161972027514, 0.0004139467619631104, 0.003014188204806344, 0.030280868964145176, 1.0184425176710388]",NOT_EXECUTED_SHADOW_ONLY,0
llama3-8b-inst,S-PATH-N8,6,SINGLE_LAYER_SHADOW,5,0.002544594120700354,0.01716325311429673,0.00040195986482597534,0.999999838428267,"[0.0, -0.2720475436221776, 0.003014188204806344, 0.030280868964145176, 1.0184425176710388]",NOT_EXECUTED_SHADOW_ONLY,0
llama3-8b-inst,S-PATH-N8,6,SINGLE_LAYER_SHADOW,6,0.004808388965158056,0.01716325311429673,0.002763798508742276,0.999992361417803,"[0.0, 0.0004139467619631104, -0.4412054652473691, 0.030280868964145176, 1.0184425176710388]",NOT_EXECUTED_SHADOW_ONLY,0
llama3-8b-inst,S-PATH-N8,6,SINGLE_LAYER_SHADOW,7,0.008426936177916962,0.01716325311429673,0.028717961389697778,0.9991752786936199,"[0.0, 0.0004139467619631104, 0.003014188204806344, -0.6446623472326811, 1.0184425176710388]",NOT_EXECUTED_SHADOW_ONLY,0
llama3-8b-inst,S-PATH-N8,6,SINGLE_LAYER_SHADOW,8,0.017152403890990934,0.01716325311429673,0.999583652597265,0.0008325214603100292,"[0.0, 0.0004139467619631104, 0.003014188204806344, 0.030280868964145176, -0.024548640060083296]",NOT_EXECUTED_SHADOW_ONLY,0
llama3-8b-inst,S-PATH-N8,7,SINGLE_LAYER_SHADOW,4,0.0006473802377846417,0.009834178459676306,0.0,1.0,"[-0.14129157655950786, 0.0003398012379775234, 0.0031957794629733196, 0.03032503458172853, 1.0208155994208787]",NOT_EXECUTED_SHADOW_ONLY,0
llama3-8b-inst,S-PATH-N8,7,SINGLE_LAYER_SHADOW,5,0.0014283064752477973,0.009834178459676306,0.000328367243820138,0.9999998921749532,"[0.0, -0.27041539434756906, 0.0031957794629733196, 0.03032503458172853, 1.0208155994208787]",NOT_EXECUTED_SHADOW_ONLY,0
llama3-8b-inst,S-PATH-N8,7,SINGLE_LAYER_SHADOW,6,0.0027005078814805543,0.009834178459676306,0.0029200785997376107,0.9999914731409715,"[0.0, 0.0003398012379775234, -0.43868095512955424, 0.03032503458172853, 1.0208155994208787]",NOT_EXECUTED_SHADOW_ONLY,0
llama3-8b-inst,S-PATH-N8,7,SINGLE_LAYER_SHADOW,7,0.004756323056670836,0.009834178459676306,0.02867033109991366,0.9991780121146213,"[0.0, 0.0003398012379775234, 0.0031957794629733196, -0.6429458145776112, 1.0208155994208787]",NOT_EXECUTED_SHADOW_ONLY,0
