arm,batch,metric,comparison,denominator,before_num,after_num,retained,lost,gained,both_failed,conditional_loss_den,conditional_loss_rate,paired_rate_delta,previous_batch,arm_display_label,validation_origin
AlphaEdit_L4_ONLY,10,RS,AT_WRITE_TO_CHECKPOINT,1000,999,998,998,1,0,1,999,0.001001001001001001,-0.0010000000000000009,,AlphaEdit_BLUE_L4_ONLY,REUSED_V3_AGGREGATE
AlphaEdit_L4_ONLY,10,RS,PREVIOUS_CHECKPOINT_SAME_OLD_PREFIX,500,500,499,499,1,0,0,500,0.002,-0.0020000000000000018,5,AlphaEdit_BLUE_L4_ONLY,REUSED_V3_AGGREGATE
AlphaEdit_L4_ONLY,10,PS,AT_WRITE_TO_CHECKPOINT,2000,1935,1943,1930,5,13,52,1935,0.002583979328165375,0.0040000000000000036,,AlphaEdit_BLUE_L4_ONLY,REUSED_V3_AGGREGATE
AlphaEdit_L4_ONLY,10,PS,PREVIOUS_CHECKPOINT_SAME_OLD_PREFIX,1000,965,967,960,5,7,28,965,0.0051813471502590676,0.0020000000000000018,5,AlphaEdit_BLUE_L4_ONLY,REUSED_V3_AGGREGATE
AlphaEdit_L4_ONLY,10,NS,AT_WRITE_TO_CHECKPOINT,10000,8366,8072,7948,418,124,1510,8366,0.04996414056896964,-0.02939999999999998,,AlphaEdit_BLUE_L4_ONLY,REUSED_V3_AGGREGATE
AlphaEdit_L4_ONLY,10,NS,PREVIOUS_CHECKPOINT_SAME_OLD_PREFIX,5000,4205,4019,3953,252,66,729,4205,0.05992865636147444,-0.03720000000000001,5,AlphaEdit_BLUE_L4_ONLY,REUSED_V3_AGGREGATE
AlphaEdit_L4_ONLY,20,RS,AT_WRITE_TO_CHECKPOINT,2000,1999,1997,1997,2,0,1,1999,0.0010005002501250625,-0.0010000000000000009,,AlphaEdit_BLUE_L4_ONLY,REUSED_V3_AGGREGATE
AlphaEdit_L4_ONLY,20,RS,PREVIOUS_CHECKPOINT_SAME_OLD_PREFIX,1000,998,998,998,0,0,2,998,0.0,0.0,10,AlphaEdit_BLUE_L4_ONLY,REUSED_V3_AGGREGATE
AlphaEdit_L4_ONLY,20,PS,AT_WRITE_TO_CHECKPOINT,4000,3880,3873,3854,26,19,101,3880,0.006701030927835051,-0.0017499999999999183,,AlphaEdit_BLUE_L4_ONLY,REUSED_V3_AGGREGATE
AlphaEdit_L4_ONLY,20,PS,PREVIOUS_CHECKPOINT_SAME_OLD_PREFIX,2000,1943,1935,1927,16,8,49,1943,0.008234688625836336,-0.0040000000000000036,10,AlphaEdit_BLUE_L4_ONLY,REUSED_V3_AGGREGATE
AlphaEdit_L4_ONLY,20,NS,AT_WRITE_TO_CHECKPOINT,20000,16292,15318,14947,1345,371,3337,16292,0.08255585563466732,-0.048699999999999966,,AlphaEdit_BLUE_L4_ONLY,REUSED_V3_AGGREGATE
AlphaEdit_L4_ONLY,20,NS,PREVIOUS_CHECKPOINT_SAME_OLD_PREFIX,10000,8072,7570,7367,705,203,1725,8072,0.08733894945490585,-0.05020000000000002,10,AlphaEdit_BLUE_L4_ONLY,REUSED_V3_AGGREGATE
AlphaEdit_L4_ONLY,30,RS,AT_WRITE_TO_CHECKPOINT,3000,2999,2993,2993,6,0,1,2999,0.0020006668889629878,-0.0020000000000000018,,AlphaEdit_BLUE_L4_ONLY,REUSED_V3_AGGREGATE
