family,metric,arm,subset,original_denominator,excluded_count,excluded_rate,denominator,atwrite_numerator,final_numerator,atwrite_rate,final_rate,retained,lost,recovery,initial_and_current_failure,entry_success_denominator,loss_rate_among_entry_success,atwrite_desired_margin_mean,atwrite_desired_margin_median,atwrite_desired_margin_p90,desired_margin_mean,desired_margin_median,desired_margin_p90,desired_margin_delta_mean,desired_margin_delta_median,desired_margin_delta_p90,new_nll_mean,new_nll_median,new_nll_p90,true_nll_mean,true_nll_median,true_nll_p90,new_nll_delta_mean,new_nll_delta_median,new_nll_delta_p90,true_nll_delta_mean,true_nll_delta_median,true_nll_delta_p90
AlphaEdit,PS,AlphaEdit_L8_ONLY,active,20000,434,0.0217,19566,17540,15299,0.8964530307676581,0.7819176121844015,14718,2822,581,1445,17540,0.16088939566704674,7.375400908851374,7.5953030847013,14.52094715833664,4.497399958422149,4.242109060287476,11.945594310760498,-2.878000950429225,-1.934666084125638,2.2713963985443115,4.675206063368337,3.4764288663864136,11.27362060546875,9.172606021790488,9.038702011108398,14.5321044921875,2.331390410355827,0.9933887720108032,7.7739362716674805,-0.5466105400733986,-0.3563241958618164,3.790207862854004
AlphaEdit,PS,AlphaEdit_L8_ONLY,superseded,20000,19566,0.9783,434,298,257,0.6866359447004609,0.5921658986175116,211,87,46,90,298,0.29194630872483224,2.9971796645109476,2.748984217643738,10.055885195732117,1.0885904160272415,0.9951059818267822,7.086092472076416,-1.9085892484837061,-1.4733290672302246,3.6095403358340263,7.724534305164479,7.778520345687866,13.06328296661377,8.81312472119172,8.77612018585205,13.076891899108887,2.068735205283437,1.529994613607414,6.950726687908173,0.1601459567997313,0.10866475105285645,4.784280776977539
AlphaEdit,PS,AlphaEdit_L8_ONLY,superseded_same_target_only,20000,19990,0.9995,10,10,8,1.0,0.8,8,2,0,0,10,0.2,6.822171803005039,6.485070049762726,11.013443145900965,6.189427000284195,6.666091337800026,13.093053817749023,-0.6327448027208448,-0.05741983838379383,4.879815115593374,3.524810069799423,1.080840826034546,8.169525146484375,9.714237070083618,9.931224822998047,14.728985786437988,1.6355538504198193,0.8005860615521669,6.540229439735413,1.0028090476989746,1.3386178016662598,8.30589771270752
AlphaEdit,PS,AlphaEdit_L8_ONLY,superseded_different_target,20000,19576,0.9788,424,288,249,0.6792452830188679,0.5872641509433962,203,85,46,90,288,0.2951388888888889,2.9069675857728794,2.571975827217102,9.934017181396484,0.9682876663985398,0.9334006309509277,6.72290563583374,-1.9386799193743396,-1.4733290672302246,3.416396141052246,7.823584405055164,7.815207004547119,13.06328296661377,8.791872071453705,8.77612018585205,13.020059585571289,2.07895174667173,1.5928568840026855,6.950726687908173,0.14027182729739063,0.10866475105285645,4.779747009277344
AlphaEdit,NS,AlphaEdit_L4_ONLY,all,100000,0,0.0,100000,72505,65348,0.72505,0.65348,60958,11547,4390,23105,72505,0.15925798220812357,2.650102614068131,2.6477785110473633,8.73104476928711,1.5619802620015093,1.6051925420761108,7.219531059265137,-1.0881223520666214,-0.49803459644317627,1.8981852531433105,8.02009885632239,8.03192663192749,12.9622802734375,6.458118594320882,6.244174480438232,11.240619659423828,-0.46677595728724736,-0.2406628131866455,1.9604711532592773,0.6213463947793743,0.21691763401031494,3.6648099422454834
AlphaEdit,NS,AlphaEdit_L4_ONLY,common_atwrite_success,100000,59882,0.59882,40118,40118,35802,1.0,0.8924173687621516,35802,4316,0,0,40118,0.10758263123784835,6.046882468638595,5.651095151901245,10.726775407791138,4.217941938001596,4.094508409500122,8.994333297014236,-1.828940530636998,-1.0422794818878174,1.4390712976455688,9.684813613092869,9.652778625488281,14.21484661102295,5.466871675091274,5.149126291275024,9.902595520019531,-0.892047095855383,-0.5608220100402832,1.7690515518188477,0.9368934347816149,0.39483046531677246,4.346774578094482
AlphaEdit,NS,AlphaEdit_L4_ONLY,common_support,100000,163,0.00163,99837,72365,65232,0.7248314753047468,0.6533850175786532,60844,11521,4388,23084,72365,0.15920679886685551,2.6501703653973983,2.650585174560547,8.73142147064209,1.5618912961907263,1.605194091796875,7.219352722167969,-1.0882790692066715,-0.4981498718261719,1.8989520072937012,8.02032848526457,8.033510208129883,12.9622802734375,6.458437189073846,6.245185852050781,11.239119529724121,-0.46730119655770097,-0.24105548858642578,1.9611570835113525,0.6209778726489706,0.21696758270263672,3.664579391479492
AlphaEdit,NS,AlphaEdit_L4_ONLY,active,100000,2170,0.0217,97830,71080,64024,0.7265664928958397,0.6544413779004395,59826,11254,4198,22552,71080,0.15832864378165448,2.6706662024747527,2.6753697097301483,8.758700512349606,1.5730803793893178,1.6197562217712402,7.244457244873047,-1.097585823085435,-0.4992635250091553,1.8752689361572266,8.008439005412239,8.02437448501587,12.954768180847168,6.4353586260229205,6.2163097858428955,11.220135688781738,-0.4707569291590138,-0.24158430099487305,1.9289841651916504,0.6268288939264213,0.21700096130371094,3.6567517518997192
AlphaEdit,NS,AlphaEdit_L4_ONLY,superseded,100000,97830,0.9783,2170,1425,1324,0.6566820276497696,0.6101382488479262,1132,293,192,553,1425,0.2056140350877193,1.7230354003262736,1.4948043823242188,7.124369613826275,1.0615542324856975,0.9449892044067383,6.071752071380615,-0.6614811678405761,-0.4389662742614746,2.984992027282715,8.545759323852412,8.317926406860352,13.412376403808594,7.4842050913667135,7.295531988143921,12.02785873413086,-0.2873020041928184,-0.18379569053649902,3.4424614906311035,0.37417916364775766,0.19465112686157227,4.184283971786499
AlphaEdit,NS,AlphaEdit_L4_ONLY,superseded_same_target_only,100000,99950,0.9995,50,43,29,0.86,0.58,26,17,3,4,43,0.3953488372093023,2.4946491733193397,2.6165809631347656,6.5893144607543945,0.8086021189391613,0.5391125679016113,6.304708957672119,-1.6860470543801784,-0.8550756871700287,3.4375627040863037,5.3313043987751,4.704278469085693,9.502721786499023,4.522702279835939,3.6782824993133545,7.001034736633301,-1.2249033078551292,-0.9724349975585938,2.8257802724838257,0.4611437465250492,0.05031222105026245,4.54511022567749
AlphaEdit,NS,AlphaEdit_L4_ONLY,superseded_different_target,100000,97880,0.9788,2120,1382,1295,0.6518867924528302,0.6108490566037735,1106,276,189,549,1382,0.19971056439942114,1.7048369622839843,1.4147765636444092,7.145992279052734,1.0675200842202857,0.959254264831543,6.065869331359863,-0.6373168780636986,-0.42915916442871094,2.952493667602539,8.621571940009895,8.37043046951294,13.445075988769531,7.554051855789609,7.388829231262207,12.033926010131836,-0.265188765898896,-0.17407703399658203,3.4424614906311035,0.3721281121648027,0.20481055229902267,4.178406715393066
AlphaEdit,NS,AlphaEdit_L5_ONLY,all,100000,0,0.0,100000,69452,62822,0.69452,0.62822,57530,11922,5292,25256,69452,0.17165812359615273,2.316647683113797,2.29689359664917,8.518634557723999,1.3640422761309017,1.389124870300293,7.208160400390625,-0.9526054069828958,-0.45277929306030273,2.233700752258301,8.117788234414105,8.098586559295654,13.33082103729248,6.7537459582832025,6.546067714691162,11.718384742736816,-0.1978116069110547,-0.08840072154998779,2.4586219787597656,0.7547938000718412,0.3476221561431885,3.989220142364502
