entry,branch,layer,preM,postM,key,validation,independent_fullM,reused
70,SHAM,5,0ad5134f7fefc565129f4bdffd608d9ff22e6d15f1408e50dda3029e488a846e,676b961b838b1972b421cf46da8e31c930d4c3addaebbee19b66ff9b99dbde26,d57a25428f6e0dbbeee31ad50ba3c946c691fbacf9f55ca38782bddefa910ace,ORIGINAL_SOURCE_ONCE_PATH_AND_KEY_CALL_COUNT_PLUS_M_HASHES,NOT_PERFORMED,False
70,SHAM,6,545d88418f1f107cbb43191ea209cb94f0d572cf8a2ac06233ea678c2e780430,07563427786b7eaa02e7366c16506c79ea93ffe7a40df3c900dd1899e1caeb45,f56cc7beea1c3bdc45ab9d3c652ff0d5a5f34e88ae943248aa79fa78dbb5c3e7,ORIGINAL_SOURCE_ONCE_PATH_AND_KEY_CALL_COUNT_PLUS_M_HASHES,NOT_PERFORMED,False
70,SHAM,7,d5e2545a186b9f865da60b1d1565df3582e168f9e682d3b8e09780b3705b9eb0,ca4c58043304ed4cab04287ac074945edc0978205a277d2358e40352e84b47ff,1a8ef79bbcbc80f281125c849aedf009ab2622b0aab9be4ed5476135905d131b,ORIGINAL_SOURCE_ONCE_PATH_AND_KEY_CALL_COUNT_PLUS_M_HASHES,NOT_PERFORMED,False
70,SHAM,8,66dadc4e94f3c48473c889e09376dcbd429b8c5de6222098bd1f1548a64aefd0,c66d985192b24e40eb76bd75876841eea6a2985174feb2f3195994953e55c633,64c5decf6ecbba121ab7d3879d431e1b27d8691e965fcf2ac3eee2f9459732e9,ORIGINAL_SOURCE_ONCE_PATH_AND_KEY_CALL_COUNT_PLUS_M_HASHES,NOT_PERFORMED,False
70,H5,4,2a22c0f33cd4a2ccc641315235de7070c0ce6f75389063bfa03adedf6b857d9f,e9c9feab651b737447676eaae338598540b722eca0b27fbeb68b7491d3af1da4,e023b81e57da92567f6aae03fac8e20056c292244b8c959340597fa57f1bb32b,ORIGINAL_SOURCE_ONCE_PATH_AND_KEY_CALL_COUNT_PLUS_M_HASHES,NOT_PERFORMED,False
70,H5,5,0ad5134f7fefc565129f4bdffd608d9ff22e6d15f1408e50dda3029e488a846e,23162074271d60e59a259e48fbb928012c20557109b8018bb7af73b1a95ed24d,e0eeac4a58a77842793898ec76e669f5dfbbf7a90e4cec2e680e49929bdab188,ORIGINAL_SOURCE_ONCE_PATH_AND_KEY_CALL_COUNT_PLUS_M_HASHES,NOT_PERFORMED,False
70,H5,6,545d88418f1f107cbb43191ea209cb94f0d572cf8a2ac06233ea678c2e780430,53ef8197b66021b3bf42b739b9f6504879b1ecdb75d0df88107e55ae69891f9f,dfddff41c02d74e7f198ee454a49d6e949ddca3bdc38b74744640d22753b81e2,ORIGINAL_SOURCE_ONCE_PATH_AND_KEY_CALL_COUNT_PLUS_M_HASHES,NOT_PERFORMED,False
70,H5,7,d5e2545a186b9f865da60b1d1565df3582e168f9e682d3b8e09780b3705b9eb0,b32317f2226cbddde99882aafb6599b8adf2da3e815179f11a7e1ebab15f0af9,0970bb10f7bd9ecbe8a60c412642053419e939dc0344e5e9ca67545d1c9c02b3,ORIGINAL_SOURCE_ONCE_PATH_AND_KEY_CALL_COUNT_PLUS_M_HASHES,NOT_PERFORMED,False
70,H5,8,66dadc4e94f3c48473c889e09376dcbd429b8c5de6222098bd1f1548a64aefd0,ee42d761fce1b78d0a2f3094adf66a979465b6e8e273168a135ceef4f9c77ea2,4f6b56156db067d2f80be63829dbcce2a0cbefc2481c08f5b59849dc1e1f9b56,ORIGINAL_SOURCE_ONCE_PATH_AND_KEY_CALL_COUNT_PLUS_M_HASHES,NOT_PERFORMED,False
70,H6,4,2a22c0f33cd4a2ccc641315235de7070c0ce6f75389063bfa03adedf6b857d9f,e9c9feab651b737447676eaae338598540b722eca0b27fbeb68b7491d3af1da4,e023b81e57da92567f6aae03fac8e20056c292244b8c959340597fa57f1bb32b,ORIGINAL_SOURCE_ONCE_PATH_AND_KEY_CALL_COUNT_PLUS_M_HASHES,NOT_PERFORMED,False
70,H6,5,0ad5134f7fefc565129f4bdffd608d9ff22e6d15f1408e50dda3029e488a846e,23162074271d60e59a259e48fbb928012c20557109b8018bb7af73b1a95ed24d,e0eeac4a58a77842793898ec76e669f5dfbbf7a90e4cec2e680e49929bdab188,ORIGINAL_SOURCE_ONCE_PATH_AND_KEY_CALL_COUNT_PLUS_M_HASHES,NOT_PERFORMED,False
70,H6,6,545d88418f1f107cbb43191ea209cb94f0d572cf8a2ac06233ea678c2e780430,435b2782af421c01df84732cd5cfb5f979b290e04a206a9b6874dc8bbe1a4514,e8a769ba3161028191215b0e68f7417a74b6c09e430c8ff3bfd37478153331de,ORIGINAL_SOURCE_ONCE_PATH_AND_KEY_CALL_COUNT_PLUS_M_HASHES,NOT_PERFORMED,False
70,H6,7,d5e2545a186b9f865da60b1d1565df3582e168f9e682d3b8e09780b3705b9eb0,ee025a5eb468be4f4ecf471f1e52679feae91e3cd6924e089ac8c39cfae689de,a683f86c16df4ea52673cd4219b4bd0eac16d1a7cf3a026f304abd00f09df283,ORIGINAL_SOURCE_ONCE_PATH_AND_KEY_CALL_COUNT_PLUS_M_HASHES,NOT_PERFORMED,False
70,H6,8,66dadc4e94f3c48473c889e09376dcbd429b8c5de6222098bd1f1548a64aefd0,c1b2306e084c4ced0a8f338e5e46eeac64a4f75e7f1c10fd48d9549c9e515d8f,f48dfc254be7d9c56ebb1744ac2811927a38e01bc3af8a3eeeda6890ea658360,ORIGINAL_SOURCE_ONCE_PATH_AND_KEY_CALL_COUNT_PLUS_M_HASHES,NOT_PERFORMED,False
70,H56,4,2a22c0f33cd4a2ccc641315235de7070c0ce6f75389063bfa03adedf6b857d9f,e9c9feab651b737447676eaae338598540b722eca0b27fbeb68b7491d3af1da4,e023b81e57da92567f6aae03fac8e20056c292244b8c959340597fa57f1bb32b,ORIGINAL_SOURCE_ONCE_PATH_AND_KEY_CALL_COUNT_PLUS_M_HASHES,NOT_PERFORMED,False
70,H56,5,0ad5134f7fefc565129f4bdffd608d9ff22e6d15f1408e50dda3029e488a846e,23162074271d60e59a259e48fbb928012c20557109b8018bb7af73b1a95ed24d,e0eeac4a58a77842793898ec76e669f5dfbbf7a90e4cec2e680e49929bdab188,ORIGINAL_SOURCE_ONCE_PATH_AND_KEY_CALL_COUNT_PLUS_M_HASHES,NOT_PERFORMED,False
70,H56,6,545d88418f1f107cbb43191ea209cb94f0d572cf8a2ac06233ea678c2e780430,53ef8197b66021b3bf42b739b9f6504879b1ecdb75d0df88107e55ae69891f9f,dfddff41c02d74e7f198ee454a49d6e949ddca3bdc38b74744640d22753b81e2,ORIGINAL_SOURCE_ONCE_PATH_AND_KEY_CALL_COUNT_PLUS_M_HASHES,NOT_PERFORMED,False
70,H56,7,d5e2545a186b9f865da60b1d1565df3582e168f9e682d3b8e09780b3705b9eb0,f7b53e0c422c89a904fa80a5856fd55102964069e6b00921dbb5f26da6bf8f27,f05b96cd3106fcdb24cb331ff0bdd957a356bfcddc10393c633396b39abf3133,ORIGINAL_SOURCE_ONCE_PATH_AND_KEY_CALL_COUNT_PLUS_M_HASHES,NOT_PERFORMED,False
70,H56,8,66dadc4e94f3c48473c889e09376dcbd429b8c5de6222098bd1f1548a64aefd0,af84c1af85fb82781a52baccffb77f9553e57aff99b6b4fcd22b36eb41699fcb,87e233cc030bc07ceda4d29ace60945b238b68c52bc06eff34d593f8422c80b4,ORIGINAL_SOURCE_ONCE_PATH_AND_KEY_CALL_COUNT_PLUS_M_HASHES,NOT_PERFORMED,False
70,MASS56,4,2a22c0f33cd4a2ccc641315235de7070c0ce6f75389063bfa03adedf6b857d9f,e9c9feab651b737447676eaae338598540b722eca0b27fbeb68b7491d3af1da4,e023b81e57da92567f6aae03fac8e20056c292244b8c959340597fa57f1bb32b,ORIGINAL_SOURCE_ONCE_PATH_AND_KEY_CALL_COUNT_PLUS_M_HASHES,NOT_PERFORMED,False
70,MASS56,5,0ad5134f7fefc565129f4bdffd608d9ff22e6d15f1408e50dda3029e488a846e,23162074271d60e59a259e48fbb928012c20557109b8018bb7af73b1a95ed24d,e0eeac4a58a77842793898ec76e669f5dfbbf7a90e4cec2e680e49929bdab188,ORIGINAL_SOURCE_ONCE_PATH_AND_KEY_CALL_COUNT_PLUS_M_HASHES,NOT_PERFORMED,False
70,MASS56,6,545d88418f1f107cbb43191ea209cb94f0d572cf8a2ac06233ea678c2e780430,44b7083071bc5bb401d45c561e6dce4446ca0d36f5f8dde245e65901ddbcf2c0,06c741c8f95621b683da90b53d2722ae18141686dd886ec463d601b40f1f9ba0,ORIGINAL_SOURCE_ONCE_PATH_AND_KEY_CALL_COUNT_PLUS_M_HASHES,NOT_PERFORMED,False
70,MASS56,7,d5e2545a186b9f865da60b1d1565df3582e168f9e682d3b8e09780b3705b9eb0,c8cb2faa1d925692765c9846d5a2f45ae2f6b9f49e69472149b439cb70720951,bcd79e914ef4db07bbf46c017fefe8efa056ef9f74ac52c9f8e6a2eea5e1772c,ORIGINAL_SOURCE_ONCE_PATH_AND_KEY_CALL_COUNT_PLUS_M_HASHES,NOT_PERFORMED,False
