entry,branch,stage,panel,metric,numerator,denominator,percent,ties,token_correct,target_tokens,token_micro,prompt_macro,strict_count,unique_strict_count,new_nll_mean,true_nll_mean,desired_nll_mean,desired_margin_mean,desired_margin_p01,desired_margin_p05,desired_margin_median,desired_nll_p95,desired_nll_p99
50,L5/KR/ab,component,N512,NS,355,512,69.3359375,0,86,512,0.16796875,0.16796875,86,86,7.142100246401242,4.769131041059154,4.769131041059154,2.3729692053420877,-8.31608347825706,-5.306222581863404,1.997166633605957,10.767660999298096,13.121311378479003
50,L5/KR/ab,component,H512_ALL,RS,486,512,94.921875,0,419,516,0.812015503875969,0.814453125,415,415,0.9712934437329537,9.780558931233827,0.9712934437329537,8.809265487500873,-5.907177888154983,0.015238046646118261,8.58904629945755,5.923944664001463,10.648586854934686
50,L5/KR/ab,component,H512_ALL,PS,901,1024,87.98828125,0,609,1032,0.5901162790697675,0.58984375,601,601,2.1944271520428735,8.38506911622244,2.1944271520428735,6.190641964179566,-7.318902118206024,-3.162332963943481,6.439294248819351,8.49404649734497,12.147704277038573
50,L5/KR/ba,component,Current,RS,99,100,99.0,0,93,101,0.9207920792079208,0.925,92,92,0.4293569199097692,10.568888773918152,0.4293569199097692,10.139531854008382,1.1981845569610594,2.279932600259781,10.479060997255147,2.4413164854049647,5.364536266326939
50,L5/KR/ba,component,Current,PS,185,200,92.5,0,144,202,0.7128712871287128,0.715,142,142,1.448421074715152,9.204495242238044,1.448421074715152,7.756074167522893,-5.242194423675537,-1.5177683115005487,8.644433666020632,7.236142444610593,11.433903322219843
50,L5/KR/ba,component,Current,NS,631,1000,63.1,0,161,1030,0.1563106796116505,0.1455,132,132,7.234667020630091,5.527701256461442,5.527701256461442,1.70696576416865,-11.404682418871671,-7.3880189031362535,1.5188287496566772,11.842355918884277,14.012135353088377
50,L5/KR/ba,component,N512,NS,356,512,69.53125,0,89,512,0.173828125,0.173828125,89,89,7.14375195224784,4.768310802835913,4.768310802835913,2.3754411494119267,-8.30733463011682,-5.362113958597183,2.0357141494750977,10.817973566055295,13.097801313400268
50,L5/KR/ba,component,H512_ALL,RS,486,512,94.921875,0,418,516,0.810077519379845,0.8125,414,414,0.9805502683251106,9.761444088013377,0.9805502683251106,8.780893819688266,-5.909250125885009,-0.0013225555419920793,8.518811425194144,5.930954480171202,10.557987174987788
50,L5/KR/ba,component,H512_ALL,PS,901,1024,87.98828125,0,609,1032,0.5901162790697675,0.58984375,601,601,2.20598534643047,8.368351366336356,2.20598534643047,6.162366019905885,-7.3910806846618655,-3.1270330965518953,6.4215229749679565,8.703089618682846,12.152779455184936
50,L5/KR/bb,component,Current,RS,99,100,99.0,0,93,101,0.9207920792079208,0.925,92,92,0.48058783393498744,10.28741816997528,0.48058783393498744,9.806830336040294,0.20472141742706296,2.0880769312381746,10.204492069780827,2.6881954550743066,5.7135262823105215
50,L5/KR/bb,component,Current,PS,185,200,92.5,0,137,202,0.6782178217821783,0.68,135,135,1.5445388015566277,8.989156975150108,1.5445388015566277,7.44461817359348,-5.545753417015075,-1.9335252940654752,8.465493505820632,7.4207450151443455,11.591655578613272
50,L5/KR/bb,component,Current,NS,633,1000,63.3,0,162,1030,0.15728155339805824,0.1465,133,133,7.252155358987395,5.523971405722201,5.523971405722201,1.728183953265194,-11.347435139399021,-7.420299057662487,1.5071964263916016,11.780851554870605,14.097848424911499
50,L5/KR/bb,component,N512,NS,357,512,69.7265625,0,85,512,0.166015625,0.166015625,85,85,7.144911616869649,4.76698345292607,4.76698345292607,2.3779281639435794,-8.306897558942437,-5.345053482055664,2.00040203332901,10.731559944152831,13.129575433731079
50,L5/KR/bb,component,H512_ALL,RS,486,512,94.921875,0,419,516,0.812015503875969,0.814453125,415,415,0.970692223365127,9.783044389914721,0.970692223365127,8.812352166549594,-5.847327029705047,0.027331590652465904,8.591221960261464,5.92693507671356,10.63608686447143
50,L5/KR/bb,component,H512_ALL,PS,901,1024,87.98828125,0,610,1032,0.5910852713178295,0.5908203125,602,602,2.196479141899136,8.383220412959417,2.196479141899136,6.186741271060281,-7.3401134586334225,-3.1746595859527584,6.446998596191406,8.594312572479238,12.166665630340574
50,L5/components/centered,component,Current,RS,94,100,94.0,0,84,101,0.8316831683168316,0.835,83,83,1.1059936836280395,8.763735315799714,1.1059936836280395,7.657741632171674,-3.8067749547958374,-0.07440657615661608,7.9042748641222715,6.127010202407837,9.281417989730869
50,L5/components/centered,component,Current,PS,177,200,88.5,0,123,202,0.6089108910891089,0.61,121,121,2.2247417126136133,8.116879580616951,2.2247417126136133,5.892137868003338,-6.562319393157959,-3.2253709793090817,6.396006226539612,8.973076438903805,13.182714710235595
50,L5/components/centered,component,Current,NS,636,1000,63.6,0,165,1030,0.16019417475728157,0.1495,136,136,7.3137596366656945,5.5058983353422954,5.5058983353422954,1.8078613013233988,-11.150985443014651,-7.3384181439876555,1.632483959197998,11.797461891174317,13.980478086471555
50,L5/components/centered,component,N512,NS,356,512,69.53125,0,87,512,0.169921875,0.169921875,87,87,7.147649842052488,4.766389321604947,4.766389321604947,2.3812605204475403,-8.258343629315496,-5.554139277338981,2.0186586380004883,10.886769723892211,13.137224988937374
50,L5/components/centered,component,H512_ALL,RS,487,512,95.1171875,0,420,516,0.813953488372093,0.81640625,416,416,0.9594740134766226,9.806884140649345,0.9594740134766226,8.847410127172722,-5.7056827020645144,0.08918623924255378,8.655483286827803,5.881561374664306,10.706523933410638
50,L5/components/centered,component,H512_ALL,PS,903,1024,88.18359375,0,612,1032,0.5930232558139535,0.5927734375,604,604,2.1899559897807706,8.398042892880767,2.1899559897807706,6.208086903099996,-7.282803287506104,-3.168051773309707,6.5260878801345825,8.64429631233215,12.13025653839111
50,L5/components/full,component,Current,RS,94,100,94.0,0,84,101,0.8316831683168316,0.835,83,83,1.1062913449737244,8.760486707687377,1.1062913449737244,7.654195362713653,-3.8070187735557557,-0.07976679801940906,7.91286581940949,6.129683017730712,9.275904378891024
50,L5/components/full,component,Current,PS,177,200,88.5,0,123,202,0.6089108910891089,0.61,121,121,2.2245482954342153,8.112256296277046,2.2245482954342153,5.8877080008428315,-6.53554007768631,-3.201627969741821,6.362957656383514,8.972770786285396,13.18218726158142
50,L5/components/full,component,Current,NS,634,1000,63.4,0,163,1030,0.15825242718446603,0.1475,134,134,7.309931293460075,5.508140450405422,5.508140450405422,1.8017908430546523,-11.143069163765759,-7.325943493843079,1.6274042129516602,11.788786315917967,13.979818935394283
50,L5/components/full,component,N512,NS,356,512,69.53125,0,87,512,0.169921875,0.169921875,87,87,7.145263798567612,4.766634509924188,4.766634509924188,2.378629288643424,-8.269060678780079,-5.561918982863427,2.017830014228821,10.88083939552307,13.129971446990963
50,L5/components/full,component,H512_ALL,RS,487,512,95.1171875,0,420,516,0.813953488372093,0.81640625,416,416,0.9631318167683744,9.795978500158526,0.9631318167683744,8.832846683390152,-5.697323669195175,0.07632064819335946,8.638353624381125,5.88153190612793,10.71333461761474
50,L5/components/full,component,H512_ALL,PS,902,1024,88.0859375,0,612,1032,0.5930232558139535,0.5927734375,604,604,2.195032048085533,8.391952581625446,2.195032048085533,6.196920533539913,-7.290929503440857,-3.19684345126152,6.48770409822464,8.683283472061156,12.078202056884763
50,L5/components/mean,component,Current,RS,82,100,82.0,0,51,101,0.504950495049505,0.505,50,50,2.7495006444281898,6.973474019765854,2.7495006444281898,4.223973375337664,-5.50754448890686,-3.8633163392543795,4.258398234844208,9.411787700653075,11.598027992248566
50,L5/components/mean,component,Current,PS,142,200,71.0,0,74,202,0.36633663366336633,0.365,72,72,3.8419674393464813,6.876068737804889,3.8419674393464813,3.0341012984584084,-8.329984836578369,-5.374201446771622,3.1548919081687927,10.808510398864746,14.45560634613037
50,L5/components/mean,component,Current,NS,644,1000,64.4,0,166,1030,0.16116504854368932,0.1505,137,137,7.357087805774994,5.491434725570027,5.491434725570027,1.8656530802049673,-11.110826082527637,-7.241346645355224,1.6810626983642578,11.780339479446411,13.8339605808258
