entry,kind,status,comparison,exact,field,layer,max_abs,relative_frobenius,metric,attention_mask_sha256,authority_user_text,blocks_execution,comparison_verdict,full_physical_max_abs,full_physical_rms,full_physical_valid_logits_bitwise_equal,input_ids_sha256,kernel,numerical_comparison_policy,sum_route_max_abs,sum_route_not_bitwise_assumed,sum_route_rms,threshold,tokens,vocabulary
80,SHAM,OBSERVATION_ONLY_USER_DIRECTED,NUMERICAL_CONTROL_NOT_ESTABLISHED,False,new_nll,,5.7220458984375e-05,,H512/RS,,,,,,,,,,,,,,,,
80,SHAM,OBSERVATION_ONLY_USER_DIRECTED,NUMERICAL_CONTROL_NOT_ESTABLISHED,False,true_nll,,4.6253204345703125e-05,,H512/RS,,,,,,,,,,,,,,,,
80,SHAM,OBSERVATION_ONLY_USER_DIRECTED,NUMERICAL_CONTROL_NOT_ESTABLISHED,False,new_nll,,4.6253204345703125e-05,,H512/PS,,,,,,,,,,,,,,,,
80,SHAM,OBSERVATION_ONLY_USER_DIRECTED,NUMERICAL_CONTROL_NOT_ESTABLISHED,False,true_nll,,3.0517578125e-05,,H512/PS,,,,,,,,,,,,,,,,
80,HOOK,PASS,,,,L6,,,,ffa5cd9ede88d1a5b8cf8ae4dc540556a0fd11acbf095267d05080ce1ee34b50,이런 상대차는 크게 중요하지 않으니 실험에서 이런 gate들은 전부 관찰만 해,False,PASS,0.0,0.0,True,65067f9a94e398e89b1b82eee9a9183e677a8c92556e34749c5914c29e8be781,"F.linear(input,FP32(U+delta))",OBSERVATION_ONLY_USER_DIRECTED,1.621246337890625e-05,True,2.101639702976686e-06,0,14,128256
80,HOOK,PASS,,,,L5,,,,ffa5cd9ede88d1a5b8cf8ae4dc540556a0fd11acbf095267d05080ce1ee34b50,이런 상대차는 크게 중요하지 않으니 실험에서 이런 gate들은 전부 관찰만 해,False,PASS,0.0,0.0,True,65067f9a94e398e89b1b82eee9a9183e677a8c92556e34749c5914c29e8be781,"F.linear(input,FP32(U+delta))",OBSERVATION_ONLY_USER_DIRECTED,2.288818359375e-05,True,2.0606925611231726e-06,0,14,128256
90,SHAM,OBSERVATION_ONLY_USER_DIRECTED,NUMERICAL_CONTROL_NOT_ESTABLISHED,True,K,4,0.0,0.0,,,,,,,,,,,,,,,,,
90,SHAM,OBSERVATION_ONLY_USER_DIRECTED,NUMERICAL_CONTROL_NOT_ESTABLISHED,True,R,4,0.0,0.0,,,,,,,,,,,,,,,,,
90,SHAM,OBSERVATION_ONLY_USER_DIRECTED,NUMERICAL_CONTROL_NOT_ESTABLISHED,False,delta,4,1.917942427098751e-08,5.16472146898844e-07,,,,,,,,,,,,,,,,,
90,SHAM,OBSERVATION_ONLY_USER_DIRECTED,NUMERICAL_CONTROL_NOT_ESTABLISHED,False,K,5,1.0132789611816406e-06,5.312641544993577e-07,,,,,,,,,,,,,,,,,
90,SHAM,OBSERVATION_ONLY_USER_DIRECTED,NUMERICAL_CONTROL_NOT_ESTABLISHED,False,R,5,2.384185791015625e-06,8.972205623142592e-07,,,,,,,,,,,,,,,,,
90,SHAM,OBSERVATION_ONLY_USER_DIRECTED,NUMERICAL_CONTROL_NOT_ESTABLISHED,False,delta,5,2.3748725652694702e-07,1.8883812335445228e-06,,,,,,,,,,,,,,,,,
