after_nll_advantage,arm,before_nll_advantage,case_id,cell,entry_success,initially_failed,newly_forgotten,post_success
16.384099822491407,O_NATIVE,16.40523963049054,9563,3,True,False,False,True
18.980001110583544,O_NATIVE,18.943546725902706,12078,3,True,False,False,True
16.219565542414784,O_NATIVE,16.2520211301744,16738,3,True,False,False,True
22.78001751564443,O_NATIVE,22.889248160645366,19472,3,True,False,False,True
15.09321451652795,O_NATIVE,15.01089945062995,6818,3,True,False,False,True
12.779531247913837,O_NATIVE,12.755637900903821,5546,3,True,False,False,True
19.085888081230223,O_NATIVE,18.97231342457235,20622,3,True,False,False,True
21.508712657523574,O_NATIVE,21.578298695603735,13220,3,True,False,False,True
13.811636231839657,O_NATIVE,13.689359329640865,8040,3,True,False,False,True
14.986697427928448,O_NATIVE,15.059928016737103,21857,3,True,False,False,True
16.363579228520393,ORBFH_HIST,16.40523963049054,9563,3,True,False,False,True
19.01176104065962,ORBFH_HIST,18.943546725902706,12078,3,True,False,False,True
16.24041618593037,ORBFH_HIST,16.2520211301744,16738,3,True,False,False,True
22.797186644747853,ORBFH_HIST,22.889248160645366,19472,3,True,False,False,True
15.071196326985955,ORBFH_HIST,15.01089945062995,6818,3,True,False,False,True
12.817701544612646,ORBFH_HIST,12.755637900903821,5546,3,True,False,False,True
19.12525496305898,ORBFH_HIST,18.97231342457235,20622,3,True,False,False,True
21.464142092998372,ORBFH_HIST,21.578298695603735,13220,3,True,False,False,True
13.831388495862484,ORBFH_HIST,13.689359329640865,8040,3,True,False,False,True
15.013616869226098,ORBFH_HIST,15.059928016737103,21857,3,True,False,False,True
16.177906718105078,JV_NATIVE,16.40523963049054,9563,3,True,False,False,True
19.060567216016352,JV_NATIVE,18.943546725902706,12078,3,True,False,False,True
16.31444240733981,JV_NATIVE,16.2520211301744,16738,3,True,False,False,True
22.84875776525587,JV_NATIVE,22.889248160645366,19472,3,True,False,False,True
14.741681780666113,JV_NATIVE,15.01089945062995,6818,3,True,False,False,True
12.673358790576458,JV_NATIVE,12.755637900903821,5546,3,True,False,False,True
18.945504357106984,JV_NATIVE,18.97231342457235,20622,3,True,False,False,True
21.522190937772393,JV_NATIVE,21.578298695603735,13220,3,True,False,False,True
13.862336218357086,JV_NATIVE,13.689359329640865,8040,3,True,False,False,True
14.901100173592567,JV_NATIVE,15.059928016737103,21857,3,True,False,False,True
16.309985022991896,ORB_RAY_N,16.40523963049054,9563,3,True,False,False,True
19.067941587418318,ORB_RAY_N,18.943546725902706,12078,3,True,False,False,True
16.338950464501977,ORB_RAY_N,16.2520211301744,16738,3,True,False,False,True
22.822878294624388,ORB_RAY_N,22.889248160645366,19472,3,True,False,False,True
14.953227431513369,ORB_RAY_N,15.01089945062995,6818,3,True,False,False,True
12.9015197083354,ORB_RAY_N,12.755637900903821,5546,3,True,False,False,True
19.2101134438999,ORB_RAY_N,18.97231342457235,20622,3,True,False,False,True
21.431861529286834,ORB_RAY_N,21.578298695603735,13220,3,True,False,False,True
13.931537747383118,ORB_RAY_N,13.689359329640865,8040,3,True,False,False,True
15.034788362681866,ORB_RAY_N,15.059928016737103,21857,3,True,False,False,True
