case_index,request_index,request_sha256,arm,clamp_hit_steps,clamp_denominator_steps,clamp_fraction,all_5_step_saturated,endpoint_train_new_nll,endpoint_train_true_nll,endpoint_train_margin_new_minus_true
6,0,65fe8c1ae82c41f795ca50b2a0707d66874e1ae73ea6a6a34e23cc47f17c9e67,Z+,2,5,0.4,0,2.61224627494812,2.9933266639709473,0.3810804784297943
6,1,2f7b6e27f3bba670acf943b4dec2a696193b1ce72e53248761d42a7b1a19ccf6,Z+,0,5,0.0,0,0.23893170058727264,7.715156555175781,7.476224899291992
6,2,97e557fa2d1959dfc82a211736e5b608f395a1f440583abd5d70d65a2fbf5cfe,Z+,1,5,0.2,0,0.013400296680629253,10.42246150970459,10.409061431884766
6,3,322b5d3c47aa80d2c94addc9a85c94282e44d92f9ccc5a0cf4cab593ea40cb3b,Z+,4,5,0.8,0,8.402636528015137,10.187392234802246,1.7847554683685303
6,4,2cb95a1a83adc4008a17e6b41b7af19fb47a468500652815384202b87b26ccb4,Z+,4,5,0.8,0,0.4971434473991394,11.028249740600586,10.531105041503906
6,5,39cb134a7460153810c2e46692d13f26ce9cef48815e15c399b48c97a18eb027,Z+,3,5,0.6,0,0.17792271077632904,12.868280410766602,12.690356254577637
6,6,50d6505f4bf83bb005d91ac06d26b044492e5bbdd5ebf7ac3ad402fb8cc9e12c,Z+,4,5,0.8,0,2.384422779083252,11.171893119812012,8.787470817565918
6,7,48f8e5c9758bc1ecd0a5d87381377f2e938e3fbd115904598f843ea205a1cb29,Z+,2,5,0.4,0,0.0163764338940382,11.965788841247559,11.94941234588623
6,8,5222c50191326e7119d973b8926c803a0ac65079d8f3f3217e939a2eed376d81,Z+,3,5,0.6,0,0.01798328198492527,15.598063468933105,15.58008098602295
6,9,f296600e034a8a300da559a46de195efdd639d61128b9c3cc6a0887b1ef0d697,Z+,3,5,0.6,0,0.04593215510249138,6.88224983215332,6.836318016052246
6,0,65fe8c1ae82c41f795ca50b2a0707d66874e1ae73ea6a6a34e23cc47f17c9e67,Z±,3,5,0.6,0,0.018609363585710526,11.645378112792969,11.626769065856934
6,1,2f7b6e27f3bba670acf943b4dec2a696193b1ce72e53248761d42a7b1a19ccf6,Z±,5,5,1.0,1,0.44395336508750916,7.162564754486084,6.718611717224121
6,2,97e557fa2d1959dfc82a211736e5b608f395a1f440583abd5d70d65a2fbf5cfe,Z±,3,5,0.6,0,0.017532696947455406,10.464326858520508,10.446795463562012
6,3,322b5d3c47aa80d2c94addc9a85c94282e44d92f9ccc5a0cf4cab593ea40cb3b,Z±,5,5,1.0,1,8.922340393066406,13.104255676269531,4.181916236877441
6,4,2cb95a1a83adc4008a17e6b41b7af19fb47a468500652815384202b87b26ccb4,Z±,5,5,1.0,1,0.06876854598522186,12.47340202331543,12.404632568359375
6,5,39cb134a7460153810c2e46692d13f26ce9cef48815e15c399b48c97a18eb027,Z±,5,5,1.0,1,1.3931673765182495,12.1974515914917,10.804283142089844
6,6,50d6505f4bf83bb005d91ac06d26b044492e5bbdd5ebf7ac3ad402fb8cc9e12c,Z±,4,5,0.8,0,11.693662643432617,11.515177726745605,-0.17848405241966248
6,7,48f8e5c9758bc1ecd0a5d87381377f2e938e3fbd115904598f843ea205a1cb29,Z±,5,5,1.0,1,0.019175589084625244,13.969096183776855,13.949919700622559
6,8,5222c50191326e7119d973b8926c803a0ac65079d8f3f3217e939a2eed376d81,Z±,5,5,1.0,1,0.6382431983947754,14.489459991455078,13.851217269897461
6,9,f296600e034a8a300da559a46de195efdd639d61128b9c3cc6a0887b1ef0d697,Z±,5,5,1.0,1,0.19046156108379364,5.405374526977539,5.214913368225098
7,0,1f15ad772a9fa6b37e334f9e0a833b6b234fbcc3e02b033e20f4c8f7f264ec9f,Z+,3,5,0.6,0,2.4082508087158203,11.768851280212402,9.360601425170898
7,1,c416911d0d03300f77dc8d76e3ad6eab8c96026a867011c7a7728857b99e3e0c,Z+,4,5,0.8,0,0.03186626732349396,6.941325664520264,6.909459590911865
7,2,72a75cd16bd699577bf429e669049d3300002c7fd1905e4f2deb4e9e9cf79a10,Z+,5,5,1.0,1,0.02915826253592968,15.973788261413574,15.944628715515137
7,3,7e171f0683f1329a0b503c23931df0906725a579a73788155f049006f9ad9234,Z+,5,5,1.0,1,0.002983811078593135,16.010398864746094,16.007415771484375
7,4,50b6d7182bbb50024151c35a1af67f6f578882edaea4f98b765ec14cd313defc,Z+,1,5,0.2,0,0.03654702752828598,15.783564567565918,15.747016906738281
7,5,93b075f0e328c3fcb2abafea111d73fd635b70813aa17f11fff9e5c8b5f55ff7,Z+,4,5,0.8,0,0.15551210939884186,6.438558101654053,6.283046245574951
7,6,4a7d0d23ef3616b440f41d94b1e628cc6114d354cc49b0d25337f302b7cbf3ec,Z+,4,5,0.8,0,0.7056339979171753,6.810571193695068,6.104937553405762
7,7,f9f16bc7443ae596666c746ce23ea545748ddb3ef4434d0c407eb162fe7d8dbc,Z+,4,5,0.8,0,4.066547393798828,8.443342208862305,4.376794338226318
7,8,586d683ae8d67dfbb02210b31897583d20fe567bc9eaac6aaeb7fc136b111f58,Z+,3,5,0.6,0,0.010458122938871384,16.35443687438965,16.343976974487305
7,9,917e1683ed6303e6329abda3892afc6a827a129a43cdc31f1361ee9a99cabca9,Z+,5,5,1.0,1,0.14335578680038452,11.25598430633545,11.112628936767578
7,0,1f15ad772a9fa6b37e334f9e0a833b6b234fbcc3e02b033e20f4c8f7f264ec9f,Z±,3,5,0.6,0,2.773136854171753,12.393531799316406,9.620394706726074
7,1,c416911d0d03300f77dc8d76e3ad6eab8c96026a867011c7a7728857b99e3e0c,Z±,5,5,1.0,1,0.042807336896657944,7.1155548095703125,7.072747707366943
7,2,72a75cd16bd699577bf429e669049d3300002c7fd1905e4f2deb4e9e9cf79a10,Z±,5,5,1.0,1,0.07702046632766724,17.191070556640625,17.114051818847656
7,3,7e171f0683f1329a0b503c23931df0906725a579a73788155f049006f9ad9234,Z±,5,5,1.0,1,0.1860484480857849,8.766228675842285,8.580181121826172
7,4,50b6d7182bbb50024151c35a1af67f6f578882edaea4f98b765ec14cd313defc,Z±,2,5,0.4,0,0.023195695132017136,12.539721488952637,12.516525268554688
7,5,93b075f0e328c3fcb2abafea111d73fd635b70813aa17f11fff9e5c8b5f55ff7,Z±,5,5,1.0,1,0.10699310898780823,7.295866966247559,7.188873291015625
7,6,4a7d0d23ef3616b440f41d94b1e628cc6114d354cc49b0d25337f302b7cbf3ec,Z±,4,5,0.8,0,10.480629920959473,8.677032470703125,-1.8035972118377686
7,7,f9f16bc7443ae596666c746ce23ea545748ddb3ef4434d0c407eb162fe7d8dbc,Z±,4,5,0.8,0,12.11242961883545,5.8254499435424805,-6.286979675292969
7,8,586d683ae8d67dfbb02210b31897583d20fe567bc9eaac6aaeb7fc136b111f58,Z±,5,5,1.0,1,0.02247742936015129,14.793455123901367,14.770978927612305
7,9,917e1683ed6303e6329abda3892afc6a827a129a43cdc31f1361ee9a99cabca9,Z±,5,5,1.0,1,0.21925471723079681,11.064204216003418,10.844947814941406
8,0,d97bda6d6a887cafe4132a43d6d106a50a3a151b295c299fbaa9079c4004d670,Z+,4,5,0.8,0,7.040889739990234,12.170738220214844,5.129848480224609
8,1,7a3cc6340e797e103f5ab68ea59b5e176a2d12639a688d3976372b570f83f3d3,Z+,4,5,0.8,0,7.328292369842529,6.446720123291016,-0.8815717697143555
8,2,a0e3b3665e3acf91cc0f8e3266db11b483ea3b8269b38dbde27b268007d89343,Z+,0,5,0.0,0,0.20564225316047668,5.951200008392334,5.745558738708496
8,3,0f87867b9b690190efe9e3d65b533309c8a7791ed39a0a0b7c231d0b7d6a89a0,Z+,1,5,0.2,0,0.014838514849543571,10.079912185668945,10.06507396697998
8,4,44ab2dfa36200c934db39cfa054a5522dc88440bf69af322dc936c4ba1de5509,Z+,3,5,0.6,0,0.017397038638591766,12.804258346557617,12.786860466003418
8,5,cb7c55a4e2dd79332d59c67a80558cdd018be66887291ba61bda4f4cd96f0c0d,Z+,5,5,1.0,1,0.02106045000255108,7.8234710693359375,7.802411079406738
8,6,bc8ea88677fa3c48a9f530c375644aa2795c663a9f9bd749229249c49602f1d7,Z+,5,5,1.0,1,0.02776891551911831,12.001974105834961,11.974203109741211
