arm,accepted_edit_count,category,request_denominator,online_strict_numerator,online_strict_rate,cumulative_strict_numerator,cumulative_strict_rate,delta_cumulative_minus_online_strict_rate,online_gen,online_locality,online_nll_mean,cumulative_nll_mean,delta_cumulative_minus_online_nll_mean,online_nll_median,cumulative_nll_median,delta_cumulative_minus_online_nll_median,online_nll_p90,cumulative_nll_p90,delta_cumulative_minus_online_nll_p90,online_nll_max,cumulative_nll_max,delta_cumulative_minus_online_nll_max,online_margin_mean,cumulative_margin_mean,delta_cumulative_minus_online_margin_mean,online_margin_median,cumulative_margin_median,delta_cumulative_minus_online_margin_median,online_margin_p90,cumulative_margin_p90,delta_cumulative_minus_online_margin_p90,online_margin_max,cumulative_margin_max,delta_cumulative_minus_online_margin_max
LA,3000,rewrite_target_new,3000,3000,1.0,2880,0.96,-0.040000000000000036,NOT_RECORDED_ONLINE_SCHEMA,NOT_RECORDED_ONLINE_SCHEMA,0.0035155701712387783,0.21874852248851295,0.21523295231727418,0.0012649638811126351,0.0040733590722084045,0.0028083951910957694,0.007977256458252667,0.09762935936450959,0.08965210290625691,0.1597105860710144,19.71492576599121,19.555215179920197,7.776282341639201,6.143819144090017,-1.6324631975491837,7.8393354415893555,6.678715705871582,-1.1606197357177734,9.569465351104737,8.862702369689941,-0.706762981414796,13.26987361907959,13.964469909667969,0.6945962905883789
LA,3000,rewrite_target_true,3000,0,0.0,5,0.0016666666666666668,0.0016666666666666668,NOT_RECORDED_ONLINE_SCHEMA,NOT_RECORDED_ONLINE_SCHEMA,14.486403707265854,12.795155845704178,-1.691247861561676,14.169378757476807,12.499220371246338,-1.6701583862304688,20.023188972473143,18.693570137023926,-1.3296188354492173,30.644330978393555,30.920520782470703,0.27618980407714844,-14.555084391593933,-12.791749812761942,1.7633345788319907,-14.252877235412598,-12.531700134277344,1.721177101135254,-9.624296760559082,-7.272643280029297,2.3516534805297846,-3.353731155395508,3.948122024536133,7.301853179931641
LA,5000,rewrite_target_new,5000,4993,0.9986,3293,0.6586,-0.3400000000000001,NOT_RECORDED_ONLINE_SCHEMA,NOT_RECORDED_ONLINE_SCHEMA,0.011340349684947614,2.25583260714497,2.2444922574600223,0.0018767378642223775,0.18420730531215668,0.1823305674479343,0.014693592675030235,8.054756069183355,8.040062476508325,4.560380935668945,22.958847045898438,18.398466110229492,7.419788360404969,1.2135269939422608,-6.206261366462708,7.496975898742676,2.6514854431152344,-4.845490455627441,9.464856052398682,7.359792423248291,-2.105063629150391,13.743345260620117,13.743345260620117,0.0
LA,5000,rewrite_target_true,5000,0,0.0,31,0.0062,0.0062,NOT_RECORDED_ONLINE_SCHEMA,NOT_RECORDED_ONLINE_SCHEMA,14.088321215200423,10.157457789831609,-3.9308634253688144,13.79113245010376,9.934710025787354,-3.8564224243164062,19.511342048645023,15.848344707489014,-3.662997341156009,30.644330978393555,27.957984924316406,-2.6863460540771484,-14.152617044639587,-9.80661065864563,4.346006385993958,-13.844182014465332,-9.647397994995117,4.196784019470215,-9.189967536926268,-4.02772579193115,5.162241744995118,-3.353731155395508,3.7072715759277344,7.061002731323242
LA,7500,rewrite_target_new,7500,7452,0.9936,1468,0.19573333333333334,-0.7978666666666667,NOT_RECORDED_ONLINE_SCHEMA,NOT_RECORDED_ONLINE_SCHEMA,0.037752838503535134,7.417303767751216,7.379550929247681,0.002451452426612377,7.829144239425659,7.826692786999047,0.025856254808604748,13.59573392868042,13.569877673871815,16.02873420715332,28.819944381713867,12.791210174560547,7.089497286478679,-5.364511908785502,-12.454009195264181,7.217888832092285,-6.164797306060791,-13.382686138153076,9.397711372375488,4.294596862792969,-5.103114509582519,14.678750038146973,14.735280990600586,0.05653095245361328
LA,7500,rewrite_target_true,7500,0,0.0,63,0.0084,0.0084,NOT_RECORDED_ONLINE_SCHEMA,NOT_RECORDED_ONLINE_SCHEMA,13.920796739355723,10.228240424744287,-3.6925563146114353,13.600565433502197,10.09315824508667,-3.5074071884155273,19.286875534057618,15.125942993164061,-4.1609325408935565,30.85051918029785,27.933773040771484,-2.916746139526367,-13.957861243756613,-9.018771187082926,4.939090056673686,-13.641756534576416,-8.784046649932861,4.857709884643555,-9.005621910095215,-3.717765712738036,5.287856197357179,-1.0631084442138672,3.895146369934082,4.958254814147949
LA,10000,rewrite_target_new,10000,9888,0.9888,2013,0.2013,-0.7875,NOT_RECORDED_ONLINE_SCHEMA,NOT_RECORDED_ONLINE_SCHEMA,0.07178936490135285,7.848452995000142,7.776663630098789,0.0029733636183664203,8.677352905273438,8.674379541655071,0.04942066259682181,13.673690795898438,13.624270133301616,16.02873420715332,24.250869750976562,8.222135543823242,6.8908227011680605,-5.1719887400150295,-12.06281144118309,7.04274320602417,-6.15656042098999,-13.19930362701416,9.374243354797363,4.180446720123291,-5.193796634674072,19.934173583984375,18.50145721435547,-1.4327163696289062
LA,10000,rewrite_target_true,10000,0,0.0,59,0.0059,0.0059,NOT_RECORDED_ONLINE_SCHEMA,NOT_RECORDED_ONLINE_SCHEMA,13.913378414583207,10.831303707531095,-3.0820747070521115,13.60786247253418,10.869920253753662,-2.7379422187805176,19.282025337219242,15.021545505523683,-4.260479831695559,30.85051918029785,32.47736358642578,1.6268444061279297,-13.91694558582306,-8.997253121995925,4.919692463827134,-13.626080989837646,-8.74740982055664,4.878671169281006,-8.895162773132324,-4.323519849777221,4.571642923355102,-1.0372314453125,4.360769271850586,5.398000717163086
QM,1000,rewrite_target_new,1000,996,0.996,930,0.93,-0.06599999999999995,NOT_RECORDED_ONLINE_SCHEMA,NOT_RECORDED_ONLINE_SCHEMA,0.04182023033855876,0.39745480413830225,0.3556345737997435,0.010025326162576675,0.029650879092514515,0.01962555292993784,0.0647882029414177,0.5983155071735383,0.5335273042321206,5.451099395751953,14.34988784790039,8.898788452148438,5.800912519454956,4.3201547012329105,-1.4807578182220453,5.76322603225708,4.735401630401611,-1.0278244018554688,7.896270656585694,7.340288543701172,-0.5559821128845215,11.020238876342773,10.319852828979492,-0.7003860473632812
QM,1000,rewrite_target_true,1000,0,0.0,2,0.002,0.002,NOT_RECORDED_ONLINE_SCHEMA,NOT_RECORDED_ONLINE_SCHEMA,14.612155286073685,12.648665793061257,-1.9634894930124283,14.421226501464844,12.327365398406982,-2.0938611030578613,20.844034767150877,18.696574592590334,-2.1474601745605426,31.305513381958008,30.25710678100586,-1.0484066009521484,-14.658128988265991,-12.54943339395523,2.1086955943107615,-14.446335792541504,-12.277348041534424,2.16898775100708,-9.17142162322998,-6.5984820365905765,2.5729395866394036,-1.2814598083496094,0.47058868408203125,1.7520484924316406
QM,1500,rewrite_target_new,1500,1485,0.99,840,0.56,-0.42999999999999994,NOT_RECORDED_ONLINE_SCHEMA,NOT_RECORDED_ONLINE_SCHEMA,0.07605335971196715,2.5634719030017634,2.487418543289796,0.01195260277017951,1.1242083311080933,1.1122557283379138,0.08788975626230242,7.17983798980714,7.091948233544838,7.757393836975098,19.501806259155273,11.744412422180176,5.602459500948588,0.07590347035725911,-5.526556030591329,5.576052665710449,0.6909446716308594,-4.88510799407959,7.857178783416748,5.141533660888673,-2.715645122528075,11.023709297180176,11.023709297180176,0.0
QM,1500,rewrite_target_true,1500,1,0.0006666666666666666,31,0.020666666666666667,0.02,NOT_RECORDED_ONLINE_SCHEMA,NOT_RECORDED_ONLINE_SCHEMA,13.66486566344897,8.482497103646397,-5.182368559802573,13.349332809448242,8.176867961883545,-5.172464847564697,20.086085128784188,13.692798709869386,-6.393286418914801,31.305513381958008,26.786725997924805,-4.518787384033203,-13.691874314308167,-7.601875226020813,6.089999088287354,-13.407851219177246,-7.316514253616333,6.091336965560913,-7.855718421936034,-2.0570099830627395,5.798708438873295,0.40894603729248047,3.1416425704956055,2.732696533203125
QM,2000,rewrite_target_new,2000,1972,0.986,534,0.267,-0.719,NOT_RECORDED_ONLINE_SCHEMA,NOT_RECORDED_ONLINE_SCHEMA,0.10541996749885629,5.515024633625693,5.409604666126836,0.014096453320235014,5.383422613143921,5.369326159823686,0.12683961987495446,11.221877861022952,11.095038241147996,7.877423286437988,19.658424377441406,11.781001091003418,5.50460547542572,-3.127178699016571,-8.631784174442291,5.532456398010254,-3.355469226837158,-8.887925624847412,7.8127792358398445,3.9448463439941475,-3.867932891845697,13.429930686950684,12.769878387451172,-0.6600522994995117
QM,2000,rewrite_target_true,2000,2,0.001,34,0.017,0.016,NOT_RECORDED_ONLINE_SCHEMA,NOT_RECORDED_ONLINE_SCHEMA,13.019970787018538,8.474606795177795,-4.545363991840743,12.654677867889404,8.258056640625,-4.396621227264404,19.49938831329346,13.074188804626466,-6.425199508666992,31.305513381958008,22.35100555419922,-8.954507827758789,-13.008036937236787,-6.956009767770767,6.05202716946602,-12.705703258514404,-6.674329519271851,6.031373739242554,-7.192158317565918,-2.191984462738037,5.000173854827881,0.6506166458129883,4.767110824584961,4.116494178771973
QM,3000,rewrite_target_new,3000,2556,0.852,46,0.015333333333333332,-0.8366666666666667,NOT_RECORDED_ONLINE_SCHEMA,NOT_RECORDED_ONLINE_SCHEMA,1.4287758335811216,12.3452495974442,10.916473763863078,0.029366458766162395,12.688110828399658,12.658744369633496,6.808845710754392,15.778146743774414,8.969301033020022,16.44066047668457,19.65978240966797,3.2191219329833984,3.6927877928415933,-9.519433490355809,-13.212221283197401,4.89942741394043,-9.78139352798462,-14.680820941925049,7.620704174041748,-4.683295345306399,-12.303999519348146,15.508759498596191,7.318351745605469,-8.190407752990723
QM,3000,rewrite_target_true,3000,2,0.0006666666666666666,1,0.0003333333333333333,-0.0003333333333333333,NOT_RECORDED_ONLINE_SCHEMA,NOT_RECORDED_ONLINE_SCHEMA,12.48683300246795,12.924837661087514,0.4380046586195636,12.117871761322021,13.094531059265137,0.9766592979431152,18.320347595214844,16.04906177520752,-2.271285820007325,31.305513381958008,21.431304931640625,-9.874208450317383,-11.927809919039408,-10.125586655139923,1.802223263899485,-11.457820415496826,-10.141782283782959,1.3160381317138672,-6.302917194366455,-5.7689220905303955,0.5339951038360597,0.6506166458129883,1.1862573623657227,0.5356407165527344
QM,5000,rewrite_target_new,5000,2570,0.514,1,0.0002,-0.5138,NOT_RECORDED_ONLINE_SCHEMA,NOT_RECORDED_ONLINE_SCHEMA,6.224746031621386,15.529173140060902,9.304427108439516,1.6354871988296509,15.379104137420654,13.743616938591003,15.202710437774657,19.21866855621338,4.015958118438723,24.76824188232422,29.4299259185791,4.661684036254883,-2.3969639416217805,-14.699449619340896,-12.302485677719115,1.0106258392333984,-14.801796436309814,-15.812422275543213,7.0149227142334,-10.045083141326904,-17.060005855560306,15.508759498596191,1.612762451171875,-13.895997047424316
QM,5000,rewrite_target_true,5000,2,0.0004,0,0.0,-0.0004,NOT_RECORDED_ONLINE_SCHEMA,NOT_RECORDED_ONLINE_SCHEMA,13.183282179296016,15.767925546550751,2.584643367254735,13.195441722869873,15.565693378448486,2.3702516555786133,17.900726318359375,19.35191593170166,1.4511896133422866,31.305513381958008,30.601593017578125,-0.7039203643798828,-12.096992371702195,-14.929588987255096,-2.8325966155529017,-11.840016841888428,-15.017548561096191,-3.1775317192077637,-6.876331233978268,-10.283754730224608,-3.4074234962463397,0.6506166458129883,-1.5236234664916992,-2.1742401123046875
QM,7500,rewrite_target_new,7500,2571,0.3428,1,0.00013333333333333334,-0.3426666666666667,NOT_RECORDED_ONLINE_SCHEMA,NOT_RECORDED_ONLINE_SCHEMA,9.092736240134828,14.900808788919448,5.8080725487846205,11.918473720550537,14.28664255142212,2.368168830871582,16.75835132598877,18.89886379241944,2.140512466430671,29.09453773498535,34.986602783203125,5.892065048217773,-6.1035934258461,-13.257269904836019,-7.153676478989919,-9.389509201049805,-12.660871505737305,-3.2713623046875,6.418760204315187,-8.576912117004392,-14.995672321319578,15.508759498596191,0.7669219970703125,-14.741837501525879
QM,7500,rewrite_target_true,7500,2,0.0002666666666666667,0,0.0,-0.0002666666666666667,NOT_RECORDED_ONLINE_SCHEMA,NOT_RECORDED_ONLINE_SCHEMA,13.80606342915694,15.079824752616883,1.2737613234599436,13.775460720062256,14.456904888153076,0.6814441680908203,18.200727272033692,18.994277572631837,0.7935503005981452,33.26874923706055,37.92354202270508,4.654792785644531,-12.643474638525644,-13.430398115444182,-0.7869234769185383,-12.434779644012451,-12.848290920257568,-0.4135112762451172,-7.486556625366211,-8.679316425323487,-1.192759799957276,0.6506166458129883,-3.437992572784424,-4.088609218597412
QM,10000,rewrite_target_new,10000,2571,0.2571,0,0.0,-0.2571,NOT_RECORDED_ONLINE_SCHEMA,NOT_RECORDED_ONLINE_SCHEMA,10.882061502124513,18.1170836751461,7.235022173021589,12.906209468841553,16.431018829345703,3.5248093605041504,18.131997680664064,26.522850036621094,8.39085235595703,45.47290802001953,46.767784118652344,1.2948760986328125,-8.272757380938529,-16.684348787879944,-8.411591406941415,-10.777039051055908,-15.07767105102539,-4.300631999969482,5.898231601715088,-9.050896644592285,-14.949128246307374,15.508759498596191,-3.065699577331543,-18.574459075927734
QM,10000,rewrite_target_true,10000,2,0.0002,0,0.0,-0.0002,NOT_RECORDED_ONLINE_SCHEMA,NOT_RECORDED_ONLINE_SCHEMA,14.46282510792613,18.172775603151322,3.7099504952251916,14.097363948822021,16.465970039367676,2.3686060905456543,19.16913261413574,26.588273048400882,7.419140434265142,48.194190979003906,50.37535858154297,2.1811676025390625,-13.223338986516,-16.714184997749328,-3.4908460112333284,-12.728526592254639,-15.084033012390137,-2.355506420135498,-7.868702507019043,-9.129546546936034,-1.2608440399169911,0.6506166458129883,-2.803980827331543,-3.4545974731445312
QA,1000,rewrite_target_new,1000,996,0.996,988,0.988,-0.008000000000000007,NOT_RECORDED_ONLINE_SCHEMA,NOT_RECORDED_ONLINE_SCHEMA,0.046463938608885653,0.09968382961705356,0.05321989100816791,0.009747999254614115,0.013550621457397938,0.003802622202783823,0.05910200476646423,0.09312075451016429,0.034018749743700054,9.962437629699707,14.877029418945312,4.9145917892456055,5.837600925445557,5.402030993461609,-0.4355699319839479,5.825923442840576,5.522712230682373,-0.3032112121582031,7.9657392501831055,7.625758647918701,-0.3399806022644043,11.170205116271973,10.423420906066895,-0.7467842102050781
