arm,provenance,batch,state,population,metric,numerator,denominator,percent,request_denominator,ties,desired_strict_n,desired_strict_d,new_strict_n,true_strict_n,desired_token_correct,desired_token_d,all_prompt_strict_requests,new_nll_mean,new_nll_median,new_nll_p90,new_nll_p95,new_nll_p99,new_nll_min,new_nll_max,true_nll_mean,true_nll_median,true_nll_p90,true_nll_p95,true_nll_p99,true_nll_min,true_nll_max,desired_margin_mean,desired_margin_median,desired_margin_p90,desired_margin_p95,desired_margin_p99,desired_margin_min,desired_margin_max
NORM_ONLY,NEW_CHAIN_CPU_REDUCTION,7,SELECTED,CURRENT,NS,856,1000,85.6,100,0,243,1000,19,243,253,1010,2,9.441573815383016,9.279914855957031,14.40136890411377,15.642063951492307,18.033354606628418,0.08351976424455643,22.553852081298828,4.661658468551933,4.121999263763428,9.900386714935303,11.690456867218014,15.099559230804442,0.006331740878522396,19.72740936279297,4.779915346831083,4.781703472137451,10.570419001579285,12.16580741405487,15.84296047449112,-10.149828001856804,18.083053022623062
NORM_ONLY,NEW_CHAIN_CPU_REDUCTION,7,SELECTED,ACCEPTED_OLD,RS,600,600,100.0,600,0,598,600,598,0,609,611,598,0.019521161728841132,0.0012419852428138256,0.004831129126250745,0.006873278901912269,0.1162889266759152,1.9311717551317997e-05,4.2062530517578125,14.616427369117737,14.476003646850586,19.93353385925293,21.91158962249756,25.344446334838867,3.214216709136963,26.2811279296875,14.596906207388896,14.475697107845917,19.933011966233607,21.90994260685402,25.3438452241334,0.4847421646118164,26.280606167565566
NORM_ONLY,NEW_CHAIN_CPU_REDUCTION,7,SELECTED,ACCEPTED_OLD,PS,1159,1200,96.58333333333333,600,0,776,1200,776,9,797,1222,288,1.6202228687353546,0.3456701338291168,5.198224163055426,6.9402193069457985,9.7664369392395,5.2927523938706145e-05,12.926790237426758,10.090594083387405,9.936005592346191,15.180570983886726,16.70823030471802,20.35559085845947,0.07795234769582748,24.71977996826172,8.470371214652051,8.483274653553963,14.447318373632527,16.247359048365613,20.327005729917797,-9.155553340911865,24.718051973730326
NORM_ONLY,NEW_CHAIN_CPU_REDUCTION,7,SELECTED,ACCEPTED_OLD,NS,4934,6000,82.23333333333333,600,0,1062,6000,95,1062,1152,6090,7,9.687254065808073,9.645603656768799,14.494265174865724,15.924922323226932,18.721169376373297,5.173549288883805e-05,24.197246551513672,5.311337079543019,4.9330267906188965,10.450958347320558,12.032027864456179,14.894122409820579,0.0004359725280664861,22.75481414794922,4.375916986265055,4.265752345323563,10.525031104683878,12.12951642274857,15.49328831017018,-21.443418265727814,19.80361856520176
NORM_ONLY,NEW_CHAIN_CPU_REDUCTION,8,ENTRY,CURRENT,RS,13,100,13.0,100,0,2,100,2,16,4,102,2,9.591101286411286,9.184403896331787,14.07865514755249,15.019614648818967,16.71756084442139,0.918808102607727,16.75486183166504,4.831930980458855,4.367882013320923,8.772139263153077,10.005489063262939,14.436446456909186,0.06893275678157806,15.678863525390625,-4.75917030595243,-4.912099689245224,0.24350738525390872,1.558426976203918,4.09101119399071,-15.901764273643494,4.562256574630737
NORM_ONLY,NEW_CHAIN_CPU_REDUCTION,8,ENTRY,CURRENT,PS,26,200,13.0,100,0,3,200,3,39,7,204,0,9.007777418494225,8.929476737976074,13.117644882202148,15.050801801681517,16.61580492019653,1.388440489768982,17.829265594482422,4.547523810369894,4.096185207366943,9.01917781829834,10.122055864334104,12.292748088836655,0.015439275652170181,16.237905502319336,-4.46025360812433,-4.227409362792969,0.7054764747619625,2.9901670098304707,5.080904294252395,-13.105688333511353,6.325578212738037
NORM_ONLY,NEW_CHAIN_CPU_REDUCTION,8,ENTRY,CURRENT,NS,865,1000,86.5,100,0,214,1000,6,214,214,1000,1,9.732582297593355,9.580554008483887,14.751988410949707,15.967189311981201,17.889841499328615,0.03975158929824829,21.357685089111328,4.909990837888326,4.248889923095703,10.086747741699218,11.80342559814453,14.069275369644163,0.004870574455708265,16.71601676940918,4.822591459705029,4.495954990386963,10.809650325775147,12.588469779491424,15.164485858273693,-9.138450622558594,17.36205631494522
NORM_ONLY,NEW_CHAIN_CPU_REDUCTION,8,ENTRY,ACCEPTED_OLD,RS,700,700,100.0,700,0,698,700,698,0,710,712,698,0.017088230829818453,0.0011634016991592944,0.00470146448351443,0.006872835406102238,0.09822701990604385,1.9311717551317997e-05,4.2062530517578125,14.609532649176462,14.461069107055664,19.940698051452635,21.954075241088866,25.344446334838867,3.214216709136963,26.33538246154785,14.592444418346643,14.459341855865205,19.940203612699406,21.953368047936234,25.3438452241334,0.4847421646118164,26.334737508906983
NORM_ONLY,NEW_CHAIN_CPU_REDUCTION,8,ENTRY,ACCEPTED_OLD,PS,1354,1400,96.71428571428571,700,0,919,1400,919,10,942,1424,346,1.6080309301863105,0.3220810294151306,5.182339763641359,6.9928598403930655,10.256877155303952,5.2927523938706145e-05,12.926790237426758,10.080463282524475,9.936005592346191,15.238936710357672,16.70783805847168,20.35559085845947,0.07795234769582748,24.71977996826172,8.472432352338165,8.464378750650212,14.42136879526079,16.311628681235014,20.327005729917797,-9.483436107635498,24.718051973730326
NORM_ONLY,NEW_CHAIN_CPU_REDUCTION,8,ENTRY,ACCEPTED_OLD,NS,5790,7000,82.71428571428571,700,0,1305,7000,114,1305,1405,7100,9,9.652156887175924,9.579243659973145,14.4859450340271,15.885267257690426,18.519820251464846,5.173549288883805e-05,24.197246551513672,5.218525849401435,4.8325841426849365,10.364797687530519,11.997143363952633,14.99498462677002,0.0004359725280664861,22.75481414794922,4.433631037774488,4.309339534491301,10.528517571091655,12.147879290580748,15.56620438247919,-21.443418265727814,19.80361856520176
NORM_ONLY,NEW_CHAIN_CPU_REDUCTION,8,RAW,CURRENT,RS,100,100,100.0,100,0,100,100,100,0,102,102,100,0.0017596403337665834,0.001039679569657892,0.004193642828613521,0.0065476465038955215,0.007557670157402778,8.439661905867979e-05,0.012272322550415993,14.832656216621398,14.409318447113037,19.497503089904786,20.741437053680418,24.867549057006837,6.65233850479126,25.39202880859375,14.830896576287632,14.408578687885893,19.496134239435197,20.741221082144694,24.86733113476352,6.650392519659363,25.391418404935393
NORM_ONLY,NEW_CHAIN_CPU_REDUCTION,8,RAW,CURRENT,PS,197,200,98.5,100,0,132,200,132,1,136,204,48,1.5795823910589752,0.34937889873981476,5.2862267017364495,7.070151567459106,8.472732582092263,7.30726242181845e-05,15.823661804199219,10.380917340219021,10.42894172668457,15.230344295501707,16.21116371154785,17.312288398742673,0.7931196093559265,18.405113220214844,8.801334949160045,8.869372287299484,14.487624676525591,16.03097405042499,17.309547414528204,-6.328324615955353,18.364845424890518
NORM_ONLY,NEW_CHAIN_CPU_REDUCTION,8,RAW,CURRENT,NS,834,1000,83.4,100,0,207,1000,18,207,207,1000,1,9.335032800431247,9.284666061401367,14.460108089447022,15.697268342971801,17.777228546142577,0.000542493537068367,21.1497745513916,5.042738108322024,4.4197916984558105,10.510884857177736,11.906745290756222,13.68988348007202,0.003828934393823147,16.966651916503906,4.292294692109222,4.087127149105072,10.462878355383873,12.006514543294905,14.670366259813308,-12.690922021865845,16.952375933527946
NORM_ONLY,NEW_CHAIN_CPU_REDUCTION,8,RAW,ACCEPTED_OLD,RS,699,700,99.85714285714286,700,0,698,700,698,0,710,712,698,0.019735847155258984,0.001183464890345931,0.004775333357974889,0.007157352287322283,0.09263824075460422,2.777537883957848e-05,4.18243408203125,14.578870931693485,14.522637844085693,19.796507835388184,21.863470172882074,25.31956651687622,2.5376737117767334,26.390840530395508,14.559135084538227,14.521709089764045,19.794351643510165,21.861277794226766,25.31892986924824,-1.4268884658813477,26.39015769434627
NORM_ONLY,NEW_CHAIN_CPU_REDUCTION,8,RAW,ACCEPTED_OLD,PS,1355,1400,96.78571428571429,700,0,920,1400,920,9,943,1424,344,1.6013846430565537,0.33435823023319244,5.156586408615114,7.042482686042786,10.010193586349482,4.279521817807108e-05,12.870340347290039,10.077727692877607,9.872737884521484,15.277443599700929,16.699713611602782,20.302304611206054,0.06745056062936783,24.64312171936035,8.476343049821054,8.451390624046326,14.310980016738176,16.24638158599846,20.270702692326157,-9.40294885635376,24.622917970642447
NORM_ONLY,NEW_CHAIN_CPU_REDUCTION,8,RAW,ACCEPTED_OLD,NS,5756,7000,82.22857142857143,700,0,1282,7000,123,1282,1382,7100,10,9.588897939909879,9.514920711517334,14.378212928771974,15.799473142623894,18.434096775054943,5.936446541454643e-05,24.431028366088867,5.24609922370231,4.85542106628418,10.492598915100098,12.101662635803212,14.913035717010498,0.00034731553751043975,22.26756477355957,4.342798716207569,4.278470993041992,10.402704906463622,12.015869379043568,15.28568351686003,-21.154954673620523,19.833393935114145
