cohort,arm,metric,scope,denominator,before_num,after_num,delta_pp,retained,lost,gained,both_failed,W0_success_den,W0_success_to_failure_num,W0_failure_den,W0_failure_to_success_num,new_NLL_paired_delta_mean,new_NLL_paired_delta_median,new_NLL_decreased,new_NLL_increased,new_NLL_equal,true_NLL_paired_delta_mean,true_NLL_paired_delta_median,true_NLL_decreased,true_NLL_increased,true_NLL_equal
37,AlphaEdit_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,6,99,93.0,6,0,93,1,6,0,94,93,-10.036625868508127,-10.294958741855226,99,1,0,8.012048965822906,8.418454647064209,2,98,0
38,AlphaEdit_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,11,97,86.0,10,1,87,2,11,1,89,87,-10.225365880057579,-9.946914922191354,98,2,0,7.774976544305682,7.985793113708496,7,93,0
39,AlphaEdit_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,11,100,89.0,11,0,89,0,11,0,89,89,-10.350899734021368,-10.518090299330652,100,0,0,8.348063999935984,7.878503084182739,5,95,0
40,AlphaEdit_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,11,99,88.0,10,1,89,0,11,1,89,89,-10.06960626291213,-10.11606934198062,98,2,0,7.695528755080304,7.186105068773031,5,95,0
41,AlphaEdit_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,8,99,91.0,8,0,91,1,8,0,92,91,-10.065389326291697,-9.937283241684781,98,2,0,8.311389888767152,8.594501256942749,4,96,0
42,AlphaEdit_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,8,97,89.0,8,0,89,3,8,0,92,89,-10.367059009682416,-10.692690839059651,99,1,0,7.376318420451135,8.163059949874878,9,91,0
43,AlphaEdit_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,9,98,89.0,9,0,89,2,9,0,91,89,-9.888807735038135,-10.363525312161073,97,3,0,8.09620632365346,7.74270486831665,4,96,0
44,AlphaEdit_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,7,100,93.0,7,0,93,0,7,0,93,93,-10.773322757818097,-10.660579571558628,100,0,0,8.181475852802397,8.31751012802124,8,92,0
45,AlphaEdit_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,7,98,91.0,7,0,91,2,7,0,93,91,-10.628839807689147,-10.650361064821482,100,0,0,7.829162004538812,7.601635694503784,9,91,0
46,AlphaEdit_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,8,100,92.0,8,0,92,0,8,0,92,92,-10.510172354121387,-10.284636420197785,99,1,0,7.615128787644207,7.32900333404541,6,94,0
47,AlphaEdit_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,5,99,94.0,5,0,94,1,5,0,95,94,-10.99302968996737,-10.646221381844953,99,1,0,8.813651869818568,8.580406367778778,2,98,0
48,AlphaEdit_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,13,98,85.0,13,0,85,2,13,0,87,85,-11.368775847738544,-10.649418751243502,99,1,0,7.893140484824544,8.630085706710815,8,92,0
49,AlphaEdit_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,12,100,88.0,12,0,88,0,12,0,88,88,-10.533420393385605,-10.57683099154383,100,0,0,7.48062608206179,7.934498310089111,7,93,0
50,AlphaEdit_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,6,100,94.0,6,0,94,0,6,0,94,94,-10.293522582956502,-10.385651162068825,99,1,0,7.934397826067871,8.423609435558319,7,93,0
51,AlphaEdit_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,12,100,88.0,12,0,88,0,12,0,88,88,-11.083183595241572,-11.079928254708648,100,0,0,8.700967018865049,9.097006976604462,3,97,0
52,AlphaEdit_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,6,100,94.0,6,0,94,0,6,0,94,94,-10.327422800856585,-10.162845969898626,100,0,0,7.229345906656236,7.3405163288116455,10,90,0
53,AlphaEdit_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,6,100,94.0,6,0,94,0,6,0,94,94,-11.15978326829395,-11.233072291011922,99,1,0,8.363798371488228,8.568174481391907,4,96,0
54,AlphaEdit_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,10,99,89.0,10,0,89,1,10,0,90,89,-10.556344237193207,-10.732748726382852,98,2,0,8.942938205073588,8.671573758125305,1,99,0
55,AlphaEdit_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,9,98,89.0,8,1,90,1,9,1,91,90,-10.87097788334344,-10.788648656161968,98,2,0,9.358843398438767,9.324546739459038,3,97,0
56,AlphaEdit_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,10,98,88.0,10,0,88,2,10,0,90,88,-10.00823193020071,-10.164964026014786,99,1,0,7.59350669221254,7.23197865486145,5,95,0
57,AlphaEdit_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,10,99,89.0,10,0,89,1,10,0,90,89,-11.142675091011624,-11.29872332047671,100,0,0,7.957062538936734,8.232390880584717,5,95,0
58,AlphaEdit_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,6,100,94.0,6,0,94,0,6,0,94,94,-10.947398270255944,-11.15309145115316,100,0,0,8.222022939892486,8.481423020362854,6,94,0
59,AlphaEdit_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,9,99,90.0,9,0,90,1,9,0,91,90,-10.081711457193451,-10.422825473127887,98,2,0,8.64940029129386,8.616037271916866,4,96,0
60,AlphaEdit_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,9,99,90.0,9,0,90,1,9,0,91,90,-10.390508313562023,-10.602533014898654,98,2,0,7.841500983564183,8.361353814601898,6,94,0
61,AlphaEdit_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,11,100,89.0,11,0,89,0,11,0,89,89,-10.208742373206478,-10.240350918727927,99,1,0,8.9556789117679,10.36514949798584,7,93,0
62,AlphaEdit_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,7,100,93.0,7,0,93,0,7,0,93,93,-10.750463840453886,-10.508584013674408,99,1,0,8.687533671064303,8.765505731105804,5,95,0
63,AlphaEdit_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,3,100,97.0,3,0,97,0,3,0,97,97,-10.379677437866812,-10.186027814634144,99,1,0,9.126173511603847,9.304793894290924,5,95,0
64,AlphaEdit_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,7,100,93.0,7,0,93,0,7,0,93,93,-10.635977747116703,-10.559304300928488,100,0,0,8.867824841691181,8.639832019805908,6,94,0
65,AlphaEdit_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,7,100,93.0,7,0,93,0,7,0,93,93,-10.869627278274566,-11.174050724250264,99,1,0,9.576604554466904,9.432007551193237,2,98,0
66,AlphaEdit_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,9,100,91.0,9,0,91,0,9,0,91,91,-10.741036075006923,-11.04913774569286,99,1,0,8.759815491968766,8.90851903706789,5,95,0
67,AlphaEdit_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,4,100,96.0,4,0,96,0,4,0,96,96,-11.221524158035681,-11.470045291120186,99,1,0,8.710185965094716,8.983090043067932,1,99,0
68,AlphaEdit_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,12,100,88.0,12,0,88,0,12,0,88,88,-10.381314084796031,-10.37027478919481,100,0,0,8.50909638332203,8.987732410430908,8,92,0
69,AlphaEdit_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,2,99,97.0,2,0,97,1,2,0,98,97,-10.59478944409333,-10.834576246677898,99,1,0,10.029248537281529,9.922159850597382,3,97,0
70,AlphaEdit_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,4,100,96.0,4,0,96,0,4,0,96,96,-10.456271308222677,-10.196556416107342,100,0,0,8.733989264871925,8.256113786250353,1,99,0
71,AlphaEdit_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,9,100,91.0,9,0,91,0,9,0,91,91,-10.654032898001534,-10.210388857347425,100,0,0,8.39227079556993,8.668991271406412,6,94,0
72,AlphaEdit_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,9,99,90.0,9,0,90,1,9,0,91,90,-10.798600186467446,-11.073796661163215,99,1,0,8.606448585856706,9.123057126998901,5,95,0
73,AlphaEdit_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,8,99,91.0,8,0,91,1,8,0,92,91,-11.111564925661698,-11.24999765609391,99,1,0,9.31629196723923,9.728051573038101,4,96,0
74,AlphaEdit_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,9,97,88.0,8,1,89,2,9,1,91,89,-10.467319238704713,-10.795508130133385,99,1,0,9.690745891529078,10.377569362521172,3,97,0
75,AlphaEdit_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,4,100,96.0,4,0,96,0,4,0,96,96,-10.81427333405096,-10.862057284801267,100,0,0,8.845079919490964,8.770442515611649,4,96,0
76,AlphaEdit_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,5,100,95.0,5,0,95,0,5,0,95,95,-10.705127387448956,-10.748077892814763,100,0,0,9.876478634811939,9.89900803565979,2,98,0
77,AlphaEdit_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,8,99,91.0,8,0,91,1,8,0,92,91,-11.479347216664973,-11.611689251614735,100,0,0,8.977816821183078,9.29237174987793,2,98,0
78,AlphaEdit_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,9,100,91.0,9,0,91,0,9,0,91,91,-10.4902301425732,-10.331316402880475,100,0,0,8.862418261915446,8.624815702438354,7,93,0
79,AlphaEdit_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,4,100,96.0,4,0,96,0,4,0,96,96,-10.827634971395037,-10.973454975523055,100,0,0,9.097622664496303,9.498978614807129,2,98,0
80,AlphaEdit_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,9,100,91.0,9,0,91,0,9,0,91,91,-10.664020753046497,-10.601702746236697,100,0,0,9.072227507759816,10.100639581680298,6,94,0
81,AlphaEdit_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,10,100,90.0,10,0,90,0,10,0,90,90,-10.361248998693554,-10.052296692505479,99,1,0,9.250794842343312,9.3084214925766,4,96,0
82,AlphaEdit_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,3,100,97.0,3,0,97,0,3,0,97,97,-11.423577292025156,-11.254356289602583,100,0,0,9.56769725526683,9.466596961021423,3,97,0
83,AlphaEdit_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,6,100,94.0,6,0,94,0,6,0,94,94,-11.287871127775087,-11.205686251458246,100,0,0,9.344310339828953,9.906897187232971,4,96,0
84,AlphaEdit_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,8,100,92.0,8,0,92,0,8,0,92,92,-11.023371951346489,-11.073182503925636,100,0,0,9.30982814501971,10.028066158294678,3,97,0
85,AlphaEdit_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,5,100,95.0,5,0,95,0,5,0,95,95,-10.569486531407748,-10.202710451325402,100,0,0,9.65838966130279,10.00654661655426,5,95,0
86,AlphaEdit_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,5,99,94.0,5,0,94,1,5,0,95,94,-10.688099686571041,-10.975411966996035,99,1,0,9.197671557553113,9.621053099632263,4,96,0
87,AlphaEdit_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,6,100,94.0,6,0,94,0,6,0,94,94,-10.965451779087998,-10.835474485473242,100,0,0,9.53960648695007,9.90617823600769,3,97,0
88,AlphaEdit_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,5,100,95.0,5,0,95,0,5,0,95,95,-11.822294807229845,-11.45655202083799,100,0,0,9.521784781264142,10.058229684829712,5,95,0
89,AlphaEdit_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,11,100,89.0,11,0,89,0,11,0,89,89,-10.775638543401946,-10.662007093895227,100,0,0,9.657325612196582,8.943263936787844,5,95,0
90,AlphaEdit_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,5,100,95.0,5,0,95,0,5,0,95,95,-10.78052327612239,-10.980801248748321,99,1,0,9.431352884387598,9.537970572710037,2,98,0
91,AlphaEdit_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,6,100,94.0,6,0,94,0,6,0,94,94,-10.964820721375508,-11.130776877165772,100,0,0,9.765802224176005,10.452185787260532,2,98,0
92,AlphaEdit_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,4,100,96.0,4,0,96,0,4,0,96,96,-10.842217932071616,-10.81076120043872,100,0,0,10.087906096270308,10.770228147506714,3,97,0
93,AlphaEdit_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,7,100,93.0,7,0,93,0,7,0,93,93,-10.760119093215144,-10.751303175929934,100,0,0,8.906863526813686,9.479800172150135,4,96,0
94,AlphaEdit_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,5,100,95.0,5,0,95,0,5,0,95,95,-10.83655126938058,-10.644950484391302,100,0,0,9.410652743298561,9.962878704071045,3,97,0
95,AlphaEdit_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,6,99,93.0,6,0,93,1,6,0,94,93,-10.994173919141067,-10.929802162223496,99,1,0,9.89888082653284,10.473559260368347,3,97,0
96,AlphaEdit_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,5,100,95.0,5,0,95,0,5,0,95,95,-10.072306387640564,-9.999232436413877,100,0,0,9.987489688147326,10.033205419778824,0,100,0
97,AlphaEdit_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,10,100,90.0,10,0,90,0,10,0,90,90,-11.028566488525975,-11.009489892749116,100,0,0,9.624835259998218,9.456697940826416,4,96,0
98,AlphaEdit_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,10,100,90.0,10,0,90,0,10,0,90,90,-10.759576972486975,-10.627188107697293,100,0,0,9.488921751119197,9.85055011510849,4,96,0
99,AlphaEdit_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,8,100,92.0,8,0,92,0,8,0,92,92,-11.647291020842312,-10.960834485187661,100,0,0,9.802725715711713,10.059870719909668,2,98,0
100,AlphaEdit_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,11,100,89.0,11,0,89,0,11,0,89,89,-10.208996700990564,-9.85866077709943,100,0,0,10.095705067021772,10.203918695449829,2,98,0
1,AlphaEdit_ORIGINAL,PS,FINAL_W100_FIXED_B100_COHORT,200,20,185,82.5,18,2,167,13,20,2,180,167,-7.620916064562625,-7.719148561358452,191,9,0,3.8918650827836245,3.543309211730957,39,161,0
2,AlphaEdit_ORIGINAL,PS,FINAL_W100_FIXED_B100_COHORT,200,26,185,79.5,25,1,160,14,26,1,174,160,-8.227602981299277,-8.102219114545733,197,3,0,3.7091228319401854,3.3408071398735046,37,163,0
3,AlphaEdit_ORIGINAL,PS,FINAL_W100_FIXED_B100_COHORT,200,15,184,84.5,15,0,169,16,15,0,185,169,-8.114683571909882,-8.254681518301368,194,6,0,3.8315987213002516,3.7479074001312256,37,163,0
4,AlphaEdit_ORIGINAL,PS,FINAL_W100_FIXED_B100_COHORT,200,31,183,76.0,30,1,153,16,31,1,169,153,-7.4467108050658135,-7.511258624494076,193,7,0,4.443206613096408,4.09857177734375,27,173,0
5,AlphaEdit_ORIGINAL,PS,FINAL_W100_FIXED_B100_COHORT,200,20,185,82.5,20,0,165,15,20,0,180,165,-7.525434753132868,-7.536231279373169,197,3,0,4.2416469278093425,4.568841755390167,30,170,0
6,AlphaEdit_ORIGINAL,PS,FINAL_W100_FIXED_B100_COHORT,200,29,189,80.0,28,1,161,10,29,1,171,161,-7.778940079206368,-8.354595575481653,191,9,0,3.3719135447219015,2.9288110733032227,40,160,0
7,AlphaEdit_ORIGINAL,PS,FINAL_W100_FIXED_B100_COHORT,200,19,189,85.0,18,1,171,10,19,1,181,171,-7.8793136808165585,-7.993045747280121,193,7,0,4.960427296087146,4.676873803138733,20,180,0
8,AlphaEdit_ORIGINAL,PS,FINAL_W100_FIXED_B100_COHORT,200,20,189,84.5,19,1,170,10,20,1,180,170,-7.682712304681773,-7.887621879577637,196,4,0,4.306640076320618,4.1043641567230225,34,166,0
9,AlphaEdit_ORIGINAL,PS,FINAL_W100_FIXED_B100_COHORT,200,22,184,81.0,20,2,164,14,22,2,178,164,-7.887592687715296,-8.385626185685396,184,16,0,4.710056953083549,4.531081676483154,30,170,0
10,AlphaEdit_ORIGINAL,PS,FINAL_W100_FIXED_B100_COHORT,200,25,180,77.5,24,1,156,19,25,1,175,156,-7.820826665125205,-7.879676701501012,196,4,0,3.954798404276371,4.340098142623901,37,163,0
11,AlphaEdit_ORIGINAL,PS,FINAL_W100_FIXED_B100_COHORT,200,22,184,81.0,17,5,167,11,22,5,178,167,-7.322961159904371,-7.864753369241953,192,8,0,4.829008125849068,4.51212078332901,27,173,0
12,AlphaEdit_ORIGINAL,PS,FINAL_W100_FIXED_B100_COHORT,200,27,185,79.0,27,0,158,15,27,0,173,158,-8.17750913426753,-8.238376662135124,193,7,0,4.352220843201503,3.869983673095703,29,171,0
13,AlphaEdit_ORIGINAL,PS,FINAL_W100_FIXED_B100_COHORT,200,23,189,83.0,23,0,166,11,23,0,177,166,-8.348642411114998,-8.38638435676694,197,3,0,4.96149985190481,4.733554720878601,21,179,0
14,AlphaEdit_ORIGINAL,PS,FINAL_W100_FIXED_B100_COHORT,200,21,184,81.5,19,2,165,14,21,2,179,165,-7.315346798863466,-7.325690746307373,193,7,0,4.348034099051729,4.213622733950615,33,167,0
15,AlphaEdit_ORIGINAL,PS,FINAL_W100_FIXED_B100_COHORT,200,19,192,86.5,19,0,173,8,19,0,181,173,-8.374863858498866,-8.48726618103683,199,1,0,4.650191345736385,4.395549774169922,25,175,0
16,AlphaEdit_ORIGINAL,PS,FINAL_W100_FIXED_B100_COHORT,200,19,191,86.0,17,2,174,7,19,2,181,174,-7.567252705159044,-7.679610083345324,196,4,0,4.68609770023264,5.111120760440826,31,169,0
17,AlphaEdit_ORIGINAL,PS,FINAL_W100_FIXED_B100_COHORT,200,23,193,85.0,21,2,172,5,23,2,177,172,-7.550330888933095,-7.479188650846481,193,7,0,4.765952592575923,4.349169015884399,31,169,0
18,AlphaEdit_ORIGINAL,PS,FINAL_W100_FIXED_B100_COHORT,200,17,192,87.5,15,2,177,6,17,2,183,177,-8.411384425058495,-8.237293858081102,198,2,0,4.612374172825366,4.448101997375488,31,169,0
19,AlphaEdit_ORIGINAL,PS,FINAL_W100_FIXED_B100_COHORT,200,23,188,82.5,22,1,166,11,23,1,177,166,-8.348712098464311,-8.584233731031418,191,9,0,4.829514523535035,4.840257465839386,26,174,0
20,AlphaEdit_ORIGINAL,PS,FINAL_W100_FIXED_B100_COHORT,200,17,189,86.0,17,0,172,11,17,0,183,172,-8.197960626524436,-8.477303612977266,196,4,0,5.274066749159247,5.179192900657654,22,178,0
21,AlphaEdit_ORIGINAL,PS,FINAL_W100_FIXED_B100_COHORT,200,27,189,81.0,27,0,162,11,27,0,173,162,-8.04689939605014,-8.06487937271595,196,4,0,4.383111910708249,4.470855951309204,27,173,0
22,AlphaEdit_ORIGINAL,PS,FINAL_W100_FIXED_B100_COHORT,200,21,192,85.5,21,0,171,8,21,0,179,171,-8.155392944098567,-8.284412472043186,197,3,0,4.659279185142368,4.69265079498291,24,176,0
23,AlphaEdit_ORIGINAL,PS,FINAL_W100_FIXED_B100_COHORT,200,21,192,85.5,21,0,171,8,21,0,179,171,-9.216081249163107,-9.629236578941345,198,2,0,4.176151647800579,3.854513645172119,40,160,0
24,AlphaEdit_ORIGINAL,PS,FINAL_W100_FIXED_B100_COHORT,200,23,185,81.0,23,0,162,15,23,0,177,162,-7.87409888597671,-8.105621142778546,197,3,0,4.07947825894691,4.032673239707947,40,160,0
25,AlphaEdit_ORIGINAL,PS,FINAL_W100_FIXED_B100_COHORT,200,16,198,91.0,16,0,182,2,16,0,184,182,-8.228444202100217,-8.39715513586998,199,1,0,5.250891114799305,4.793692469596863,29,171,0
26,AlphaEdit_ORIGINAL,PS,FINAL_W100_FIXED_B100_COHORT,200,25,186,80.5,24,1,162,13,25,1,175,162,-7.828886011791765,-7.889096047729254,196,4,0,5.257171939916443,5.339487075805664,31,169,0
27,AlphaEdit_ORIGINAL,PS,FINAL_W100_FIXED_B100_COHORT,200,19,190,85.5,18,1,172,9,19,1,181,172,-8.525027731260343,-8.250369131565094,197,3,0,5.034014450069517,5.140900611877441,26,174,0
28,AlphaEdit_ORIGINAL,PS,FINAL_W100_FIXED_B100_COHORT,200,24,189,82.5,23,1,166,10,24,1,176,166,-7.851795672982116,-8.039795283228159,194,6,0,5.163451003739611,5.18281164765358,27,173,0
29,AlphaEdit_ORIGINAL,PS,FINAL_W100_FIXED_B100_COHORT,200,14,187,86.5,14,0,173,13,14,0,186,173,-8.34359250437148,-8.3691928088665,199,1,0,5.001500201532617,4.632978916168213,29,171,0
30,AlphaEdit_ORIGINAL,PS,FINAL_W100_FIXED_B100_COHORT,200,22,183,80.5,22,0,161,17,22,0,178,161,-7.8342793785547835,-8.173172235488892,194,6,0,4.088958211075514,3.9478864669799805,35,165,0
31,AlphaEdit_ORIGINAL,PS,FINAL_W100_FIXED_B100_COHORT,200,13,193,90.0,12,1,181,6,13,1,187,181,-7.9778539063964855,-7.878894925117493,198,2,0,4.469233270157129,4.15831833332777,33,167,0
32,AlphaEdit_ORIGINAL,PS,FINAL_W100_FIXED_B100_COHORT,200,16,192,88.0,16,0,176,8,16,0,184,176,-8.509938444669606,-8.604294117540121,198,2,0,5.29372457806021,5.87297523021698,30,170,0
33,AlphaEdit_ORIGINAL,PS,FINAL_W100_FIXED_B100_COHORT,200,20,193,86.5,20,0,173,7,20,0,180,173,-8.647766887932667,-8.68752172589302,199,1,0,5.302358532845974,5.425045371055603,28,172,0
34,AlphaEdit_ORIGINAL,PS,FINAL_W100_FIXED_B100_COHORT,200,17,190,86.5,16,1,174,9,17,1,183,174,-8.411868749330898,-8.409666327293962,198,2,0,5.211465516611934,5.171442270278931,32,168,0
35,AlphaEdit_ORIGINAL,PS,FINAL_W100_FIXED_B100_COHORT,200,27,191,82.0,27,0,164,9,27,0,173,164,-7.6220639375041355,-7.96803306043148,197,3,0,4.980822292324156,5.142847776412964,32,168,0
36,AlphaEdit_ORIGINAL,PS,FINAL_W100_FIXED_B100_COHORT,200,21,191,85.0,19,2,172,7,21,2,179,172,-8.32095867488897,-8.271385166677646,196,4,0,5.485934122120962,5.105846405029297,26,174,0
37,AlphaEdit_ORIGINAL,PS,FINAL_W100_FIXED_B100_COHORT,200,15,196,90.5,15,0,181,4,15,0,185,181,-8.38854025646753,-8.229049950838089,197,3,0,5.237889061407186,5.209412336349487,20,180,0
38,AlphaEdit_ORIGINAL,PS,FINAL_W100_FIXED_B100_COHORT,200,19,186,83.5,18,1,168,13,19,1,181,168,-8.38620223474085,-8.512407183647156,196,4,0,4.728006787123158,4.464527457952499,28,172,0
39,AlphaEdit_ORIGINAL,PS,FINAL_W100_FIXED_B100_COHORT,200,28,197,84.5,28,0,169,3,28,0,172,169,-8.167962452094944,-8.060224663000554,196,4,0,4.7221917254664,4.312756299972534,37,163,0
40,AlphaEdit_ORIGINAL,PS,FINAL_W100_FIXED_B100_COHORT,200,26,191,82.5,24,2,167,7,26,2,174,167,-8.105336236998992,-8.21604573726654,190,10,0,4.521280203489587,4.695501685142517,31,169,0
41,AlphaEdit_ORIGINAL,PS,FINAL_W100_FIXED_B100_COHORT,200,21,193,86.0,19,2,174,5,21,2,179,174,-8.270994189461199,-8.59303644229658,194,6,0,5.726440420546569,5.230516672134399,26,174,0
42,AlphaEdit_ORIGINAL,PS,FINAL_W100_FIXED_B100_COHORT,200,22,181,79.5,22,0,159,19,22,0,178,159,-8.181911697091419,-8.278327740728855,197,3,0,4.541727972195949,4.142407413339242,25,175,0
43,AlphaEdit_ORIGINAL,PS,FINAL_W100_FIXED_B100_COHORT,200,28,195,83.5,28,0,167,5,28,0,172,167,-8.009711153838435,-8.365587532520294,195,5,0,5.214758925326168,5.641505926847458,31,169,0
44,AlphaEdit_ORIGINAL,PS,FINAL_W100_FIXED_B100_COHORT,200,16,195,89.5,16,0,179,5,16,0,184,179,-8.93038312138,-9.114261388778687,198,2,0,5.280485628927127,5.692664384841919,31,169,0
45,AlphaEdit_ORIGINAL,PS,FINAL_W100_FIXED_B100_COHORT,200,14,185,85.5,12,2,173,13,14,2,186,173,-8.288729404096376,-8.018920063972473,197,3,0,4.512319485899061,4.202450275421143,36,164,0
46,AlphaEdit_ORIGINAL,PS,FINAL_W100_FIXED_B100_COHORT,200,22,186,82.0,22,0,164,14,22,0,178,164,-7.979096001830767,-8.258357763290405,196,4,0,4.713215212682262,4.57034969329834,30,170,0
47,AlphaEdit_ORIGINAL,PS,FINAL_W100_FIXED_B100_COHORT,200,15,195,90.0,15,0,180,5,15,0,185,180,-8.675928558707238,-8.957935512065887,199,1,0,5.383079837514088,5.122169137001038,26,174,0
48,AlphaEdit_ORIGINAL,PS,FINAL_W100_FIXED_B100_COHORT,200,23,192,84.5,21,2,171,6,23,2,177,171,-8.523712639911027,-8.701904773712158,193,7,0,5.3456069313501935,5.318742156028748,23,177,0
49,AlphaEdit_ORIGINAL,PS,FINAL_W100_FIXED_B100_COHORT,200,22,194,86.0,22,0,172,6,22,0,178,172,-8.141662648041239,-7.9668148458004,199,1,0,4.916050632293336,5.033639550209045,24,176,0
50,AlphaEdit_ORIGINAL,PS,FINAL_W100_FIXED_B100_COHORT,200,17,189,86.0,16,1,173,10,17,1,183,173,-8.127692309041741,-7.843669829890132,197,3,0,4.956674902115483,4.805808991193771,27,173,0
51,AlphaEdit_ORIGINAL,PS,FINAL_W100_FIXED_B100_COHORT,200,23,196,86.5,23,0,173,4,23,0,177,173,-8.815021522188326,-9.067396023776382,197,3,0,5.742751328675077,5.388269245624542,25,175,0
52,AlphaEdit_ORIGINAL,PS,FINAL_W100_FIXED_B100_COHORT,200,12,191,89.5,12,0,179,9,12,0,188,179,-7.966245144634159,-8.244990170001984,200,0,0,4.574924849327654,4.088594913482666,25,175,0
53,AlphaEdit_ORIGINAL,PS,FINAL_W100_FIXED_B100_COHORT,200,21,190,84.5,21,0,169,10,21,0,179,169,-8.541056380429072,-8.984308317303658,196,4,0,4.808677245089784,4.799849629402161,40,160,0
54,AlphaEdit_ORIGINAL,PS,FINAL_W100_FIXED_B100_COHORT,200,25,192,83.5,25,0,167,8,25,0,175,167,-8.101396122449078,-8.263805471360683,195,5,0,5.437182825990021,5.042883634567261,18,182,0
55,AlphaEdit_ORIGINAL,PS,FINAL_W100_FIXED_B100_COHORT,200,21,192,85.5,19,2,173,6,21,2,179,173,-8.899066940972407,-9.05677572824061,195,5,0,5.115092845619656,5.191787004470825,28,172,0
56,AlphaEdit_ORIGINAL,PS,FINAL_W100_FIXED_B100_COHORT,200,27,187,80.0,27,0,160,13,27,0,173,160,-7.975042059071274,-8.207960079540499,193,7,0,5.127992280013859,5.2066264152526855,31,169,0
