comparison,metric,paired_n,n,sum,mean,median,p25,p75,iqr,p90,max,min,paired_mean_bootstrap95_low,paired_mean_bootstrap95_high,uncertainty_unit,uncertainty_cluster_n,bootstrap_seed,bootstrap_resamples
qwen2.5-7b-inst:alphaedit-minus-memit:functional-10000:current:locality_target_true,nll_mean,100,100,-540.1470109462737,-5.401470109462736,-4.3707217454910285,-7.2214472889900225,-2.453696823120116,4.767750465869907,-1.4666359519958463,3.069836139678957,-20.931204891204835,-6.298018530303239,-4.560121734690666,PAIRED_REQUEST_HASH,100,15933340341065353163,2000
qwen2.5-7b-inst:alphaedit-minus-memit:functional-10000:current:locality_target_true,margin_mean,100,100,710.1437741279601,7.101437741279601,5.873961305618287,3.955094659328461,9.48519947528839,5.530104815959929,13.417347526550307,23.28965320587158,-2.773542976379396,6.1315359354138375,8.120202214193345,PAIRED_REQUEST_HASH,100,411945547409657484,2000
qwen2.5-7b-inst:alphaedit-minus-memit:functional-10000:current:locality_target_true,strict_rate,100,100,0.3,0.003,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.009,PAIRED_REQUEST_HASH,100,10210798851046240372,2000
alphaedit:llama-minus-qwen:functional-10000:current:locality_target_true,nll_mean,100,100,-168.90282888412474,-1.6890282888412473,-1.5739824056625364,-3.4195585757493987,-0.027143943309783758,3.392414632439615,0.9129773306846627,5.117140007019044,-7.9167185068130514,-2.1388459744066,-1.2365276133209466,PAIRED_REQUEST_HASH,100,10133043472246971029,2000
alphaedit:llama-minus-qwen:functional-10000:current:locality_target_true,margin_mean,100,100,78.74623107910156,0.7874623107910156,0.7256437540054317,-0.9806903362274171,2.3372435808181766,3.3179339170455937,4.261311178207398,6.722600936889648,-6.8005280017852785,0.26711694428920757,1.2919567332148552,PAIRED_REQUEST_HASH,100,9407925693772016883,2000
alphaedit:llama-minus-qwen:functional-10000:current:locality_target_true,strict_rate,100,100,0.6000000000000001,0.006000000000000001,0.0,0.0,0.0,0.0,0.0,0.2,-0.3,-0.002999999999999999,0.015,PAIRED_REQUEST_HASH,100,16488902209129041361,2000
memit:llama-minus-qwen:functional-10000:current:locality_target_true,nll_mean,100,100,-505.6204075038433,-5.056204075038433,-4.583055305480958,-8.127382421493529,-1.197317743301392,6.930064678192137,0.5127312278747556,6.232784938812257,-26.363111126422883,-6.184780307184161,-3.9845783183977,PAIRED_REQUEST_HASH,100,1796869372731032912,2000
memit:llama-minus-qwen:functional-10000:current:locality_target_true,margin_mean,100,100,556.6192616462707,5.566192616462708,4.91974823474884,0.914819014072418,9.114713835716246,8.199894821643829,13.836728749275208,27.57950348854065,-6.582764530181887,4.4159735379338265,6.768616117942333,PAIRED_REQUEST_HASH,100,4000076496903122880,2000
memit:llama-minus-qwen:functional-10000:current:locality_target_true,strict_rate,100,100,0.5,0.005,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.013999999999999999,PAIRED_REQUEST_HASH,100,9730374369328563036,2000
llama3-8b-inst:alphaedit-minus-memit:functional-10000:current:rephrase_target_new,nll_mean,100,100,-581.1244935045324,-5.811244935045324,-6.727137708105147,-9.173235474641842,-3.3859304145444185,5.787305060097424,0.9611634492874189,7.818150758743286,-14.944402292836457,-6.691182691756533,-4.882970451141479,PAIRED_REQUEST_HASH,100,1844612655105398279,2000
llama3-8b-inst:alphaedit-minus-memit:functional-10000:current:rephrase_target_new,margin_mean,100,100,669.675430059433,6.69675430059433,7.232384920120239,3.480996012687683,10.760940074920654,7.279944062232971,13.565367794036867,19.84395122528076,-8.934677124023438,5.5338326395154,7.855605562686919,PAIRED_REQUEST_HASH,100,17738130583227239807,2000
