source_table,model,method,accepted_edit_count,fork,layer,metric,availability,n,sum,mean,median,p25,p75,iqr,p90,max,min
checkpoint_weight,llama3-8b-inst,alphaedit,10000,ACCUMULATED_OR_STATIC,4,frobenius_squared_telemetry,RECORDED,1,483.2978877744454,483.2978877744454,483.2978877744454,483.2978877744454,483.2978877744454,0.0,483.2978877744454,483.2978877744454,483.2978877744454
checkpoint_weight,llama3-8b-inst,alphaedit,10000,ACCUMULATED_OR_STATIC,4,relative_update_magnitude,RECORDED,1,0.15978563336044443,0.15978563336044443,0.15978563336044443,0.15978563336044443,0.15978563336044443,0.0,0.15978563336044443,0.15978563336044443,0.15978563336044443
checkpoint_weight,llama3-8b-inst,alphaedit,10000,ACCUMULATED_OR_STATIC,4,update_magnitude_share,RECORDED,1,0.15946493071435516,0.15946493071435516,0.15946493071435516,0.15946493071435516,0.15946493071435516,0.0,0.15946493071435516,0.15946493071435516,0.15946493071435516
checkpoint_weight,llama3-8b-inst,alphaedit,10000,ACCUMULATED_OR_STATIC,5,frobenius_magnitude,RECORDED,1,26.98961220152684,26.98961220152684,26.98961220152684,26.98961220152684,26.98961220152684,0.0,26.98961220152684,26.98961220152684,26.98961220152684
checkpoint_weight,llama3-8b-inst,alphaedit,10000,ACCUMULATED_OR_STATIC,5,frobenius_squared_telemetry,RECORDED,1,728.4391667888063,728.4391667888063,728.4391667888063,728.4391667888063,728.4391667888063,0.0,728.4391667888063,728.4391667888063,728.4391667888063
checkpoint_weight,llama3-8b-inst,alphaedit,10000,ACCUMULATED_OR_STATIC,5,relative_update_magnitude,RECORDED,1,0.16875410095633742,0.16875410095633742,0.16875410095633742,0.16875410095633742,0.16875410095633742,0.0,0.16875410095633742,0.16875410095633742,0.16875410095633742
checkpoint_weight,llama3-8b-inst,alphaedit,10000,ACCUMULATED_OR_STATIC,5,update_magnitude_share,RECORDED,1,0.1957737160673332,0.1957737160673332,0.1957737160673332,0.1957737160673332,0.1957737160673332,0.0,0.1957737160673332,0.1957737160673332,0.1957737160673332
checkpoint_weight,llama3-8b-inst,alphaedit,10000,ACCUMULATED_OR_STATIC,6,frobenius_magnitude,RECORDED,1,21.94309776697801,21.94309776697801,21.94309776697801,21.94309776697801,21.94309776697801,0.0,21.94309776697801,21.94309776697801,21.94309776697801
checkpoint_weight,llama3-8b-inst,alphaedit,10000,ACCUMULATED_OR_STATIC,6,frobenius_squared_telemetry,RECORDED,1,481.4995396111554,481.4995396111554,481.4995396111554,481.4995396111554,481.4995396111554,0.0,481.4995396111554,481.4995396111554,481.4995396111554
checkpoint_weight,llama3-8b-inst,alphaedit,10000,ACCUMULATED_OR_STATIC,6,relative_update_magnitude,RECORDED,1,0.13881336835805427,0.13881336835805427,0.13881336835805427,0.13881336835805427,0.13881336835805427,0.0,0.13881336835805427,0.13881336835805427,0.13881336835805427
