comparison,batch,population,metric,denominator,before_num,after_num,delta_pp,retained,lost,gained,both_failed,conditional_loss_den,conditional_recovery_den,strict_lost,strict_gained,strict_before,strict_after,desired_NLL_harm_mean,desired_NLL_harm_median,desired_NLL_harm_p90,desired_NLL_harm_p95,desired_NLL_harm_p99,desired_NLL_harm_min,desired_NLL_harm_max,competing_NLL_change_mean,competing_NLL_change_median,competing_NLL_change_p90,competing_NLL_change_p95,competing_NLL_change_p99,competing_NLL_change_min,competing_NLL_change_max
RAW_TO_SELECTED,9,ACCEPTED_OLD,RS,800,798,798,0.0,798,0,0,2,798,2,0,0,797,797,-4.020895084977383e-07,0.0,1.1909287422895432e-07,2.3795291781425476e-07,1.0443478822708118e-06,-0.0002467632293701172,3.141164779663086e-05,-1.5249848365783692e-06,-4.76837158203125e-07,7.96794891357422e-05,0.00010881423950195304,0.00015833854675292966,-0.0003910064697265625,0.0003795623779296875
ENTRY_TO_RAW,9,CURRENT,PS,200,26,196,85.0,26,0,170,4,26,174,0,137,3,140,-7.8640224315601515,-7.949324629982584,-3.1198714077472687,-1.8983849763870244,-0.49646315269172214,-16.67001787573099,1.3192968368530273,6.110235240720212,5.745643734931946,12.070672318339348,14.329617656767358,17.369522336721417,-5.946819305419922,19.602779492735863
RAW_TO_SELECTED,9,CURRENT,PS,200,196,196,0.0,196,0,0,4,196,4,0,0,140,140,8.102090214379132e-06,1.1862721294164658e-06,0.00016583800315856932,0.0003176689147949218,0.0012899684906005854,-0.0018715858459472656,0.0015265941619873047,-0.00010844886302947998,-9.66787338256836e-05,0.000403022766113281,0.0008361816406249997,0.0013120174407958978,-0.0022230148315429688,0.0036859512329101562
RAW_TO_SELECTED,9,ACCEPTED_OLD,PS,1600,1553,1553,0.0,1553,0,0,47,1553,47,0,0,1066,1066,1.503291496192105e-06,2.9616057872772217e-07,3.8623809814453125e-05,6.485581398010253e-05,0.00014388680458068848,-0.0023093223571777344,0.0004992485046386719,-1.4250627718865872e-05,-9.5367431640625e-06,6.4849853515625e-05,9.5367431640625e-05,0.00019455909729003905,-0.0011539459228515625,0.0005550384521484375
ENTRY_TO_RAW,9,CURRENT,NS,1000,860,800,-6.0,796,64,4,136,860,140,44,5,246,207,0.2294247315521352,0.025304153561592102,0.8429341316223146,1.5633062228560448,5.610256040096281,-6.445662260055542,13.29872179031372,-0.6230153024806059,-0.17298460006713867,0.2673945426940918,0.42277708053588825,0.9727357292175288,-15.616705775260925,3.8153886795043945
RAW_TO_SELECTED,9,CURRENT,NS,1000,800,800,0.0,800,0,0,200,800,200,0,0,207,207,-7.634784560650587e-06,-1.7397105693817139e-06,7.894039154052735e-05,0.00011978149414062491,0.0002548360824584955,-0.0012004375457763672,0.0015287399291992188,2.0262137055397034e-05,1.1682510375976562e-05,0.00011835098266601565,0.000179290771484375,0.0003928565979003898,-0.000813603401184082,0.0020360946655273438
RAW_TO_SELECTED,9,ACCEPTED_OLD,NS,8000,6515,6515,0.0,6515,0,0,1485,6515,1485,0,0,1444,1444,-3.804387313721236e-06,-4.7264620661735535e-07,7.534027099609375e-05,0.00011303424835205043,0.00021840095520019552,-0.0020842552185058594,0.0014295578002929688,9.728365097544156e-06,6.198883056640625e-06,0.0001013517379760743,0.000148773193359375,0.00030615806579589906,-0.0006389617919921875,0.0011053085327148438
ENTRY_TO_RAW,10,CURRENT,RS,100,10,100,90.0,10,0,90,0,10,90,0,98,2,100,-9.567865349913518,-8.800434433447663,-4.685179051449448,-3.1787622187344824,-0.4674086052551852,-22.513535171747208,-0.2038437778246589,9.82100505658891,10.318983376026154,15.491408669948578,16.59866461753845,18.506097760200507,-3.0928401947021484,19.93363046646118
RAW_TO_SELECTED,10,CURRENT,RS,100,100,100,0.0,100,0,0,0,100,0,0,0,100,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RAW_TO_SELECTED,10,ACCEPTED_OLD,RS,900,898,898,0.0,898,0,0,2,898,2,0,0,896,896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENTRY_TO_RAW,10,CURRENT,PS,200,34,195,80.5,34,0,161,5,34,166,0,132,2,134,-7.591522729311546,-7.368252496235073,-3.269077718257905,-1.9025740475393844,-0.4359902553632878,-18.058617089875042,-0.1399693489074707,5.277462536467356,5.351501703262329,9.718367862701415,11.440413379116213,15.306760066598647,-11.789501905441284,17.501078724861145
RAW_TO_SELECTED,10,CURRENT,PS,200,195,195,0.0,195,0,0,5,195,5,0,0,134,134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RAW_TO_SELECTED,10,ACCEPTED_OLD,PS,1800,1747,1747,0.0,1747,0,0,53,1747,53,0,0,1207,1207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENTRY_TO_RAW,10,CURRENT,NS,1000,830,806,-2.4,804,26,2,168,830,170,18,15,200,197,0.07081757073802873,0.0042553069069981575,0.5562755107879639,1.0432793855667102,2.6849895906448364,-3.019885540008545,8.383163928985596,-0.30002116625383496,-0.1083076000213623,0.30289897918701175,0.4633668422698969,0.8675260400772092,-9.940648555755615,4.294264793395996
RAW_TO_SELECTED,10,CURRENT,NS,1000,806,806,0.0,806,0,0,194,806,194,0,0,197,197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RAW_TO_SELECTED,10,ACCEPTED_OLD,NS,9000,7250,7250,0.0,7250,0,0,1750,7250,1750,0,0,1623,1623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATWRITE_TO_W10,10,ALL_REQUESTED,RS,1000,1000,998,-0.2,998,2,0,0,1000,0,4,0,1000,996,0.02489302244652208,7.144946721382439e-06,0.0009199477615766233,0.0027586120122577913,0.024113750718533992,-0.045627936720848083,9.110596893820912,-0.11541101586818694,-1.9073486328125e-05,0.4790001869201661,0.7651252269744867,2.0048940086364735,-14.010174751281738,5.7999677658081055
W5_TO_W10_FIRST500,10,FIRST500,RS,500,500,499,-0.2,499,1,0,0,500,0,2,0,499,497,0.024574532871829435,4.68180951429531e-05,0.0015802270499989403,0.004098628775682292,0.04226752396672894,-0.014546077698469162,5.147213459014893,-0.11700675892829895,-0.057694435119628906,0.5734383583068853,0.8386170864105225,1.9363021278381345,-5.936945915222168,2.919086456298828
ATWRITE_TO_W10,10,ALL_REQUESTED,PS,2000,1936,1942,0.3,1928,8,14,50,1936,64,22,33,1330,1341,-0.04772722679319122,-2.3096799850463867e-07,0.16419281959533713,0.34698569625616066,0.8977912759780883,-6.175323009490967,4.601561725139618,-0.009480602957308293,0.0,0.5881901741027836,0.9453252792358398,2.3958406329154966,-6.674663543701172,5.346686363220215
W5_TO_W10_FIRST500,10,FIRST500,PS,1000,964,968,0.4,960,4,8,28,964,36,11,24,658,671,-0.04350356361030208,-0.0003687806020025164,0.20645782947540287,0.3865228176116943,0.9055672788619993,-2.546661376953125,4.892400443553925,-0.006713469348847866,-0.0260927677154541,0.6878025054931641,1.0213048934936522,2.356170018911361,-2.5473852157592773,3.534778356552124
ATWRITE_TO_W10,10,ALL_REQUESTED,NS,10000,8351,8056,-2.95,7931,420,125,1524,8351,1649,325,201,1944,1820,0.13383527997849742,0.0,1.10851469039917,2.149933347105979,5.955417551994344,-8.581903457641602,15.758182905614376,-0.5380798124399997,-0.18943500518798828,0.5799544334411625,1.03667480945587,2.5338346910476752,-15.727335914969444,12.50479507446289
W5_TO_W10_FIRST500,10,FIRST500,NS,5000,4202,4011,-3.82,3946,256,65,733,4202,798,198,113,928,843,0.23335827648434787,0.0007597445510327816,1.3669468879699709,2.484907364845278,6.9670423740149,-6.866995811462402,15.758182905614376,-0.5569369245231209,-0.3526761531829834,0.7227185726165771,1.2211285114288344,2.6519832372665437,-15.080609107390046,12.179228782653809
