batch,state,population,metric,numerator,denominator,percent,request_denominator,ties,desired_strict_n,desired_strict_d,new_strict_n,true_strict_n,desired_token_correct,desired_token_d,all_prompt_strict_requests,new_nll_mean,new_nll_median,new_nll_p90,new_nll_p95,new_nll_p99,new_nll_min,new_nll_max,true_nll_mean,true_nll_median,true_nll_p90,true_nll_p95,true_nll_p99,true_nll_min,true_nll_max,desired_margin_mean,desired_margin_median,desired_margin_p90,desired_margin_p95,desired_margin_p99,desired_margin_min,desired_margin_max
3,SELECTED,CURRENT,RS,100,100,100.0,100,0,100,100,100,0,102,102,100,0.001589285595327965,0.0010221736156381667,0.002830579713918271,0.00528103809338063,0.012245890144258741,3.659658250398934e-05,0.012823383323848248,14.713107757568359,14.403946876525879,19.942347145080568,21.688358116149903,23.959338855743418,4.846914768218994,26.123273849487305,14.711518471973031,14.402147096057888,19.941715854767246,21.68765028855996,23.95893355513735,4.834091384895146,26.123132834836724
3,SELECTED,CURRENT,PS,189,200,94.5,100,0,119,200,119,3,123,204,44,1.8388967096070883,0.6470354795455933,5.853078937530517,7.90120813846588,9.05719732284545,5.900685573578812e-05,11.388277053833008,10.160139471627772,9.989161491394043,14.97746696472168,16.7809377670288,21.243015041351313,0.07310862094163895,22.646657943725586,8.321242762020683,8.727698285132647,14.228424369229469,16.33208908798987,21.222055640592874,-4.944748930633068,22.63637424632907
3,SELECTED,CURRENT,NS,865,1000,86.5,100,0,168,1000,6,168,198,1030,1,10.049714087367057,10.029082298278809,14.95683355331421,16.229851341247556,19.351062984466548,0.618166983127594,24.458454132080078,5.1621277351236206,4.764463424682617,9.98844108581543,11.553818511962888,14.297830018997193,0.0009324969723820686,19.360639572143555,4.887586352243438,4.8111976981163025,10.906564731895925,12.149276649951934,13.54165547978133,-10.604541718959808,18.384465561714023
3,SELECTED,ACCEPTED_OLD,RS,200,200,100.0,200,0,200,200,200,0,203,203,200,0.005979425154619094,0.0014033003244549036,0.004791823867708444,0.012243813555687627,0.051720147877931305,7.092700980138034e-05,0.5234698057174683,14.293998296260833,14.259831428527832,19.432225608825682,20.543333435058592,23.561783580780027,2.565460205078125,25.90118980407715,14.288018871106214,14.257253385614604,19.431463278798034,20.54290648409005,23.55824939446029,2.0419903993606567,25.90099265135359
3,SELECTED,ACCEPTED_OLD,PS,382,400,95.5,200,0,259,400,259,5,265,406,95,1.6173939400978998,0.32276542484760284,5.016001987457278,7.417255377769467,10.578673439025868,0.0003215749457012862,13.942276954650879,9.879489178657531,9.672255992889404,15.217522144317627,16.55989904403686,19.42661079406738,0.24694043397903442,22.11699104309082,8.262095238559631,8.46570740500465,14.386159971705641,16.217407062731212,19.42156791495392,-9.995730876922607,22.11457877466455
3,SELECTED,ACCEPTED_OLD,NS,1712,2000,85.6,200,0,354,2000,16,354,394,2040,2,10.588881324224756,10.472484588623047,15.3452675819397,16.70343151092529,18.940577850341796,0.0034037057776004076,23.58745002746582,5.193010571393126,4.8341710567474365,10.418400764465334,11.782318353652954,14.677012882232665,0.0010868363315239549,18.11543083190918,5.39587075283163,5.531288146972656,11.732245337963105,13.131029927730559,16.457820338399614,-11.396002292633057,19.76825500279665
4,ENTRY,CURRENT,RS,14,100,14.0,100,0,1,100,1,22,2,101,1,9.823184574842452,9.868733406066895,14.655271816253663,16.468736553192137,18.492215003967296,1.9908941984176636,20.7629451751709,4.760011523789726,4.126445293426514,10.719397354125979,11.329298400878905,13.906183547973638,0.0060330661945044994,15.074867248535156,-5.063173051052726,-5.222758769989014,1.0528930664062546,3.10001356601715,4.9274688673019575,-16.532806672155857,8.12626314163208
4,ENTRY,CURRENT,PS,36,200,18.0,100,0,2,200,2,42,4,202,0,9.059541712701321,8.840175151824951,13.927599906921387,14.886724328994747,16.908390979766846,0.8562993407249451,19.08572769165039,4.599413354300196,4.268207550048828,8.840931224822997,11.248103094100944,13.137518739700312,0.002481478499248624,17.083736419677734,-4.460128358401125,-4.330634638667107,1.1706720352172848,2.8088979601860022,5.602086945772142,-18.909934401512146,8.919372797012329
4,ENTRY,CURRENT,NS,843,1000,84.3,100,0,199,1000,12,199,199,1000,2,10.137698813147843,10.034199237823486,14.921444129943849,16.796201992034913,20.375219516754143,0.0831262394785881,22.77963638305664,5.356834732553689,5.017622947692871,10.784460067749023,12.118383502960203,14.899074506759643,0.0021021903958171606,17.755178451538086,4.780864080594154,4.337935209274292,11.146438291668892,13.273521685600272,16.622676349431277,-9.408371210098267,20.31549221277237
4,ENTRY,ACCEPTED_OLD,RS,300,300,100.0,300,0,300,300,300,0,305,305,300,0.0045160480605166715,0.0012147793895564973,0.004232009779661896,0.006962037272751343,0.0414422281831502,3.659658250398934e-05,0.5234698057174683,14.433701491355896,14.372550010681152,19.711342811584473,21.135866355896,23.656092052459716,2.565460205078125,26.123252868652344,14.42918544329538,14.370827473525424,19.709850843227468,21.134936851436215,23.65576336066733,2.0419903993606567,26.123111854001763
