arm,population,metric,numerator,denominator,percent,ties,desired_TF_strict,desired_token_correct,desired_token_count,new_nll_mean,new_nll_median,new_nll_p90,new_nll_p95,new_nll_p99,new_nll_min,new_nll_max,true_nll_mean,true_nll_median,true_nll_p90,true_nll_p95,true_nll_p99,true_nll_min,true_nll_max,desired_margin_mean,desired_margin_median,desired_margin_p90,desired_margin_p95,desired_margin_p99,desired_margin_min,desired_margin_max,two_P_strict,two_P_denominator,status
REFIT4,W10_FIRST500,NS,4071,5000,81.42,0,903,973,5070,9.465009407253397,9.371531009674072,14.367151927948,15.77075800895691,18.978554000854494,1.3470558769768104e-05,25.746740341186523,5.365008551008743,4.887594938278198,10.648371219635015,12.417725181579591,15.747846879959107,0.000996212475001812,22.76006507873535,4.1000008562446535,4.091336011886597,10.32857996113599,11.915232851705516,15.171277037560941,-22.760051608176582,19.711698174476624,,,ALL
REFIT4,W10_LAST500,RS,500,500,100.0,0,499,507,508,0.027180447304934206,0.0031143752858042717,0.019298163056373614,0.028214495535939806,0.10071459800004928,4.207999518257566e-05,9.387474060058594,13.456714121818543,13.289421558380127,19.11433029174805,20.466178607940662,24.37483966827392,3.967883586883545,28.019561767578125,13.429533674513609,13.246519627573434,19.10974070359953,20.46412269066203,24.374687478503034,3.9348162673413754,28.0194007287937,,,ALL
REFIT4,W10_LAST500,PS,980,1000,98.0,0,668,683,1016,1.5511338822380059,0.3877997249364853,4.85712685585022,6.367922377586365,9.587583990097045,0.00012218205665703863,16.66926383972168,9.63518628114462,9.506060600280762,14.733587646484375,16.415671253204344,19.238746376037597,0.5552445650100708,26.673006057739258,8.084052398906612,7.921772850677371,14.105305699072778,15.680566696450112,19.192993406406604,-5.7936272621154785,26.6728838756826,250,500,ALL
REFIT4,W10_LAST500,NS,4116,5000,82.32,0,1013,1053,5040,9.354494064551814,9.344379901885986,14.170481491088868,15.515694665908816,18.03523342132569,0.0008447177824564278,27.600542068481445,5.1177873518832495,4.561823844909668,10.47975788116455,12.342810821533206,15.276674566268934,0.002617031103000045,23.399869918823242,4.236706712668564,4.338748455047607,10.141782183665782,11.776790073513986,15.045311659574514,-23.399025201040786,21.901264935731888,,,ALL
REFIT4,POOLED_ATWRITE_NOT_SINGLE_MODEL,RS,1000,1000,100.0,0,1000,1015,1015,0.007062773459008895,0.002955059753730893,0.016682069934904578,0.024476795550435772,0.06784139178693294,1.585470999998506e-05,0.2214883267879486,13.623418764352799,13.369843482971191,19.53373374938965,22.04940061569214,25.120272445678708,3.547455072402954,29.097543716430664,13.616355990893789,13.363895975751802,19.532943164440802,22.048153287323657,25.119786651256433,3.4889755994081497,29.09665588225471,,,ALL
REFIT4,POOLED_ATWRITE_NOT_SINGLE_MODEL,PS,1927,2000,96.35,0,1286,1314,2030,1.6358824418863152,0.43000952899456024,5.021946191787723,6.729194450378418,10.15119369506836,3.909988299710676e-05,16.314556121826172,9.622888435248285,9.481718063354492,14.688343524932861,16.67916164398193,20.35920732498169,0.08931870758533478,26.91337013244629,7.98700599336197,7.906522937119007,14.080166942311918,15.995082047721372,20.31223737190361,-7.072416305541992,26.913261777073785,465,1000,ALL
REFIT4,POOLED_ATWRITE_NOT_SINGLE_MODEL,NS,8414,10000,84.14,0,1995,2104,10110,9.89770383996095,9.845996856689453,14.770834159851074,16.205021667480466,19.207255268096926,4.2676016164477915e-05,27.357807159423828,5.156362000088307,4.6612865924835205,10.494242477416993,12.120799875259399,15.45173418045045,0.0006977269076742232,23.68915557861328,4.741341839872644,4.737119764089584,10.818483924865724,12.451442885398865,15.564481067359448,-23.688710669317516,20.50089480355382,,,ALL
L75,W10_ALL1000,RS,1000,1000,100.0,0,998,1013,1015,0.04038350791104949,0.002697543357498944,0.017114426568150525,0.028304443601518858,0.09113609381020069,2.9802276912960224e-06,17.242897033691406,13.955296483278275,13.74764108657837,19.834233856201173,21.800990295410156,26.4904727935791,1.686513900756836,34.304443359375,13.914912975367224,13.703535658773035,19.8162616303307,21.80036212531704,26.490190156196768,1.2023067474365234,34.30438089565723,,,ALL
L75,W10_ALL1000,PS,1919,2000,95.95,0,1336,1365,2030,1.6137918766894517,0.33216123282909393,5.184346294403081,7.114426159858703,10.642762966156006,1.5616295058862306e-05,16.177162170410156,10.108767094247042,10.005302906036377,15.66943159103394,17.574703979492188,21.546136531829834,0.10061468183994293,27.121196746826172,8.494975217557592,8.393204158172011,14.945089268870662,17.297899866430086,21.51372906504157,-10.11036467552185,27.119551820214838,498,1000,ALL
L75,W10_ALL1000,NS,8227,10000,82.27,0,1927,2037,10110,9.784199145565278,9.797363758087158,14.820621013641357,16.30927963256836,18.941499099731445,4.017272294731811e-05,29.03573226928711,5.280339675010238,4.703056812286377,10.82479486465454,12.547143602371214,15.970147819519044,0.00048268112004734576,25.739641189575195,4.5038594705550405,4.575850486755371,10.948215198516849,12.517294102907172,15.923751554936171,-25.739540462796867,20.88983692228794,,,ALL
L75,W10_ALL1000,RS,999,999,100.0,0,998,1013,1014,0.023163774652010097,0.002693360671401024,0.016972012072801596,0.027944760583341086,0.0898143935203552,2.9802276912960224e-06,14.530133247375488,13.950802081578725,13.730826377868652,19.83472557067871,21.801987075805663,26.491369247436523,1.686513900756836,34.304443359375,13.927638306926715,13.70671380404383,19.81812695332337,21.801118329112068,26.49108538619417,1.4593430012464523,34.30438089565723,,,ACTIVE
L75,W10_ALL1000,PS,1919,1998,96.04604604604604,0,1336,1365,2028,1.6053835578547284,0.33171719312667847,5.162667703628538,7.087741136550899,10.403991928100579,1.5616295058862306e-05,16.177162170410156,10.109367894331315,10.005302906036377,15.674039554595947,17.57477798461914,21.546891193389893,0.10061468183994293,27.121196746826172,8.503984336476588,8.399112462997437,14.961129738204178,17.305706065008405,21.514225629863265,-10.11036467552185,27.119551820214838,498,999,ACTIVE
L75,W10_ALL1000,NS,8218,9990,82.26226226226227,0,1927,2037,10100,9.785235893843536,9.797773838043213,14.819496154785156,16.307998371124267,18.941988906860356,4.017272294731811e-05,29.03573226928711,5.279415962969132,4.709754228591919,10.813185977935795,12.54336166381836,15.970564765930177,0.00048268112004734576,25.739641189575195,4.505819930874404,4.579039096832275,10.955110263824464,12.523538821935645,15.924253794103864,-25.739540462796867,20.88983692228794,,,ACTIVE
L75,W10_ALL1000,RS,1,1,100.0,0,0,0,1,17.242897033691406,17.242897033691406,17.242897033691406,17.242897033691406,17.242897033691406,17.242897033691406,17.242897033691406,18.44520378112793,18.44520378112793,18.44520378112793,18.44520378112793,18.44520378112793,18.44520378112793,18.44520378112793,1.2023067474365234,1.2023067474365234,1.2023067474365234,1.2023067474365234,1.2023067474365234,1.2023067474365234,1.2023067474365234,,,SUPERSEDED
L75,W10_ALL1000,PS,0,2,0.0,0,0,0,2,10.013702392578125,10.013702392578125,14.058425903320312,14.564016342163086,14.968488693237305,4.957798004150391,15.06960678100586,9.508567810058594,9.508567810058594,13.900560760498047,14.449559879302978,14.888759174346923,4.018576622009277,14.99855899810791,-0.5051345825195312,-0.5051345825195312,-0.1578651428222656,-0.11445646286010747,-0.07972951889038087,-0.9392213821411133,-0.07104778289794922,0,1,SUPERSEDED
