arm,contrast,metric,denominator,before,after,delta_pp,lost,gained,both_success,both_failure,conditional_loss_denominator,conditional_recovery_denominator,new_nll_delta_mean,new_nll_delta_median,new_nll_delta_p90,new_nll_delta_p95,new_nll_delta_p99,new_nll_delta_min,new_nll_delta_max,true_nll_delta_mean,true_nll_delta_median,true_nll_delta_p90,true_nll_delta_p95,true_nll_delta_p99,true_nll_delta_min,true_nll_delta_max,desired_margin_delta_mean,desired_margin_delta_median,desired_margin_delta_p90,desired_margin_delta_p95,desired_margin_delta_p99,desired_margin_delta_min,desired_margin_delta_max,desired_NLL_harmed,batch,future_batches
N4,ENTRY_TO_ATWRITE,RS,100,14,100,86.0,0,86,14,0,14,86,-9.581618186671495,-9.367008607718162,-5.5466862226603535,-4.269128168578027,-1.6268785575967886,-16.628915420966223,-0.9032613862655126,10.583784811981023,9.982898741960526,17.176494294404982,18.989851304888724,22.362953124046328,-2.5975475311279297,23.046101331710815,20.165402998652517,18.863685238116886,28.043447790440418,32.04611807711335,35.59276483822032,8.330636310507543,35.741046746843494,0,8,
N4,ATWRITE_TO_W10,RS,100,100,100,0.0,0,0,100,0,100,0,0.05396308012123882,2.5032982193806674e-06,0.000266347918659449,0.0005269606277579441,0.057336610569646215,-0.0017696709837764502,5.392525988165289,-0.13648784160614014,-0.016768932342529297,0.4214607238769534,0.4811366081237793,0.9380639266967832,-12.568525314331055,2.076251983642578,-0.19045092172737896,-0.016769647489127237,0.421523062582128,0.48120405976951586,0.9388508111916658,-17.961051302496344,2.077128583594458,55,8,2
N4,ENTRY_TO_ATWRITE,PS,200,26,193,83.5,0,167,26,7,26,174,-7.4828678852344455,-7.346952302148566,-3.3627888388931755,-2.3149023104459108,0.04306434631346787,-16.455855856649578,2.672369956970215,5.656698213657364,5.2640433721244335,11.988914370536804,14.536917999386787,17.23072531223297,-6.725041389465332,18.410301685333252,13.13956609889181,13.003268148750067,22.449679365009068,25.33456430719233,28.011400908842326,0.08537483215332031,32.365601452067494,3,8,
N4,ATWRITE_TO_W10,PS,200,193,192,-0.5,1,0,192,7,193,7,0.022806897505797678,0.0001250339555554092,0.1746262311935424,0.3484596133232111,0.8854999113082871,-2.5310099124908447,3.2641260623931885,-0.020444643795490266,-0.028910160064697266,0.30635528564453124,0.44893183708190915,1.3083884477615326,-1.884225845336914,4.452618598937988,-0.043251541301287943,-0.05835986137390137,0.32848297357559175,0.5313840366899967,1.189661363614722,-1.8926536925137043,2.910646677017212,107,8,2
N4,ENTRY_TO_ATWRITE,NS,1000,864,834,-3.0,35,5,829,131,864,136,-0.39582205457659436,-0.11648917198181152,0.2629150390625,0.416014862060546,0.8874776840209956,-16.671356089413166,1.6454963684082031,0.10830345996562392,9.721796959638596e-05,0.4621219396591187,0.8922854900360094,4.538898363709443,-2.0827693939208984,11.492908000946045,-0.5041255145422183,-0.1082656979560852,0.3418285369873048,0.5202939391136168,1.0310000458359707,-28.16426409035921,3.022627830505371,501,8,
N4,ATWRITE_TO_W10,NS,1000,834,811,-2.3,33,10,801,156,834,166,-0.22569771092943847,-0.1284489631652832,0.5050256729125979,0.8305850028991688,2.0797603607177733,-5.293931007385254,7.5813282802701,0.030334379968233408,-0.010770648717880249,0.6434500694274906,1.1766281127929672,3.1748323905467957,-6.162126064300537,11.757538795471191,-0.25603209089767187,-0.09149646759033203,0.671137857437134,1.0748241662979126,2.3000869739055627,-10.873104095458984,13.743454344570637,465,8,2
N4,ENTRY_TO_ATWRITE,RS,100,14,100,86.0,0,86,14,0,14,86,-9.663434911129007,-9.47984156687744,-5.009301500517176,-3.88343818820431,-1.8036858793676862,-17.718462822493166,-0.16793501310166903,10.651873161492112,10.145087003707886,17.317165112495424,17.62535247802734,19.31497983455659,-3.927049160003662,21.021347522735596,20.315308072621118,19.552769866328163,28.100078972254416,29.369434990183798,33.37633975173958,5.952855298528448,33.88984315516427,0,9,
N4,ATWRITE_TO_W10,RS,100,100,100,0.0,0,0,100,0,100,0,0.0002191301512721111,9.344308637082577e-06,0.00030850131297484096,0.0008095274766674258,0.008023196756839787,-0.004288176074624062,0.014869846403598785,0.021917567253112794,0.006547451019287109,0.21793346405029354,0.3048547267913818,0.5919742584228663,-0.6125335693359375,3.4568653106689453,0.021698437101840683,0.006575150138814934,0.2179854605288716,0.3048363715031882,0.5920262579743724,-0.6137589173158631,3.456920236116275,57,9,1
N4,ENTRY_TO_ATWRITE,PS,200,22,197,87.5,0,175,22,3,22,178,-8.292445943050406,-8.340997761115432,-3.5916602492332466,-2.386939597129825,-1.1078985626436821,-16.241967372596264,-0.08649605745449662,6.182712662639096,5.610517859458923,12.132281314581629,14.960457526892423,18.328253486752505,-7.881105899810791,20.486776113510132,14.475158605689503,14.410632630810142,23.24363233980257,25.521757365876688,30.491320843420688,1.298174686729908,32.470222849951824,0,9,
N4,ATWRITE_TO_W10,PS,200,197,199,1.0,0,2,197,1,197,3,-0.010900986455089879,0.0001809513196349144,0.09165234565734863,0.16640487909316998,0.4991218781471252,-1.7213842868804932,0.9202091693878174,0.024162377379834652,-0.016373634338378906,0.23599529266357422,0.3536706447601303,2.381178094148632,-1.150925636291504,4.6702782437205315,0.03506336383492453,-0.0192020982503891,0.2710243470035493,0.5584730586037036,2.774020776450628,-1.2027926743030548,6.391662530601025,111,9,1
