arm,batch,state,metric,numerator,denominator,percent,ties,desired_TF_strict,desired_token_correct,desired_token_count,new_nll_mean,new_nll_median,new_nll_p90,new_nll_p95,new_nll_p99,new_nll_min,new_nll_max,true_nll_mean,true_nll_median,true_nll_p90,true_nll_p95,true_nll_p99,true_nll_min,true_nll_max,desired_margin_mean,desired_margin_median,desired_margin_p90,desired_margin_p95,desired_margin_p99,desired_margin_min,desired_margin_max,two_P_strict,two_P_denominator
L75,5,entry,RS,5,100,5.0,0,2,3,101,10.480759010538458,10.339155197143555,14.860620498657228,16.281282520294187,18.529998397827157,0.11215677112340927,19.94862174987793,4.5185020954161885,3.9924445152282715,8.940936756134036,10.450889635086059,13.009555130004886,0.007380954921245575,13.682846069335938,-5.96225691512227,-5.722801089286804,-0.7054524421691889,-0.012929534912111282,5.692091294303551,-14.810641575604677,8.432197667658329,,
L75,5,selected,NS,853,1000,85.3,0,235,235,1000,9.938412010118366,9.640982627868652,14.893089485168458,16.562037849426265,19.20267385482788,0.057478949427604675,21.235322952270508,4.90267309164931,4.239327907562256,10.522186088562012,12.160217475891113,15.928344860076903,0.0015092422254383564,19.942413330078125,5.035738918469055,5.026176929473877,11.232551765441896,12.482217073440548,15.039570417255156,-8.277121543884277,19.223095417022705,,
L75,5,selected,PS,192,200,96.0,0,126,128,202,1.6661084111769742,0.4682600200176239,4.553046989440918,7.639043641090392,9.925231389999388,0.0002115741081070155,11.702034950256348,9.539796872138977,9.66849136352539,15.176521110534667,16.475992393493648,21.544200801849346,0.43882954120635986,24.19780921936035,7.873688460962003,7.901393048465252,14.137964535318314,15.997409867634996,21.53852805196946,-8.93700122833252,24.196809076936916,46,100
L75,5,selected,RS,100,100,100.0,0,100,101,101,0.00804244351140369,0.0038690128130838275,0.018097709491848954,0.02827877523377536,0.06617230795323871,4.2199197196168825e-05,0.10938712954521179,13.516642153263092,13.057102680206299,19.571327209472663,21.530464363098144,22.520125179290783,3.5650126934051514,24.745153427124023,13.508599709751689,13.049230255826842,19.570693179886444,21.52929704747148,22.52004231979315,3.4556255638599396,24.744715309760068,,
L75,6,entry,NS,830,1000,83.0,0,159,179,1020,10.482815716911107,10.591423034667969,14.993217658996581,16.068035984039305,18.447788105010986,0.028343606740236282,23.73503303527832,5.626901705088094,5.179682731628418,10.709239673614501,12.325714349746702,14.669236650466917,0.004453265108168125,19.51598358154297,4.855914011823013,4.772769451141357,11.397991847991943,12.877589201927183,16.181820136960596,-12.198926210403442,17.858624026179314,,
L75,6,entry,PS,30,200,15.0,0,0,7,208,10.13525313615799,9.798253059387207,14.152583026885987,15.272717809677118,18.182328948974604,3.9325919151306152,21.133512496948242,5.595947026344947,5.183725833892822,10.384272193908691,12.232032775878904,13.299394283294674,0.014460175298154354,18.110532760620117,-4.539306109813042,-4.18192982673645,0.7527511596679687,2.0012056827545113,5.6047162246704065,-16.007171869277954,6.008800029754639,0,100
L75,6,entry,RS,12,100,12.0,0,0,3,104,10.677883930802345,10.65924882888794,15.407881164550785,16.897432708740233,20.520498981475857,0.9958930611610413,25.924057006835938,5.044743806347251,4.37586784362793,9.881194496154787,11.842924165725707,14.55238893508916,0.032599885016679764,24.197866439819336,-5.633140124455094,-5.097186923027039,0.22883234024047985,2.2216835021972647,4.680057024359711,-19.565732419490814,6.324175775051117,,
L75,6,selected,NS,813,1000,81.3,0,158,178,1020,10.226875970983878,10.37854814529419,14.696696662902832,15.957466936111448,18.46122495651245,0.006582719273865223,23.693010330200195,5.677902947341558,5.256057500839233,10.904779052734375,12.434288740158078,14.814008216857909,0.004049673210829496,19.113849639892578,4.54897302364232,4.50002247095108,11.118164587020875,12.660333785694089,15.980731704086065,-13.990416765213013,17.804927077144384,,
L75,6,selected,PS,193,200,96.5,0,124,131,208,1.7328037582564866,0.428407683968544,5.251913261413574,6.4360021352767935,10.561468276977534,0.0008740180637687445,11.390287399291992,10.416032438874245,10.34564733505249,15.456498718261718,17.13811492919922,19.2775695800781,1.001645565032959,21.972068786621094,8.683228680617757,8.513774582534097,14.591889249032828,16.254999403096733,18.907904582053863,-4.37844705581665,21.96759546454996,46,100
L75,6,selected,RS,100,100,100.0,0,100,104,104,0.005700574108050205,0.0033525495091453195,0.013206601515412333,0.014736281614750617,0.04322845652699471,8.99378937901929e-05,0.04470494017004967,13.844025602340698,13.691174983978271,19.647833251953127,20.655716037750246,23.248772182464602,5.957674026489258,23.959569931030273,13.838325028232648,13.688720324047608,19.638888080799372,20.655292218003886,23.248080081946686,5.953252686653286,23.95901028084336,,
