arm,from_checkpoint,to_checkpoint,span,metric,from_value,to_value,delta
QM,7500,10000,ADJACENT,rs,0.5289333333333334,0.5037,-0.02523333333333333
QM,7500,10000,ADJACENT,ps,0.5243333333333333,0.5103,-0.014033333333333342
QM,7500,10000,ADJACENT,ns,0.48428,0.49843,0.014149999999999996
QM,7500,10000,ADJACENT,rewrite_acc,0.00013333333333333334,0.0,-0.00013333333333333334
QM,7500,10000,ADJACENT,rephrase_acc,6.666666666666667e-05,0.0,-6.666666666666667e-05
QM,7500,10000,ADJACENT,rephrase_acc_strict_all_2,0.0,0.0,0.0
QM,7500,10000,ADJACENT,neighborhood_target_true_teacher_forced_acc,0.0,0.0,0.0
QM,1000,10000,TOTAL_1K_TO_10K,rs,0.985,0.5037,-0.48129999999999995
QM,1000,10000,TOTAL_1K_TO_10K,ps,0.9685,0.5103,-0.45820000000000005
QM,1000,10000,TOTAL_1K_TO_10K,ns,0.6948,0.49843,-0.19637
QM,1000,10000,TOTAL_1K_TO_10K,rewrite_acc,0.93,0.0,-0.93
QM,1000,10000,TOTAL_1K_TO_10K,rephrase_acc,0.7,0.0,-0.7
QM,1000,10000,TOTAL_1K_TO_10K,rephrase_acc_strict_all_2,0.541,0.0,-0.541
QM,1000,10000,TOTAL_1K_TO_10K,neighborhood_target_true_teacher_forced_acc,0.1235,0.0,-0.1235
QA,1000,1500,ADJACENT,rs,0.999,0.998,-0.0010000000000000009
QA,1000,1500,ADJACENT,ps,0.9835,0.9853333333333333,0.0018333333333332424
QA,1000,1500,ADJACENT,ns,0.7139,0.6742,-0.03969999999999996
QA,1000,1500,ADJACENT,rewrite_acc,0.988,0.982,-0.006000000000000005
QA,1000,1500,ADJACENT,rephrase_acc,0.701,0.7143333333333334,0.01333333333333342
QA,1000,1500,ADJACENT,rephrase_acc_strict_all_2,0.545,0.5666666666666667,0.021666666666666612
QA,1000,1500,ADJACENT,neighborhood_target_true_teacher_forced_acc,0.0948,0.0786,-0.016199999999999992
QA,1500,2000,ADJACENT,rs,0.998,0.995,-0.0030000000000000027
QA,1500,2000,ADJACENT,ps,0.9853333333333333,0.982,-0.0033333333333332993
