state,family,variant,edits,task,branch,label,support,predicted,tp,fp,fn,f1
AlphaEdit_L4_ONLY-edits02000,AlphaEdit,L4_ONLY,2000,cola,alternative,1,50,24,19,5,31,0.5135135135135135
AlphaEdit_L4_ONLY-edits02000,AlphaEdit,L4_ONLY,2000,rte,generation,0,50,78,47,31,3,0.734375
AlphaEdit_L4_ONLY-edits02000,AlphaEdit,L4_ONLY,2000,rte,generation,1,50,22,19,3,31,0.5277777777777778
AlphaEdit_L4_ONLY-edits02000,AlphaEdit,L4_ONLY,2000,rte,alternative,0,50,77,46,31,4,0.7244094488188977
AlphaEdit_L4_ONLY-edits02000,AlphaEdit,L4_ONLY,2000,rte,alternative,1,50,23,19,4,31,0.5205479452054794
AlphaEdit_L4_ONLY-edits02000,AlphaEdit,L4_ONLY,2000,mmlu,generation,-1,0,14,0,14,0,0.0
AlphaEdit_L4_ONLY-edits02000,AlphaEdit,L4_ONLY,2000,mmlu,generation,0,25,18,9,9,16,0.4186046511627907
AlphaEdit_L4_ONLY-edits02000,AlphaEdit,L4_ONLY,2000,mmlu,generation,1,25,16,13,3,12,0.6341463414634146
AlphaEdit_L4_ONLY-edits02000,AlphaEdit,L4_ONLY,2000,mmlu,generation,2,25,30,12,18,13,0.43636363636363634
AlphaEdit_L4_ONLY-edits02000,AlphaEdit,L4_ONLY,2000,mmlu,generation,3,25,22,13,9,12,0.5531914893617021
AlphaEdit_L4_ONLY-edits02000,AlphaEdit,L4_ONLY,2000,mmlu,alternative,0,25,20,10,10,15,0.4444444444444444
AlphaEdit_L4_ONLY-edits02000,AlphaEdit,L4_ONLY,2000,mmlu,alternative,1,25,20,15,5,10,0.6666666666666666
AlphaEdit_L4_ONLY-edits02000,AlphaEdit,L4_ONLY,2000,mmlu,alternative,2,25,34,16,18,9,0.5423728813559322
AlphaEdit_L4_ONLY-edits02000,AlphaEdit,L4_ONLY,2000,mmlu,alternative,3,25,26,16,10,9,0.6274509803921569
AlphaEdit_L4_ONLY-edits02000,AlphaEdit,L4_ONLY,2000,nli,generation,0,50,47,35,12,15,0.7216494845360825
AlphaEdit_L4_ONLY-edits02000,AlphaEdit,L4_ONLY,2000,nli,generation,1,50,53,38,15,12,0.7378640776699029
AlphaEdit_L4_ONLY-edits02000,AlphaEdit,L4_ONLY,2000,nli,alternative,0,50,46,34,12,16,0.7083333333333334
AlphaEdit_L4_ONLY-edits02000,AlphaEdit,L4_ONLY,2000,nli,alternative,1,50,54,38,16,12,0.7307692307692307
AlphaEdit_L4_ONLY-edits03000,AlphaEdit,L4_ONLY,3000,sst2,generation,-1,0,13,0,13,0,0.0
AlphaEdit_L4_ONLY-edits03000,AlphaEdit,L4_ONLY,3000,sst2,generation,0,50,46,43,3,7,0.8958333333333334
AlphaEdit_L4_ONLY-edits03000,AlphaEdit,L4_ONLY,3000,sst2,generation,1,50,41,41,0,9,0.9010989010989011
AlphaEdit_L4_ONLY-edits03000,AlphaEdit,L4_ONLY,3000,sst2,alternative,0,50,52,49,3,1,0.9607843137254902
AlphaEdit_L4_ONLY-edits03000,AlphaEdit,L4_ONLY,3000,sst2,alternative,1,50,48,47,1,3,0.9591836734693877
AlphaEdit_L4_ONLY-edits03000,AlphaEdit,L4_ONLY,3000,mrpc,generation,0,50,24,19,5,31,0.5135135135135135
AlphaEdit_L4_ONLY-edits03000,AlphaEdit,L4_ONLY,3000,mrpc,generation,1,50,76,45,31,5,0.7142857142857143
AlphaEdit_L4_ONLY-edits03000,AlphaEdit,L4_ONLY,3000,mrpc,alternative,0,50,24,19,5,31,0.5135135135135135
AlphaEdit_L4_ONLY-edits03000,AlphaEdit,L4_ONLY,3000,mrpc,alternative,1,50,76,45,31,5,0.7142857142857143
AlphaEdit_L4_ONLY-edits03000,AlphaEdit,L4_ONLY,3000,cola,generation,-1,0,2,0,2,0,0.0
AlphaEdit_L4_ONLY-edits03000,AlphaEdit,L4_ONLY,3000,cola,generation,0,50,70,43,27,7,0.7166666666666667
AlphaEdit_L4_ONLY-edits03000,AlphaEdit,L4_ONLY,3000,cola,generation,1,50,28,23,5,27,0.5897435897435898
AlphaEdit_L4_ONLY-edits03000,AlphaEdit,L4_ONLY,3000,cola,alternative,0,50,74,44,30,6,0.7096774193548387
AlphaEdit_L4_ONLY-edits03000,AlphaEdit,L4_ONLY,3000,cola,alternative,1,50,26,20,6,30,0.5263157894736842
AlphaEdit_L4_ONLY-edits03000,AlphaEdit,L4_ONLY,3000,rte,generation,0,50,77,46,31,4,0.7244094488188977
AlphaEdit_L4_ONLY-edits03000,AlphaEdit,L4_ONLY,3000,rte,generation,1,50,23,19,4,31,0.5205479452054794
AlphaEdit_L4_ONLY-edits03000,AlphaEdit,L4_ONLY,3000,rte,alternative,0,50,77,46,31,4,0.7244094488188977
AlphaEdit_L4_ONLY-edits03000,AlphaEdit,L4_ONLY,3000,rte,alternative,1,50,23,19,4,31,0.5205479452054794
AlphaEdit_L4_ONLY-edits03000,AlphaEdit,L4_ONLY,3000,mmlu,generation,-1,0,21,0,21,0,0.0
AlphaEdit_L4_ONLY-edits03000,AlphaEdit,L4_ONLY,3000,mmlu,generation,0,25,16,8,8,17,0.3902439024390244
AlphaEdit_L4_ONLY-edits03000,AlphaEdit,L4_ONLY,3000,mmlu,generation,1,25,19,13,6,12,0.5909090909090909
AlphaEdit_L4_ONLY-edits03000,AlphaEdit,L4_ONLY,3000,mmlu,generation,2,25,30,12,18,13,0.43636363636363634
AlphaEdit_L4_ONLY-edits03000,AlphaEdit,L4_ONLY,3000,mmlu,generation,3,25,14,9,5,16,0.46153846153846156
AlphaEdit_L4_ONLY-edits03000,AlphaEdit,L4_ONLY,3000,mmlu,alternative,0,25,19,9,10,16,0.4090909090909091
AlphaEdit_L4_ONLY-edits03000,AlphaEdit,L4_ONLY,3000,mmlu,alternative,1,25,24,15,9,10,0.6122448979591837
AlphaEdit_L4_ONLY-edits03000,AlphaEdit,L4_ONLY,3000,mmlu,alternative,2,25,34,16,18,9,0.5423728813559322
AlphaEdit_L4_ONLY-edits03000,AlphaEdit,L4_ONLY,3000,mmlu,alternative,3,25,23,14,9,11,0.5833333333333334
AlphaEdit_L4_ONLY-edits03000,AlphaEdit,L4_ONLY,3000,nli,generation,0,50,46,33,13,17,0.6875
AlphaEdit_L4_ONLY-edits03000,AlphaEdit,L4_ONLY,3000,nli,generation,1,50,54,37,17,13,0.7115384615384616
AlphaEdit_L4_ONLY-edits03000,AlphaEdit,L4_ONLY,3000,nli,alternative,0,50,46,33,13,17,0.6875
AlphaEdit_L4_ONLY-edits03000,AlphaEdit,L4_ONLY,3000,nli,alternative,1,50,54,37,17,13,0.7115384615384616
AlphaEdit_L4_ONLY-edits04000,AlphaEdit,L4_ONLY,4000,sst2,generation,-1,0,15,0,15,0,0.0
AlphaEdit_L4_ONLY-edits04000,AlphaEdit,L4_ONLY,4000,sst2,generation,0,50,45,42,3,8,0.8842105263157894
AlphaEdit_L4_ONLY-edits04000,AlphaEdit,L4_ONLY,4000,sst2,generation,1,50,40,39,1,11,0.8666666666666667
AlphaEdit_L4_ONLY-edits04000,AlphaEdit,L4_ONLY,4000,sst2,alternative,0,50,51,47,4,3,0.9306930693069307
AlphaEdit_L4_ONLY-edits04000,AlphaEdit,L4_ONLY,4000,sst2,alternative,1,50,49,46,3,4,0.9292929292929293
AlphaEdit_L4_ONLY-edits04000,AlphaEdit,L4_ONLY,4000,mrpc,generation,0,50,18,16,2,34,0.47058823529411764
AlphaEdit_L4_ONLY-edits04000,AlphaEdit,L4_ONLY,4000,mrpc,generation,1,50,82,48,34,2,0.7272727272727273
AlphaEdit_L4_ONLY-edits04000,AlphaEdit,L4_ONLY,4000,mrpc,alternative,0,50,18,16,2,34,0.47058823529411764
AlphaEdit_L4_ONLY-edits04000,AlphaEdit,L4_ONLY,4000,mrpc,alternative,1,50,82,48,34,2,0.7272727272727273
AlphaEdit_L4_ONLY-edits04000,AlphaEdit,L4_ONLY,4000,cola,generation,-1,0,1,0,1,0,0.0
AlphaEdit_L4_ONLY-edits04000,AlphaEdit,L4_ONLY,4000,cola,generation,0,50,67,44,23,6,0.7521367521367521
AlphaEdit_L4_ONLY-edits04000,AlphaEdit,L4_ONLY,4000,cola,generation,1,50,32,27,5,23,0.6585365853658537
AlphaEdit_L4_ONLY-edits04000,AlphaEdit,L4_ONLY,4000,cola,alternative,0,50,73,44,29,6,0.7154471544715447
AlphaEdit_L4_ONLY-edits04000,AlphaEdit,L4_ONLY,4000,cola,alternative,1,50,27,21,6,29,0.5454545454545454
AlphaEdit_L4_ONLY-edits04000,AlphaEdit,L4_ONLY,4000,rte,generation,0,50,76,47,29,3,0.746031746031746
AlphaEdit_L4_ONLY-edits04000,AlphaEdit,L4_ONLY,4000,rte,generation,1,50,24,21,3,29,0.5675675675675675
AlphaEdit_L4_ONLY-edits04000,AlphaEdit,L4_ONLY,4000,rte,alternative,0,50,76,47,29,3,0.746031746031746
AlphaEdit_L4_ONLY-edits04000,AlphaEdit,L4_ONLY,4000,rte,alternative,1,50,24,21,3,29,0.5675675675675675
AlphaEdit_L4_ONLY-edits04000,AlphaEdit,L4_ONLY,4000,mmlu,generation,-1,0,28,0,28,0,0.0
AlphaEdit_L4_ONLY-edits04000,AlphaEdit,L4_ONLY,4000,mmlu,generation,0,25,20,11,9,14,0.4888888888888889
