L2_velocity_action,W_sha256,actual_net_DeltaW_squared,actual_nonzero,actual_step_DeltaW_squared,alias,arm,batch,coefficient,direction_frobenius_squared,direction_raw_action,frobenius_sq,frobenius_velocity_squared,history_action_computation,history_velocity_action,kind,layer,materialized_nonzero,native_raw,node,normalized_native_velocity_action,parameter_elements,q,raw_coefficient,raw_native_velocity_action,state_version
,fe723527b90423fa24f5c89e38b4b93377fa6d5e47095e8b4b578ecc0ad1a921,,,,qwen2.5-7b-inst,O_NATIVE,7,,,,568.3609775673021,,,,actual_endpoint_net_FP32,7,67895284,568.5025054113448,,,67895296,,,,
,fe723527b90423fa24f5c89e38b4b93377fa6d5e47095e8b4b578ecc0ad1a921,,,,qwen2.5-7b-inst,O_NATIVE,7,,,,719.9597138750687,,,,actual_endpoint_net_FP32,8,67895282,720.0724985578094,,,67895296,,,,
,652788858f3e3f9a3e5b485b74e60245d63c643c0ca465a31318b6cfc964efaf,,,,qwen2.5-7b-inst,O_NATIVE,8,,,,745.4988702440648,,,,actual_endpoint_net_FP32,4,67895279,750.3221986454305,,,67895296,,,,
,652788858f3e3f9a3e5b485b74e60245d63c643c0ca465a31318b6cfc964efaf,,,,qwen2.5-7b-inst,O_NATIVE,8,,,,793.1560572069798,,,,actual_endpoint_net_FP32,5,67895283,794.7306444358846,,,67895296,,,,
,652788858f3e3f9a3e5b485b74e60245d63c643c0ca465a31318b6cfc964efaf,,,,qwen2.5-7b-inst,O_NATIVE,8,,,,322.81277179913326,,,,actual_endpoint_net_FP32,6,67895280,322.90491467769107,,,67895296,,,,
,652788858f3e3f9a3e5b485b74e60245d63c643c0ca465a31318b6cfc964efaf,,,,qwen2.5-7b-inst,O_NATIVE,8,,,,642.2939326550061,,,,actual_endpoint_net_FP32,7,67895287,642.5072438803727,,,67895296,,,,
,652788858f3e3f9a3e5b485b74e60245d63c643c0ca465a31318b6cfc964efaf,,,,qwen2.5-7b-inst,O_NATIVE,8,,,,727.8682010157274,,,,actual_endpoint_net_FP32,8,67895284,728.0129126266729,,,67895296,,,,
,0ba2163dd0474eeae3bebe507a8897bd63347270f019670c170eef44e6c7d1ec,,,,qwen2.5-7b-inst,O_NATIVE,9,,,,807.1251357301974,,,,actual_endpoint_net_FP32,4,67895278,812.3393270059995,,,67895296,,,,
,0ba2163dd0474eeae3bebe507a8897bd63347270f019670c170eef44e6c7d1ec,,,,qwen2.5-7b-inst,O_NATIVE,9,,,,884.1245133381178,,,,actual_endpoint_net_FP32,5,67895288,885.9437364967332,,,67895296,,,,
,0ba2163dd0474eeae3bebe507a8897bd63347270f019670c170eef44e6c7d1ec,,,,qwen2.5-7b-inst,O_NATIVE,9,,,,370.2245046619282,,,,actual_endpoint_net_FP32,6,67895280,370.3466970940449,,,67895296,,,,
,0ba2163dd0474eeae3bebe507a8897bd63347270f019670c170eef44e6c7d1ec,,,,qwen2.5-7b-inst,O_NATIVE,9,,,,585.7715586256811,,,,actual_endpoint_net_FP32,7,67895278,585.9997081473994,,,67895296,,,,
,0ba2163dd0474eeae3bebe507a8897bd63347270f019670c170eef44e6c7d1ec,,,,qwen2.5-7b-inst,O_NATIVE,9,,,,404.05133684552607,,,,actual_endpoint_net_FP32,8,67895277,404.1527826454271,,,67895296,,,,
