alias,case_index,depth,eff_margin,eff_nll_new,gen_margin_mean,gen_nll_new_max,gen_nll_new_mean,request_index,request_sha256,target_nll_ge_0_05,terminal_full_six_target_new_nll
llama3-8b-inst,6,IL1,16.3565673828125,0.0184326171875,13.82666015625,0.54296875,0.39208984375,5,39cb134a7460153810c2e46692d13f26ce9cef48815e15c399b48c97a18eb027,False,0.04737332463264465
llama3-8b-inst,6,IL1,19.7481689453125,0.0018310546875,14.92791748046875,0.38671875,0.19708251953125,6,50d6505f4bf83bb005d91ac06d26b044492e5bbdd5ebf7ac3ad402fb8cc9e12c,False,0.0027443855069577694
llama3-8b-inst,6,IL1,9.368072509765625,0.006927490234375,8.81787109375,0.6875,0.40087890625,7,48f8e5c9758bc1ecd0a5d87381377f2e938e3fbd115904598f843ea205a1cb29,False,0.019609808921813965
llama3-8b-inst,6,IL1,14.932403564453125,0.005096435546875,14.552108764648438,0.013916015625,0.0103912353515625,8,5222c50191326e7119d973b8926c803a0ac65079d8f3f3217e939a2eed376d81,False,0.028073158115148544
llama3-8b-inst,6,IL1,8.9267578125,0.0107421875,3.6015625,2.578125,2.5234375,9,f296600e034a8a300da559a46de195efdd639d61128b9c3cc6a0887b1ef0d697,False,0.023991134017705917
llama3-8b-inst,7,IL1,11.88671875,0.05078125,6.0966796875,5.125,2.7939453125,0,1f15ad772a9fa6b37e334f9e0a833b6b234fbcc3e02b033e20f4c8f7f264ec9f,True,0.11939997971057892
llama3-8b-inst,7,IL1,7.0139336585998535,0.017333984375,1.8355674743652344,5.25,4.09375,1,c416911d0d03300f77dc8d76e3ad6eab8c96026a867011c7a7728857b99e3e0c,False,0.03034052811563015
llama3-8b-inst,7,IL1,18.4869384765625,0.0130615234375,14.7012939453125,0.0732421875,0.0487060546875,2,72a75cd16bd699577bf429e669049d3300002c7fd1905e4f2deb4e9e9cf79a10,False,0.022293535992503166
llama3-8b-inst,7,IL1,11.53759765625,0.02490234375,8.873046875,1.0859375,0.908203125,3,7e171f0683f1329a0b503c23931df0906725a579a73788155f049006f9ad9234,False,0.016326557844877243
llama3-8b-inst,7,IL1,9.9183349609375,0.0191650390625,9.3707275390625,0.1669921875,0.0980224609375,4,50b6d7182bbb50024151c35a1af67f6f578882edaea4f98b765ec14cd313defc,False,0.035965338349342346
llama3-8b-inst,7,IL1,8.9197998046875,0.0177001953125,8.757080078125,0.0302734375,0.024169921875,5,93b075f0e328c3fcb2abafea111d73fd635b70813aa17f11fff9e5c8b5f55ff7,False,0.024165108799934387
llama3-8b-inst,7,IL1,10.80242919921875,0.01007080078125,5.40625,4.90625,3.84375,6,4a7d0d23ef3616b440f41d94b1e628cc6114d354cc49b0d25337f302b7cbf3ec,False,0.014101855456829071
llama3-8b-inst,7,IL1,15.436012268066406,0.00148773193359375,12.246253967285156,0.00518798828125,0.00374603271484375,7,f9f16bc7443ae596666c746ce23ea545748ddb3ef4434d0c407eb162fe7d8dbc,False,0.0031547159887850285
llama3-8b-inst,7,IL1,9.4317626953125,0.0057373046875,11.8173828125,0.04150390625,0.0263671875,8,586d683ae8d67dfbb02210b31897583d20fe567bc9eaac6aaeb7fc136b111f58,False,0.010353629477322102
