method,arm_before,arm_after,batch,metric,before_num,after_num,denominator,rate_delta,new_nll_prompt_mean_delta,new_nll_prompt_median_delta,new_nll_prompt_p90_delta,new_nll_prompt_max_delta,true_nll_prompt_mean_delta,true_nll_prompt_median_delta,true_nll_prompt_p90_delta,true_nll_prompt_max_delta,margin_prompt_mean_delta,margin_prompt_median_delta,margin_prompt_p90_delta,margin_prompt_max_delta
MEMIT,MEMIT_L4_ONLY,MEMIT_L8_ONLY,10,NS,8582,7692,10000,-0.08899999999999997,-1.7144820566170385,-1.6268048286437988,-1.2879747390747074,-0.48377037048339844,-0.29159977222657485,-0.4070615768432617,-0.5919276237487807,-2.242015838623047,1.422882284390464,1.3689460754394531,1.6547429561614968,3.4189233356155455
MEMIT,MEMIT_L4_ONLY,MEMIT_L8_ONLY,20,RS,1959,1824,2000,-0.0675,0.8123473698766428,0.17594050359912217,3.461827187240124,0.043796539306640625,-4.507992491373326,-4.739521503448486,-5.126837348937986,-3.55084228515625,-5.320339861249971,-5.309319536201656,-5.449561733566227,-3.551606000517495
MEMIT,MEMIT_L4_ONLY,MEMIT_L8_ONLY,20,PS,3696,2709,4000,-0.24675000000000002,2.1865583513520894,2.7976641058921814,3.469742918014526,2.5084400177001953,-2.493028214523714,-2.7153875827789307,-2.73244094848633,-0.43807029724121094,-4.679586565875804,-4.952484376728535,-4.140524327405728,-1.8314866776927374
MEMIT,MEMIT_L4_ONLY,MEMIT_L8_ONLY,20,NS,16213,14275,20000,-0.09689999999999999,-1.975267123113861,-1.9751794338226318,-1.973915195465084,-1.1410655975341797,-0.46576826053564524,-0.4136958122253418,-1.1402164459228548,-3.547260284423828,1.5094988625782157,1.5305162072181702,1.1976540774106952,-4.553490632213652
MEMIT,MEMIT_L4_ONLY,MEMIT_L8_ONLY,30,RS,2940,2606,3000,-0.11133333333333328,1.3115965252901436,0.6048313556239009,4.469003731012344,0.7522125244140625,-5.265916202470661,-5.431267261505127,-6.524727344512941,-9.563175201416016,-6.577512727760804,-6.54355326568475,-7.102029429888354,-9.565628089549136
MEMIT,MEMIT_L4_ONLY,MEMIT_L8_ONLY,30,PS,5574,4240,6000,-0.22233333333333338,2.3726216125687847,2.971043050289154,3.8510778427124013,-2.155263900756836,-2.3167067450582977,-2.523991107940674,-2.760095882415774,-2.7728004455566406,-4.689328357627083,-4.93957094848156,-4.806972639262677,-2.777721529826522
MEMIT,MEMIT_L4_ONLY,MEMIT_L8_ONLY,30,NS,22742,20011,30000,-0.0910333333333333,-2.0370271036758165,-2.183094024658203,-2.197837734222409,-4.272190093994141,-0.5704076232709827,-0.516430139541626,-1.5494363784790028,-0.5336112976074219,1.4666194804048331,1.5479633808135986,0.6108058929443354,-5.0886184042319655
MEMIT,MEMIT_L4_ONLY,MEMIT_L8_ONLY,40,RS,3928,3332,4000,-0.14900000000000002,1.75852252239136,1.149430571589619,5.215200579166411,1.1787195205688477,-5.488361790100113,-5.71560525894165,-6.800224494934083,-8.928817749023438,-7.246884312491473,-7.348749896278605,-8.051220729202031,-8.94369730213657
MEMIT,MEMIT_L4_ONLY,MEMIT_L8_ONLY,40,PS,7477,5575,8000,-0.23775000000000002,2.7688838096762844,3.5154231190681458,4.203361892700195,-1.8304290771484375,-2.295702912413865,-2.565014123916626,-2.603900527954101,-2.421274185180664,-5.06458672209015,-5.43583907186985,-5.113905773870645,-7.9493329542456195
MEMIT,MEMIT_L4_ONLY,MEMIT_L8_ONLY,40,NS,28696,25294,40000,-0.08505000000000007,-1.804118475353973,-1.916311502456665,-2.2689812660217292,-5.661272048950195,-0.42585927408663515,-0.41736316680908203,-1.5361620903015112,-5.192630767822266,1.3782592012673367,1.4948053359985352,-0.039867413043976896,-5.371291157789528
MEMIT,MEMIT_L4_ONLY,MEMIT_L8_ONLY,50,RS,4885,4198,5000,-0.13739999999999997,1.6698980345906873,1.0589007548987865,4.859492635726927,-2.925248146057129,-4.739314056647662,-4.854484796524048,-6.187839031219486,-7.782785415649414,-6.4092120912383495,-6.3580845119431615,-7.232207090384328,-7.854534792015329
MEMIT,MEMIT_L4_ONLY,MEMIT_L8_ONLY,50,PS,9371,7125,10000,-0.22460000000000002,2.950537776328911,3.541457489132881,4.877344989776611,2.7064208984375,-1.8531370213375435,-1.9818305969238281,-2.281146907806397,-3.914276123046875,-4.803674797666454,-5.057301729917526,-4.961264044162817,-9.51821729252697
MEMIT,MEMIT_L4_ONLY,MEMIT_L8_ONLY,50,NS,34251,29364,50000,-0.09773999999999994,-1.4265036505637525,-1.5801854133605957,-1.8292947769165036,-3.349149703979492,-0.20931905237510673,-0.15137553215026855,-1.1628438949584954,-0.9389076232910156,1.217184598188645,1.3908603191375732,-0.17594727277755462,-5.554550256580114
MEMIT,MEMIT_L4_ONLY,MEMIT_L8_ONLY,60,RS,5814,5050,6000,-0.1273333333333333,1.7204990882471103,1.368989272043109,4.166119718551629,-0.46974754333496094,-4.076971144534959,-4.082726240158081,-5.75647497177124,-8.781009674072266,-5.797470232782068,-5.901147780939937,-6.939219464240885,-8.796538589267584
MEMIT,MEMIT_L4_ONLY,MEMIT_L8_ONLY,60,PS,11179,8657,12000,-0.2101666666666666,3.207260854647825,3.7607751190662384,5.280107975006102,9.576162338256836,-1.3058750375194945,-1.515927791595459,-1.443419265747071,3.129152297973633,-4.513135892167318,-4.827177852392197,-4.710367532819509,-5.597239471942885
MEMIT,MEMIT_L4_ONLY,MEMIT_L8_ONLY,60,NS,38977,33218,60000,-0.09598333333333331,-1.0442472433656471,-1.1200804710388184,-1.5425663948059078,-6.364526748657227,0.09022774323571614,0.2798614501953125,-0.7945710182189938,-1.973052978515625,1.134474986601362,1.2503408789634705,-0.23404455184936523,-3.5960694709792733
MEMIT,MEMIT_L4_ONLY,MEMIT_L8_ONLY,70,RS,6659,5865,7000,-0.11342857142857143,1.500461072500499,1.381081659346819,3.0541787147521964,-4.671937942504883,-3.3389752777479593,-3.444103956222534,-4.910330772399902,-4.500875473022461,-4.839436350248457,-4.933223128318787,-5.9712942657235555,-6.133447985579551
MEMIT,MEMIT_L4_ONLY,MEMIT_L8_ONLY,70,PS,12854,10211,14000,-0.18878571428571433,2.814673149484296,3.451218217611313,4.390424823760986,-2.2917556762695312,-1.3601595213772466,-1.4792540073394775,-1.9007658004760728,1.3102741241455078,-4.174832670861542,-4.453767031431198,-4.736945910798385,1.3097915432299487
MEMIT,MEMIT_L4_ONLY,MEMIT_L8_ONLY,70,NS,44139,36600,70000,-0.1076999999999999,-0.7419328666520721,-0.8277943134307861,-1.0045241355896,-1.8868236541748047,0.33754850262227887,0.5294704437255859,-0.4500267982482917,-1.427581787109375,1.0794813692743503,1.224942684173584,-0.06156862080097181,-6.009386142366566
MEMIT,MEMIT_L4_ONLY,MEMIT_L8_ONLY,80,RS,7372,6690,8000,-0.08524999999999994,1.4203097298154512,1.5459021925926208,2.386155748367309,-0.691436767578125,-1.8789021364512148,-1.9092588424682617,-3.167692947387696,-7.57868766784668,-3.299211866266667,-3.502265214920044,-4.2553591002710185,-7.578732846495768
MEMIT,MEMIT_L4_ONLY,MEMIT_L8_ONLY,80,PS,14338,11808,16000,-0.15812499999999996,3.251521513757122,4.123235076665878,4.871630001068115,2.826099395751953,-0.26596872084651757,-0.30931544303894043,-0.6705902099609364,-5.166315078735352,-3.5174902346036405,-3.8802237510681152,-4.157782717561348,-7.179607513273368
MEMIT,MEMIT_L4_ONLY,MEMIT_L8_ONLY,80,NS,47897,39917,80000,-0.09975,-0.12073320270851706,-0.08745050430297852,-0.26003942489623455,-0.60113525390625,0.9052032181614775,0.9980111122131348,0.4226495742797862,-10.331430435180664,1.0259364208699928,1.0894890427589417,0.1518269091844564,-4.096565735409968
MEMIT,MEMIT_L4_ONLY,MEMIT_L8_ONLY,90,RS,7814,7511,9000,-0.03366666666666662,0.901332385930631,1.2863896489143372,1.2164088249206548,-3.249971389770508,-0.9567830969141804,-0.8771097660064697,-2.254302692413331,-6.016075134277344,-1.858115482844811,-1.8675561845302582,-3.162429662630892,-6.0174071647415985
MEMIT,MEMIT_L4_ONLY,MEMIT_L8_ONLY,90,PS,15419,13246,18000,-0.12072222222222218,2.789950005150886,3.6737812161445618,4.035459232330322,-3.9993762969970703,0.0766360015792582,0.13398480415344238,-0.5593189239501957,-2.415079116821289,-2.7133140035716297,-2.9869746565818787,-3.7370803803205472,-3.1077826541568356
MEMIT,MEMIT_L4_ONLY,MEMIT_L8_ONLY,90,NS,51877,43157,90000,-0.09688888888888886,0.1354222823026463,0.24445247650146484,0.07491817474365625,-7.126039505004883,1.0757077099011108,1.2893950939178467,0.6937356948852553,-2.8206729888916016,0.940285427598464,0.9863348007202148,0.22626261711120677,-2.869793053694764
MEMIT,MEMIT_L4_ONLY,MEMIT_L8_ONLY,100,RS,7722,8177,10000,0.045499999999999985,-0.06708053606831577,0.03692972660064697,-0.274836063385008,-1.4790191650390625,0.08909156567647614,0.16154861450195312,-0.5514803886413571,-2.783315658569336,0.15617210174479101,0.31694959849119186,-1.0883133121067647,-2.7836466812586877
MEMIT,MEMIT_L4_ONLY,MEMIT_L8_ONLY,100,PS,14966,14460,20000,-0.02529999999999999,1.6172153949069594,2.0910181999206543,2.19042882919312,4.244403839111328,0.8455114656848011,0.8098547458648682,0.7746379852294893,-1.8280391693115234,-0.7717039292221575,-0.885320633649826,-1.523499733675271,-3.649359619616007
MEMIT,MEMIT_L4_ONLY,MEMIT_L8_ONLY,100,NS,57848,48425,100000,-0.09422999999999998,-0.03966986618727297,-0.022400617599487305,-0.09736843109130966,-2.0726051330566406,0.9719152882593214,0.980994462966919,0.7642805099487298,-1.6002063751220703,1.011585154446596,0.9618105888366699,0.3182994425296837,-1.8150858805238386
AlphaEdit,AlphaEdit_ORIGINAL,AlphaEdit_L4_ONLY,1,RS,100,100,100,0.0,8.123196806991478e-05,6.523227784782648e-05,0.000434092385694391,4.598870873451233e-05,-0.09855248928070104,-0.11783647537231445,0.006875801086422939,-0.008371353149414062,-0.09863372124877046,-0.11790792569809128,0.004401789930124522,-0.008373617587494664
AlphaEdit,AlphaEdit_ORIGINAL,AlphaEdit_L4_ONLY,1,PS,190,190,200,0.0,0.012941186049429065,0.0018955469131469727,-0.008022928237914506,-0.00035572052001953125,-0.05413859426975165,0.03878498077392578,-0.10185661315917827,-0.004947662353515625,-0.06707978031918138,0.0003356076776981354,-0.2002604391425855,-0.004980016266927123
AlphaEdit,AlphaEdit_ORIGINAL,AlphaEdit_L4_ONLY,1,NS,867,867,1000,0.0,0.0006734451483936255,0.0008249282836914062,0.008650588989256747,-0.0066394805908203125,0.0004371638493037011,0.0002608299255371094,-0.010033893585204012,-0.0017642974853515625,-0.00023628129909081252,-0.007816076278686523,0.0189520001411434,0.025781579315662384
AlphaEdit,AlphaEdit_ORIGINAL,AlphaEdit_L4_ONLY,5,RS,500,500,500,0.0,0.0033906129925308044,-4.2507483158260584e-05,0.0005820851307362313,1.1451092958450317,0.07307870483398382,0.05583333969116211,0.27003936767578196,0.5068283081054688,0.06968809184145286,0.04922892220201902,0.2757174896862118,0.5065151322778547
AlphaEdit,AlphaEdit_ORIGINAL,AlphaEdit_L4_ONLY,5,PS,962,965,1000,0.0030000000000000027,0.03181450415196374,-0.004583984613418579,-0.026544284820556818,0.5092592239379883,-0.0448596724048258,-0.16836309432983398,-0.07746133804321076,-0.5091152191162109,-0.07667417655678932,-0.1812574981013313,-0.4817957875176937,-0.5061528962105513
AlphaEdit,AlphaEdit_ORIGINAL,AlphaEdit_L4_ONLY,5,NS,4190,4205,5000,0.0030000000000000027,0.008626349613839679,-0.006496429443359375,0.01385898590087642,-0.09311103820800781,-0.007094337882893598,-0.03110504150390625,0.01057767868041104,2.058328628540039,-0.01572068749673239,-0.030348002910614014,-0.007492589950561124,6.576477864404296
AlphaEdit,AlphaEdit_ORIGINAL,AlphaEdit_L4_ONLY,10,RS,997,998,1000,0.0010000000000000009,-0.01444999874260975,-8.733465801924467e-05,4.864297807216644e-06,-14.035202026367188,0.01721712642908102,0.001659393310546875,0.02730083465576172,-2.4076309204101562,0.03166712517169046,0.006141151941847056,0.025656156829793275,-2.407323219871614
AlphaEdit,AlphaEdit_ORIGINAL,AlphaEdit_L4_ONLY,10,PS,1939,1943,2000,0.0020000000000000018,0.016117395206479923,-0.007474377751350403,0.0355352401733402,-0.48447418212890625,0.03727401309087952,-0.06671714782714844,0.22996129989624414,0.011835098266601562,0.021156617884397377,0.006018392741680145,0.09671014266350397,0.03195339674130082
AlphaEdit,AlphaEdit_ORIGINAL,AlphaEdit_L4_ONLY,10,NS,8057,8072,10000,0.0015000000000000568,0.006793196533168455,-0.009541511535644531,-0.00859851837158132,-1.2444992065429688,-0.02007151213166125,0.007355451583862305,-0.00915670394897461,0.08326339721679688,-0.02686470866482793,-0.00750887393951416,-0.015906143188477717,1.7613431926220073
AlphaEdit,AlphaEdit_ORIGINAL,AlphaEdit_L4_ONLY,20,RS,1992,1997,2000,0.0025000000000000577,-0.06809295400129395,-5.618942668661475e-05,-0.00026374431326985255,-10.616737365722656,-0.11384107042103864,-0.09509563446044922,0.10971660614013601,-1.2610759735107422,-0.04574811641974463,-0.06607737100421218,0.12338310796476293,-1.26080400988576
AlphaEdit,AlphaEdit_ORIGINAL,AlphaEdit_L4_ONLY,20,PS,3886,3873,4000,-0.003249999999999975,-0.011477119087820009,0.012674592435359955,0.09824695587158239,-3.368114471435547,-0.08887661082297527,-0.14495038986206055,-0.09581460952758647,-0.5218601226806641,-0.07739949173515548,-0.03164155222475529,-0.08068563283886654,-0.5219008819549344
AlphaEdit,AlphaEdit_ORIGINAL,AlphaEdit_L4_ONLY,20,NS,15317,15318,20000,4.999999999999449e-05,-0.02912099658475853,0.022976398468017578,-0.13294191360473384,-4.34796142578125,-0.04274157518792343,-0.044989824295043945,-0.18233394622802734,-4.89924430847168,-0.013620578603164901,-0.009167909622192383,-0.02640681341290163,-3.8327773647943104
AlphaEdit,AlphaEdit_ORIGINAL,AlphaEdit_L4_ONLY,30,RS,2989,2993,3000,0.0013333333333334085,-0.09327274834199245,-0.00010924087837338448,-0.00024839481338858466,-13.384302139282227,-0.07819218789537707,-0.025840282440185547,-0.027547836303710938,0.03879547119140625,0.015080560446614655,0.046183157748600934,0.02960941117053295,0.0398092178729712
AlphaEdit,AlphaEdit_ORIGINAL,AlphaEdit_L4_ONLY,30,PS,5809,5787,6000,-0.003666666666666596,-0.05078169199707028,-0.021895304322242737,-0.09596190452575559,0.6325607299804688,-0.11089585344990205,-0.07768678665161133,-0.08460483551025533,-0.7114429473876953,-0.06011416145283022,0.0794929601252079,-0.1331009925343114,-0.7118433199357241
AlphaEdit,AlphaEdit_ORIGINAL,AlphaEdit_L4_ONLY,30,NS,22066,22181,30000,0.0038333333333332442,-0.0849147253784146,-0.0375981330871582,-0.15054311752319371,-1.866342544555664,-0.10304497523631184,-0.0978703498840332,-0.23236265182494797,0.7116966247558594,-0.01813024985789813,0.022827506065368652,-0.0528250932693477,-2.87370789583656
AlphaEdit,AlphaEdit_ORIGINAL,AlphaEdit_L4_ONLY,40,RS,3978,3993,4000,0.00374999999999992,-0.11973743291478194,-3.878306597471237e-05,-0.0006747156381607042,-11.901944160461426,-0.14910604569315922,-0.13180065155029297,0.0006919860839822434,-1.2208232879638672,-0.029368612778375436,-0.06937273743096739,0.021501965046624605,-1.2211424114066176
AlphaEdit,AlphaEdit_ORIGINAL,AlphaEdit_L4_ONLY,40,PS,7732,7728,8000,-0.000500000000000056,-0.0961048610220987,-0.03275352716445923,-0.21187767982483052,-6.570583343505859,-0.1411421277729108,-0.09121513366699219,-0.11540555953979492,-1.7099800109863281,-0.045037266750810545,-0.036313265562057495,-0.03484512506984494,-1.730019862006884
AlphaEdit,AlphaEdit_ORIGINAL,AlphaEdit_L4_ONLY,40,NS,28720,28784,40000,0.0016000000000000458,-0.12481301048449822,-0.11496782302856445,-0.17446184158325195,2.1918277740478516,-0.11893137916292762,-0.05465102195739746,-0.28208131790160884,-3.2935123443603516,0.0058816313215692695,0.04358220100402832,-0.03856701850891131,-2.98397626937367
AlphaEdit,AlphaEdit_ORIGINAL,AlphaEdit_L4_ONLY,50,RS,4968,4988,5000,0.0040000000000000036,-0.12146468447580769,0.00010732666123658419,0.0036040941253304218,-12.919445037841797,-0.25035684600546837,-0.29307079315185547,-0.257366561889647,-3.8075103759765625,-0.12889216152965943,-0.22944904793985188,-0.19820344557228964,-3.807577010104069
AlphaEdit,AlphaEdit_ORIGINAL,AlphaEdit_L4_ONLY,50,PS,9643,9654,10000,0.0010999999999999899,-0.09293245807409067,-0.035680875182151794,-0.17692589759826838,-6.575565338134766,-0.11022832413810946,-0.12154674530029297,-0.18909301757812536,-3.1180458068847656,-0.017295866064017673,0.0331753499340266,-0.09994900841265952,-3.118085500460438
AlphaEdit,AlphaEdit_ORIGINAL,AlphaEdit_L4_ONLY,50,NS,35110,35406,50000,0.005919999999999925,-0.1489496152639287,-0.13710737228393555,-0.2745310783386241,-2.7126998901367188,-0.178770455569758,-0.16357207298278809,-0.3958542823791529,-6.9349822998046875,-0.029820840305828877,-0.06391787528991699,-0.11926412582397372,-2.5080718309618533
AlphaEdit,AlphaEdit_ORIGINAL,AlphaEdit_L4_ONLY,60,RS,5956,5984,6000,0.004666666666666597,-0.12778667851353082,8.88976501300931e-05,0.0016712326556444015,-13.026326179504395,-0.27327260413238186,-0.2957272529602051,-0.3091588973999002,-5.857343673706055,-0.14548592561885165,-0.22276196372695267,-0.2399608448431536,-5.8583469958357455
AlphaEdit,AlphaEdit_ORIGINAL,AlphaEdit_L4_ONLY,60,PS,11572,11596,12000,0.0020000000000000018,-0.09856121171556187,-0.02741892635822296,-0.12782220840454084,-6.407520294189453,-0.11109039752140681,-0.07626628875732422,-0.1771816253662113,-4.408901214599609,-0.012529185805844278,-0.034611139446496964,-0.14218645385117235,-4.422241237261915
AlphaEdit,AlphaEdit_ORIGINAL,AlphaEdit_L4_ONLY,60,NS,41244,41621,60000,0.0062833333333333075,-0.18256004034212125,-0.17979764938354492,-0.27602005004882635,-3.367788314819336,-0.2079088101695321,-0.22814035415649414,-0.3553359031677257,-6.25909423828125,-0.025348769827407303,-0.04838842153549194,-0.10428748130798215,-1.618364927071525
AlphaEdit,AlphaEdit_ORIGINAL,AlphaEdit_L4_ONLY,70,RS,6945,6981,7000,0.005142857142857227,-0.12879052637584343,-6.77106436342001e-05,-0.005247155949473378,-13.93814468383789,-0.2611006099783939,-0.3258051872253418,-0.23955802917480895,-2.670907974243164,-0.1323100836025528,-0.26473450123739894,-0.17448815621901304,-2.6720740807486436
AlphaEdit,AlphaEdit_ORIGINAL,AlphaEdit_L4_ONLY,70,PS,13478,13492,14000,0.0010000000000000009,-0.0912888049917544,-0.010206654667854309,-0.1875516891479494,-5.362619400024414,-0.19532236555385651,-0.2046661376953125,-0.26204452514648224,-6.406307220458984,-0.104033560562101,-0.11909141018986702,-0.24222663668915878,-6.420409415268296
AlphaEdit,AlphaEdit_ORIGINAL,AlphaEdit_L4_ONLY,70,NS,47073,47659,70000,0.008371428571428585,-0.16183928102403655,-0.16805648803710938,-0.26790723800659144,-2.4898815155029297,-0.2019949245269963,-0.22531938552856445,-0.3343534469604492,-3.900117874145508,-0.04015564350295797,-0.08435767889022827,-0.1636569499969478,0.6239052885757701
AlphaEdit,AlphaEdit_ORIGINAL,AlphaEdit_L4_ONLY,80,RS,7941,7981,8000,0.0050000000000000044,-0.13635602272965838,5.365908145904541e-05,0.0012618839740751592,-13.50547981262207,-0.28948629590962227,-0.2381143569946289,-0.2863838195800774,-1.1893329620361328,-0.15313027317996308,-0.16959594713989645,-0.23182860892848112,-1.1910446507399683
AlphaEdit,AlphaEdit_ORIGINAL,AlphaEdit_L4_ONLY,80,PS,15375,15406,16000,0.0019375000000000364,-0.08119915368291575,-0.010342031717300415,-0.04410324096679563,-3.833089828491211,-0.22890064887241302,-0.19712591171264648,-0.30861568450927734,-3.815706253051758,-0.14770149518949793,-0.19261306640692055,-0.2185052334447377,-3.825287865845894
AlphaEdit,AlphaEdit_ORIGINAL,AlphaEdit_L4_ONLY,80,NS,52563,53521,80000,0.011974999999999958,-0.2117289601391512,-0.19290590286254883,-0.36159181594848455,-0.9735145568847656,-0.2869495213594577,-0.2701702117919922,-0.46807384490966797,-2.5321731567382812,-0.0752205612203074,-0.10488557815551758,-0.21257047653197958,0.32625635527074337
AlphaEdit,AlphaEdit_ORIGINAL,AlphaEdit_L4_ONLY,90,RS,8919,8964,9000,0.0050000000000000044,-0.14909893787812015,0.0002466137520968914,0.010281062126159729,-11.571645736694336,-0.41316771598491364,-0.365509033203125,-0.5071632385253899,-1.5573368072509766,-0.26406877810679674,-0.2724623839603737,-0.4603129082213826,-1.5571182377025252
AlphaEdit,AlphaEdit_ORIGINAL,AlphaEdit_L4_ONLY,90,PS,17290,17301,18000,0.0006111111111110068,-0.09441676330804039,-0.006839469075202942,-0.08467402458190776,-3.316791534423828,-0.30015027278261464,-0.3034496307373047,-0.4378114700317379,-2.8708763122558594,-0.20573350947457314,-0.23700925335288048,-0.2821376759326082,-2.872283064236399
AlphaEdit,AlphaEdit_ORIGINAL,AlphaEdit_L4_ONLY,90,NS,58275,59364,90000,0.0121,-0.28097521755270627,-0.2681999206542969,-0.4484745979309128,-2.3232688903808594,-0.3673358331546872,-0.3234255313873291,-0.6529930114746101,-4.059246063232422,-0.08636061560198094,-0.1020822525024414,-0.314641356468206,-4.884715997148305
AlphaEdit,AlphaEdit_ORIGINAL,AlphaEdit_L4_ONLY,100,RS,9888,9939,10000,0.005099999999999993,-0.15481095348953947,0.0010598953813314438,0.03459150940179853,-9.90889835357666,-0.5654137786884785,-0.5730915069580078,-0.6468130111694315,-2.405071258544922,-0.4106028251989411,-0.45403204852482304,-0.5990816680132411,-2.405219535707147
AlphaEdit,AlphaEdit_ORIGINAL,AlphaEdit_L4_ONLY,100,PS,19155,19136,20000,-0.0009500000000000064,-0.09999528385523404,-0.005940169095993042,-0.08941445350647559,-6.305538177490234,-0.35816049594919086,-0.35285139083862305,-0.5148063659668036,-3.079559326171875,-0.25816521209395393,-0.25506769120693207,-0.44856021273881375,-3.0874291537811587
AlphaEdit,AlphaEdit_ORIGINAL,AlphaEdit_L4_ONLY,100,NS,63726,65348,100000,0.0162199999999999,-0.36529198274093844,-0.35000181198120117,-0.632579040527343,-1.6739521026611328,-0.4436421666712933,-0.43404054641723633,-0.7553911209106445,-3.9533920288085938,-0.07835018393035376,-0.07188498973846436,-0.37977347373962367,-0.5528840319020674
AlphaEdit,AlphaEdit_ORIGINAL,AlphaEdit_L8_ONLY,1,RS,100,100,100,0.0,-0.0006391596701723757,-0.0005126508476678282,-0.0011309066088870182,0.005226446315646172,-0.6709450006484996,-0.8717021942138672,-0.9830831527709982,-3.837198257446289,-0.670305840978326,-0.8732789762580069,-0.9836514529262779,-3.837620308273472
AlphaEdit,AlphaEdit_ORIGINAL,AlphaEdit_L8_ONLY,1,PS,190,183,200,-0.03499999999999992,0.25353652259655046,0.04219256341457367,1.6906536579132085,-0.5748004913330078,-1.584892192985862,-1.2836174964904785,-1.4282355308532697,-3.956460952758789,-1.8384287155824133,-2.030867777764797,-1.3005771398777135,-3.999990111682564
AlphaEdit,AlphaEdit_ORIGINAL,AlphaEdit_L8_ONLY,1,NS,867,845,1000,-0.02200000000000002,-0.5672248652398117,-0.46703004837036133,-0.3857737541198727,0.2709236145019531,-0.17010784763400366,-0.14960551261901855,-0.33495674133300746,-1.4817085266113281,0.3971170176058072,0.3627511262893677,0.4551613092422482,1.954927124781534
AlphaEdit,AlphaEdit_ORIGINAL,AlphaEdit_L8_ONLY,5,RS,500,500,500,0.0,0.0061990286753280084,0.00014013098552823067,0.0023414188064634833,0.7505651712417603,-0.9095641248226176,-1.0758929252624512,-1.0194849014282212,0.08090591430664062,-0.9157631534979451,-1.08238831111521,-1.0137012478924596,0.08102439375215909
AlphaEdit,AlphaEdit_ORIGINAL,AlphaEdit_L8_ONLY,5,PS,962,917,1000,-0.04499999999999993,0.27784642626177813,0.03695930540561676,0.601683568954468,3.4877824783325195,-1.1422211376512426,-1.147322177886963,-1.2091715812683113,-2.166217803955078,-1.4200675639130198,-1.1612845185445622,-1.301512991811613,-2.146532482933253
AlphaEdit,AlphaEdit_ORIGINAL,AlphaEdit_L8_ONLY,5,NS,4190,3835,5000,-0.07099999999999995,-1.225850290941274,-1.1878204345703125,-1.0862750053405712,-0.8023452758789062,0.00044520715562423874,0.06810235977172852,-0.15917558670044762,-1.7133541107177734,1.2262954980968996,1.1763405799865723,1.314103078842166,-0.22101418596867006
AlphaEdit,AlphaEdit_ORIGINAL,AlphaEdit_L8_ONLY,10,RS,997,996,1000,-0.0010000000000000009,0.0077294465921622785,0.0006445638719014823,0.009759798832237723,-13.108497619628906,-1.0763542711734768,-1.2438092231750488,-0.9204259872436538,-1.588369369506836,-1.0840837177656404,-1.245378055551555,-0.9214281883119853,-1.5880387842771597
AlphaEdit,AlphaEdit_ORIGINAL,AlphaEdit_L8_ONLY,10,PS,1939,1837,2000,-0.051000000000000045,0.2644273086852862,0.08429552614688873,0.8190281391143808,2.960542678833008,-1.1066024740748102,-1.1647043228149414,-0.9753236770629865,-0.8761634826660156,-1.3710297827600977,-1.2494606487452984,-0.6047457531443801,-0.8589966162107885
AlphaEdit,AlphaEdit_ORIGINAL,AlphaEdit_L8_ONLY,10,NS,8057,6936,10000,-0.11209999999999998,-1.221082402077009,-1.24159574508667,-0.8811530113220236,-1.1434307098388672,0.3315046675910942,0.4154057502746582,0.17212085723877024,-0.6733894348144531,1.5525870696681028,1.512453556060791,1.8840186119079583,0.3050232715177117
AlphaEdit,AlphaEdit_ORIGINAL,AlphaEdit_L8_ONLY,20,RS,1992,1992,2000,0.0,-0.0015466173132981514,0.0017283656052313745,0.04204315948300072,-6.9575653076171875,-1.4877459259927264,-1.5634546279907227,-1.1541707992553718,-0.19060134887695312,-1.4861993086794278,-1.5687754547252553,-1.1479708658851457,-0.19055833062157035
AlphaEdit,AlphaEdit_ORIGINAL,AlphaEdit_L8_ONLY,20,PS,3886,3615,4000,-0.06774999999999998,0.5897612661339464,0.29570460319519043,1.7065060138702393,-1.1544513702392578,-1.3488978886269027,-1.3244600296020508,-1.2378340721130368,0.8140792846679688,-1.9386591547608498,-1.858041774481535,-1.1558889774372787,0.8130478235834744
AlphaEdit,AlphaEdit_ORIGINAL,AlphaEdit_L8_ONLY,20,NS,15317,12941,20000,-0.11880000000000002,-0.8785930921333174,-0.8653817176818848,-0.4840969085693274,-3.349740982055664,0.5979780538998165,0.7397964000701904,0.42632474899291495,-2.712432861328125,1.4765711460331337,1.4915627241134644,1.7363459259271625,-2.506193756329594
AlphaEdit,AlphaEdit_ORIGINAL,AlphaEdit_L8_ONLY,30,RS,2989,2973,3000,-0.005333333333333301,0.1545613950914273,0.0021995920105837286,0.1340584184974432,-5.36131477355957,-1.4137170787552993,-1.448873519897461,-1.0569684982299812,3.366168975830078,-1.5682784738467266,-1.5354998742841417,-1.0405341522346134,3.3663603521999903
AlphaEdit,AlphaEdit_ORIGINAL,AlphaEdit_L8_ONLY,30,PS,5809,5200,6000,-0.10149999999999992,1.2332057094152622,0.8019644767045975,3.0755957126617437,-0.14086151123046875,-1.4311912483478277,-1.4181580543518066,-1.3509441375732418,0.6351985931396484,-2.6643969577630893,-2.5039212368428707,-1.9352722568670284,0.627505381940864
