model,method,batch_index,layer,frobenius_energy,energy_share,total_frobenius_energy
qwen2.5-7b-inst,memit,8,8,45.86738032468489,0.0955303733979103,480.13400024759267
qwen2.5-7b-inst,memit,9,4,300.3099376400738,0.6841710157952724,438.93987132880375
qwen2.5-7b-inst,memit,9,5,51.874433309174655,0.11818118311315638,438.93987132880375
qwen2.5-7b-inst,memit,9,6,17.412590885113016,0.039669649586399694,438.93987132880375
qwen2.5-7b-inst,memit,9,7,29.372190671307337,0.0669162055895921,438.93987132880375
qwen2.5-7b-inst,memit,9,8,39.97071882313494,0.09106194591557946,438.93987132880375
qwen2.5-7b-inst,memit,10,4,445.4811209210369,0.6232486706191215,714.7726772983018
qwen2.5-7b-inst,memit,10,5,131.96217513685693,0.18462118003117808,714.7726772983018
qwen2.5-7b-inst,memit,10,6,29.580189744894696,0.04138405213906877,714.7726772983018
qwen2.5-7b-inst,memit,10,7,48.07887033459333,0.06726456097387756,714.7726772983018
qwen2.5-7b-inst,memit,10,8,59.67032116091994,0.08348153623675413,714.7726772983018
qwen2.5-7b-inst,alphaedit,1,4,50.46628816692732,0.22042377017388967,228.9512067011424
qwen2.5-7b-inst,alphaedit,1,5,66.39794041575509,0.290009130646018,228.9512067011424
qwen2.5-7b-inst,alphaedit,1,6,28.089527084601713,0.12268783156608518,228.9512067011424
qwen2.5-7b-inst,alphaedit,1,7,46.56692492745962,0.2033923541981806,228.9512067011424
qwen2.5-7b-inst,alphaedit,1,8,37.43052610639867,0.16348691341582652,228.9512067011424
qwen2.5-7b-inst,alphaedit,2,4,58.30774556583798,0.23158189801605922,251.780238720535
qwen2.5-7b-inst,alphaedit,2,5,89.55214801976113,0.3556758404664159,251.780238720535
qwen2.5-7b-inst,alphaedit,2,6,21.290000763774273,0.08455787027593233,251.780238720535
qwen2.5-7b-inst,alphaedit,2,7,45.17429281681589,0.1794195328687307,251.780238720535
qwen2.5-7b-inst,alphaedit,2,8,37.456051554345756,0.1487648583728619,251.780238720535
qwen2.5-7b-inst,alphaedit,3,4,24.574127290453394,0.17723320550993135,138.65419417173703
qwen2.5-7b-inst,alphaedit,3,5,37.78249154766091,0.2724944007165303,138.65419417173703
qwen2.5-7b-inst,alphaedit,3,6,15.90084308568559,0.11467985646356152,138.65419417173703
qwen2.5-7b-inst,alphaedit,3,7,32.87235429822293,0.2370815718528301,138.65419417173703
qwen2.5-7b-inst,alphaedit,3,8,27.524377949714207,0.19851096545714675,138.65419417173703
qwen2.5-7b-inst,alphaedit,4,4,68.36200116242348,0.2496709666004708,273.8083730489093
qwen2.5-7b-inst,alphaedit,4,5,95.0698992883321,0.34721326535675423,273.8083730489093
qwen2.5-7b-inst,alphaedit,4,6,30.15931439771424,0.11014752420418861,273.8083730489093
qwen2.5-7b-inst,alphaedit,4,7,44.516222766145006,0.16258167078839936,273.8083730489093
qwen2.5-7b-inst,alphaedit,4,8,35.70093543429451,0.13038657305018717,273.8083730489093
qwen2.5-7b-inst,alphaedit,5,4,77.753206860514,0.28215829721755187,275.5659061855059
qwen2.5-7b-inst,alphaedit,5,5,87.82087757419495,0.3186928266629455,275.5659061855059
qwen2.5-7b-inst,alphaedit,5,6,23.124940575413007,0.08391800312135028,275.5659061855059
qwen2.5-7b-inst,alphaedit,5,7,46.901104953415874,0.17019922966030096,275.5659061855059
qwen2.5-7b-inst,alphaedit,5,8,39.965776221968106,0.14503164333785137,275.5659061855059
qwen2.5-7b-inst,alphaedit,6,4,61.77716007812635,0.2305741143888119,267.9275609141143
qwen2.5-7b-inst,alphaedit,6,5,90.98354090878362,0.3395826118013627,267.9275609141143
qwen2.5-7b-inst,alphaedit,6,6,20.819506255185345,0.07770572831012021,267.9275609141143
qwen2.5-7b-inst,alphaedit,6,7,51.22392920182803,0.19118574075418898,267.9275609141143
qwen2.5-7b-inst,alphaedit,6,8,43.123424470190955,0.16095180474551632,267.9275609141143
qwen2.5-7b-inst,alphaedit,7,4,73.68695887413028,0.27271918603092116,270.1935274395238
qwen2.5-7b-inst,alphaedit,7,5,87.07609188144491,0.32227304890171643,270.1935274395238
qwen2.5-7b-inst,alphaedit,7,6,23.05754124180814,0.08533713394362863,270.1935274395238
qwen2.5-7b-inst,alphaedit,7,7,48.793219413479214,0.18058618900262288,270.1935274395238
qwen2.5-7b-inst,alphaedit,7,8,37.57971602866123,0.13908444212111087,270.1935274395238
qwen2.5-7b-inst,alphaedit,8,4,43.4301343301749,0.218094450640035,199.13452269290593
qwen2.5-7b-inst,alphaedit,8,5,60.92166875063974,0.3059322307693966,199.13452269290593
qwen2.5-7b-inst,alphaedit,8,6,20.656779428007177,0.10373278901450403,199.13452269290593
qwen2.5-7b-inst,alphaedit,8,7,39.11025036633063,0.1964011555477212,199.13452269290593
qwen2.5-7b-inst,alphaedit,8,8,35.01568981775348,0.1758393740283432,199.13452269290593
qwen2.5-7b-inst,alphaedit,9,4,49.27160889950205,0.27054980629581465,182.11659277859283
qwen2.5-7b-inst,alphaedit,9,5,42.27894269836349,0.2321531610783201,182.11659277859283
qwen2.5-7b-inst,alphaedit,9,6,18.253837110639004,0.10023159796774256,182.11659277859283
qwen2.5-7b-inst,alphaedit,9,7,39.18455772129031,0.21516193073592532,182.11659277859283
qwen2.5-7b-inst,alphaedit,9,8,33.12764634879799,0.1819035039221974,182.11659277859283
qwen2.5-7b-inst,alphaedit,10,4,73.46408044171838,0.24641549153920356,298.13093317645814
qwen2.5-7b-inst,alphaedit,10,5,90.01629058047712,0.30193542689915426,298.13093317645814
qwen2.5-7b-inst,alphaedit,10,6,33.95141142090038,0.11388087461828447,298.13093317645814
qwen2.5-7b-inst,alphaedit,10,7,58.23904379045235,0.1953472025527178,298.13093317645814
qwen2.5-7b-inst,alphaedit,10,8,42.46010694290994,0.14242100439063998,298.13093317645814
